school_name,state_school_id,nces_id,course_id,course_name,num_students_enrolled,num_students_female,num_students_black_or_african_american,num_students_hispanic_or_latino,num_students_american_indian_or_native_alaskan,num_students_native_hawaiian_or_pacific_islander,num_students_free_or_reduced_lunch,num_students_special_education_status,num_students_english_language_learner_status
Absarokee High School,,300174000002,10019,AP Computer Science,1,,,,,,,,
Baker High School,,300273000035,10152,Computer Programming II,1,,,,,,,,
Baker High School,,300273000035,10152,Computer Programming I,0,,,,,,,,
Baker High School,,300273000035,10152,Computer Programming II,0,,,,,,,,
Baker High School,,300273000035,10152,Computer Programming I,1,,,,,,,,
Baker High School,,300273000035,10152,Computer Programming III,0,,,,,,,,
Baker High School,,300273000035,10152,Computer Programming III,1,,,,,,,,
Baker High School,,300273000035,10152,Computer Programming I,1,,,,,,,,
Baker High School,,300273000035,10152,Computer Programming I,0,,,,,,,,
Baker High School,,300273000035,10152,Computer Programming II,1,,,,,,,,
Baker High School,,300273000035,10152,Computer Programming II,0,,,,,,,,
Baker High School,,300273000035,10152,Computer Programming III,0,,,,,,,,
Baker High School,,300273000035,10152,Computer Programming III,1,,,,,,,,
Belgrade High School,,300333000046,10152,Computer Coding and Design,9,,,,,,,,
Belgrade High School,,300333000046,10152,Computer Coding and Design II,8,,,,,,,,
Belgrade High School,,300333000046,10152,Computer Coding and Design,18,,,,,,,,
Lone Peak High School,,300065401099,10159,IB Design Technology HL,3,,,,,,,,
Lone Peak High School,,300065401099,10159,IB Design Technology SL,8,,,,,,,,
Lone Peak High School,,300065401099,10159,IB Design Technology SL,6,,,,,,,,
Lone Peak High School,,300065401099,10159,IB Design Technology SL,9,,,,,,,,
Billings West High School,,300390000091,10152,COMPUTER PROGRAM 2,6,,,,,,,,
Billings West High School,,300390000091,10152,COMPUTER PROGRAM 1,16,,,,,,,,
Billings West High School,,300390000091,10152,COMPUTER PROGRAM 1,14,,,,,,,,
Billings West High School,,300390000091,10152,COMPUTER PROGRAM 1,7,,,,,,,,
Billings West High School,,300390000091,10152,COMPUTER PROGRAM 4,4,,,,,,,,
Billings West High School,,300390000091,10152,COMPUTER PROGRAM 2,3,,,,,,,,
Billings West High School,,300390000091,10152,COMPUTER PROGRAM 2,8,,,,,,,,
Billings West High School,,300390000091,10152,COMPUTER PROGRAM 1,10,,,,,,,,
Billings West High School,,300390000091,10152,COMPUTER PROGRAM 2,11,,,,,,,,
Billings West High School,,300390000091,10152,COMPUTER PROGRAM 3,4,,,,,,,,
Billings West High School,,300390000091,10152,COMPUTER PROGRAM 3,3,,,,,,,,
Billings West High School,,300390000091,10152,COMPUTER PROGRAM 1,17,,,,,,,,
Billings West High School,,300390000091,10152,COMPUTER PROGRAM 4,1,,,,,,,,
Billings West High School,,300390000091,10152,COMPUTER PROGRAM 2,4,,,,,,,,
Billings West High School,,300390000091,10152,COMPUTER PROGRAM 3,2,,,,,,,,
Billings West High School,,300390000091,10152,COMPUTER PROGRAM 4,2,,,,,,,,
Bozeman High School,,300459000113,10152,Adv Computer Coding & Design CSP III,3,,,,,,,,
Bozeman High School,,300459000113,10152,Computer Coding & Design I,8,,,,,,,,
Bozeman High School,,300459000113,10152,Adv Computer Coding & Design CSP III,4,,,,,,,,
Bozeman High School,,300459000113,10152,Adv Computer Coding & Design CSP III,3,,,,,,,,
Bozeman High School,,300459000113,10152,Computer Coding & Design I,17,,,,,,,,
Bozeman High School,,300459000113,10152,Computer Coding & Design II,6,,,,,,,,
Bozeman High School,,300459000113,10152,Computer Coding & Design II,4,,,,,,,,
Bozeman High School,,300459000113,10152,Computer Coding for Registration,28,,,,,,,,
Bozeman High School,,300459000113,10152,Adv Computer Coding & Design CSP IV,2,,,,,,,,
Bozeman High School,,300459000113,10152,Computer Coding & Design II,7,,,,,,,,
Bozeman High School,,300459000113,10152,Computer Coding & Design I,14,,,,,,,,
Browning High School,,300519000136,2156,CS Discoveries,19,,,,,,,,
Browning High School,,300519000136,21009,Robotics,22,,,,,,,,
Chinook High School,,300627000182,10152,MTDA DC Computer Science I,1,,,,,,,,
Chinook High School,,300627000182,21009,Ind. Study Intro to Robotics,1,,,,,,,,
Colstrip High School,,300708000194,21009,Robotics,4,,,,,,,,
Corvallis High School,,300741000215,10152,COMPUTER PROG,16,,,,,,,,
Corvallis High School,,300741000215,10152,COMPUTER PROG,16,,,,,,,,
Darby High School,,300828000238,21009,Technology for Personal Use,6,,,,,,,,
Darby High School,,300828000238,21009,Technology for Personal Use,9,,,,,,,,
Darby High School,,300828000238,21009,Technology for Personal Use,6,,,,,,,,
Darby High School,,300828000238,21009,Technology for Personal Use,9,,,,,,,,
Drummond High School,,300921000263,10152,Computer Science,1,,,,,,,,
Ennis High School,,300993000277,10152,Intro to Coding,12,,,,,,,,
Ennis High School,,300993000277,10152,Intro to Coding,12,,,,,,,,
Fairfield High School,,301017000281,10157,AP Computer Science A/MTDA,1,,,,,,,,
Fairfield High School,,301017000281,21009,Robotics,1,,,,,,,,
Glacier High School,,301542000358,10152,CODING 101,30,,,,,,,,
Glacier High School,,301542000358,10152,CODING 101,27,,,,,,,,
Flathead High School,,301542000470,10155,CSA - JAVA PROGRAMMING,7,,,,,,,,
Flathead High School,,301542000470,10155,CSA - JAVA PROGRAMMING,2,,,,,,,,
Flathead High School,,301542000470,10155,CSA - JAVA PROGRAMMING,5,,,,,,,,
Flathead High School,,301542000470,10156,CSE - GAME DESIGN/VIRTUAL REALITY,11,,,,,,,,
Flathead High School,,301542000470,10156,CSE - GAME DESIGN/VIRTUAL REALITY,13,,,,,,,,
Flathead High School,,301542000470,10156,CSE - PYTHON,8,,,,,,,,
Flathead High School,,301542000470,10156,CSE - PYTHON,7,,,,,,,,
Glacier High School,,301542000358,21009,ELEC AND ROBOTICS 2,19,,,,,,,,
Frenchtown High School,,301152000313,10152,BS Coding and Tech Tools,16,,,,,,,,
Frenchtown High School,,301152000313,10152,BS Coding and Tech Tools,16,,,,,,,,
Glasgow High School,,301242000343,10152,Coding 1,11,,,,,,,,
Glasgow High School,,301242000343,10152,Coding 2,4,,,,,,,,
Glasgow High School,,301242000343,10152,Coding 1,11,,,,,,,,
Glasgow High School,,301242000343,10152,Coding 2,4,,,,,,,,
Grass Range High School,,301299000352,10152,Coding,6,,,,,,,,
Great Falls High School,,301305000380,10152,COMPUTER SCIENCE INDEPENDENT STUDY,1,,,,,,,,
C M Russell High School,,301305000379,10152,COMPUTER SCIENCE INDEPENDENT STUDY,1,,,,,,,,
C M Russell High School,,301305000379,10152,COMPUTER SCIENCE INDEPENDENT STUDY,5,,,,,,,,
C M Russell High School,,301305000379,10152,COMPUTER SCIENCE INDEPENDENT STUDY,7,,,,,,,,
Great Falls High School,,301305000380,10156,COMPUTER CODING AND DESIGN WITH PYTHON,7,,,,,,,,
Great Falls High School,,301305000380,10156,COMPUTER CODING AND DESIGN WITH PYTHON,9,,,,,,,,
C M Russell High School,,301305000379,10156,COMPUTER CODING AND DESIGN WITH PYTHON,9,,,,,,,,
C M Russell High School,,301305000379,10156,COMPUTER CODING AND DESIGN WITH PYTHON,5,,,,,,,,
Great Falls High School,,301305000380,10157,INTRO TO COMPUTER SCIENCE PRINCIPLES,10,,,,,,,,
Great Falls High School,,301305000380,10157,INTRO TO COMPUTER SCIENCE PRINCIPLES,9,,,,,,,,
Great Falls High School,,301305000380,10157,INTRO TO COMPUTER SCIENCE PRINCIPLES,7,,,,,,,,
C M Russell High School,,301305000379,10157,INTRO TO COMPUTER SCIENCE PRINCIPLES,22,,,,,,,,
Hamilton High School,,301326000389,10152,ADVANCED PROGRAMMING 2,5,,,,,,,,
Hamilton High School,,301326000389,10152,INTRO TO PROGRAMMING,9,,,,,,,,
Hamilton High School,,301326000389,10152,ADVANCED PROGRAMMING 1,17,,,,,,,,
Hamilton High School,,301326000389,10152,INTRO TO PROGRAMMING,12,,,,,,,,
Hamilton High School,,301326000389,10152,ADVANCED PROGRAMMING 2,6,,,,,,,,
Hamilton High School,,301326000389,10152,INTRO TO PROGRAMMING,17,,,,,,,,
Hamilton High School,,301326000389,10152,ADVANCED PROGRAMMING 2,5,,,,,,,,
Hamilton High School,,301326000389,10152,ADVANCED PROGRAMMING 1,17,,,,,,,,
Hamilton High School,,301326000389,10152,INTRO TO PROGRAMMING,9,,,,,,,,
Hamilton High School,,301326000389,10152,INTRO TO PROGRAMMING,12,,,,,,,,
Hamilton High School,,301326000389,10152,ADVANCED PROGRAMMING 2,6,,,,,,,,
Hamilton High School,,301326000389,10152,INTRO TO PROGRAMMING,17,,,,,,,,
Hardin High School,,301334000397,21009,Robotics B,11,,,,,,,,
Havre High School,,301359000411,10152,JOY AND BEAUTY OF COMPUTING,0,,,,,,,,
Helena High School,,301383000430,10155,Computer Sci S2,12,,,,,,,,
Helena High School,,301383000430,10155,Computer Sci S1,11,,,,,,,,
Helena High School,,301383000430,10155,Computer Sci S1,13,,,,,,,,
Helena High School,,301383000430,10155,Computer Sci S1,11,,,,,,,,
Helena High School,,301383000430,10155,Computer Sci S2,14,,,,,,,,
Helena High School,,301383000430,10155,Computer Sci S1,16,,,,,,,,
Helena High School,,301383000430,10155,Computer Sci S2,10,,,,,,,,
Capital High School,,301383000429,10155,Computer Science,22,,,,,,,,
Helena High School,,301383000430,10155,Computer Sci S2,13,,,,,,,,
Capital High School,,301383000429,21009,Robotics,16,,,,,,,,
Capital High School,,301383000429,21009,Robotics,15,,,,,,,,
Huntley Project High Schl,,301470000452,10152,Computer Coding,17,,,,,,,,
Huntley Project High Schl,,301470000452,10152,Computer Coding,17,,,,,,,,
Jefferson High School,,301512000461,10152,Intro to Coding,9,,,,,,,,
Jefferson High School,,301512000461,10152,Computer Programming,0,,,,,,,,
Jefferson High School,,301512000461,10152,Computer Programming,2,,,,,,,,
Jefferson High School,,301512000461,10152,Intro to Coding,4,,,,,,,,
Jefferson High School,,301512000461,10152,Intro to Coding,6,,,,,,,,
Jefferson High School,,301512000461,10152,Computer Programming,7,,,,,,,,
Jefferson High School,,301512000461,10152,Computer Programming,3,,,,,,,,
Jefferson High School,,301512000461,10152,Intro to Coding,7,,,,,,,,
Jefferson High School,,301512000461,10152,Intro to Coding,9,,,,,,,,
Jefferson High School,,301512000461,10152,Intro to Coding,8,,,,,,,,
