school_name,state_school_id,nces_id,course_id,course_name,num_students_enrolled,num_students_female,num_students_black_or_african_american,num_students_hispanic_or_latino,num_students_american_indian_or_native_alaskan,num_students_native_hawaiian_or_pacific_islander,num_students_free_or_reduced_lunch,num_students_special_education_status,num_students_english_language_learner_status
Cape Fear High,,370001100402,0A027X0,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
E E Smith High,,370001102124,0A027X0,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
Terry Sanford High,,370001102134,0A027X0,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
Gray's Creek High,,370001102663,0A027X0,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
D H Conley High,,370001201495,0A027X0,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
Junius H Rose High,,370001202142,0A027X0,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
Eno River Academy,,370003502340,0A027X0,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
Woods Charter,,370005302372,0A027X0,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
Lincoln Charter School,,370006202393,0A027X0,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
Alexander Central High,,370009000028,0A027X0,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
Thomas Jefferson Class Academy,,370009302480,0A027X0,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
Millennium Charter Academy,,370011102548,0A027X0,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
KIPP Gaston College Preparatory,,370012302597,0A027X0,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
Gray Stone Day,,370012802613,0A027X0,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
Neuse Charter School,,370014402925,0A027X0,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
Asheboro High,,370024000062,0A027X0,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
Triad Math and Science Academy,,370031503031,0A027X0,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
Mountain Island Charter School,,370031703184,0A027X0,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
Triangle Math and Science Academy,,370032403259,0A027X0,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
Longleaf School of the Arts,,370033703282,0A027X0,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
Pinnacle Classical Academy,,370035303291,0A027X0,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
The Franklin School of Innovation,,370036103332,0A027X0,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
East Burke High,,370048000174,0A027X0,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
Robert L. Patton High School,,370048002832,0A027X0,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
Jimmy C Draughn High School,,370048002836,0A027X0,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
Cox Mill High School,,370053003083,0A027X0,Computer Science Principles AP ,0,0,0,0,0,0,0,0,0
Bandys High,,370069000274,0A027X0,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
Fred T Foard High,,370069000282,0A027X0,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
Maiden High,,370069000285,0A027X0,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
East Chapel Hill High,,370072001942,0A027X0,PLTW AP COMPUTER SCIENCE PRINCIPLES,0,0,0,0,0,0,0,0,0
Carrboro High,,370072002823,0A027X0,PLTW AP COMPUTER SCIENCE PRINCIPLES,0,0,0,0,0,0,0,0,0
Chatham Central High,,370075000306,0A027X0,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
Northwood High,,370075000313,0A027X0,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
Murphy High,,370078000323,0A027X0,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
