school_name,state_school_id,nces_id,course_id,course_name,num_students_enrolled,num_students_female,num_students_black_or_african_american,num_students_hispanic_or_latino,num_students_american_indian_or_native_alaskan,num_students_native_hawaiian_or_pacific_islander,num_students_free_or_reduced_lunch,num_students_special_education_status,num_students_english_language_learner_status
North Carolina Cyber Academy,,370038603361,BL082X0,Introduction to Computer Science,,,,,,,,,
NC Virtual Academy,,370039803362,BP142X0,Python Programming I,,,,,,,,,
ABSS Early College at ACC,,370003002972,BW405X0,CSC151 JAVA Programming,,,,,,,,,
Career and Technical Education Center,,370003003171,2A027X0CTC,AP Computer Science,,,,,,,,,
Career and Technical Education Center,,370003003171,BP142X0CTC,Python Programming I,,,,,,,,,
Career and Technical Education Center,,370003003171,BP145X0CTC,Python Programming I Honors,,,,,,,,,
Career and Technical Education Center,,370003003171,BP162X0CTC,Python Programming II,,,,,,,,,
Career and Technical Education Center,,370003003171,BP412X0CTC,Computer Science I,,,,,,,,,
Hawfields Middle,,370003002566,BU012YB,Computer Design Discoveries,,,,,,,,,
Southern Alamance High,,370003000016,BP105X0,Computer Programming I Honors,,,,,,,,,
Southern Alamance High,,370003000016,BP142X0,Python Programming I,,,,,,,,,
Southern Alamance High,,370003000016,BP145X0,Python Programming I Honors,,,,,,,,,
Turrentine Middle,,370003000206,BU012YB,Computer Design Discoveries,,,,,,,,,
Walter M Williams High,,370003000207,2A027X0,AP Computer Science,,,,,,,,,
Western Alamance High,,370003000019,BP102X0,Computer Programming I,,,,,,,,,
Woodlawn Middle,,370003000021,BU012YB,Computer Design Discoveries,,,,,,,,,
River Mill Academy,,370005002366,BP142X0A,Python Programming I VPS,,,,,,,,,
Clover Garden,,370011602565,BP102X0,Computer Programming I,,,,,,,,,
Clover Garden,,370011602565,BP142X0,Python Programming I,,,,,,,,,
The Hawbridge School,,370013202703,2A027X0,NCVPS - AP Computer Science,,,,,,,,,
Alexander Central High,,370009000028,0A027X0,AP Computer Science Principles,,,,,,,,,
Alexander Central High,,370009000028,BP412X0,Computer Science Principles I,,,,,,,,,
Alexander Central High,,370009000028,BP412X0VA,Computer Science I,,,,,,,,,
West Alexander Middle,,370009000035,BU012YA,Computer Science Discoveries I,,,,,,,,,
Anson Middle,,370018002056,BU012YA6,Computer Science Discoveries I Grade 6 ,,,,,,,,,
