school_name,state_school_id,nces_id,course_id,course_name,teacher_name_or_id,num_students_enrolled,num_students_female,num_students_black_or_african_american,num_students_hispanic_or_latino,num_students_american_indian_or_native_alaskan,num_students_native_hawaiian_or_pacific_islander,num_students_free_or_reduced_lunch,num_students_special_education_status,num_students_english_language_learner_status
Valley City Jr-Sr High School,ND-02002-89542,381885000656,27122,Program Ess-Vis Bas,unspecified,539,259,18,14,18,2,169,56,3
Valley City Jr-Sr High School,ND-02002-89542,381885000655,27122,Program Ess-Vis Bas,unspecified,539,259,18,14,18,2,169,56,3
Warwick Public School,ND-03029-9219,381926000671,27120,Introduction to Programming Languges,unspecified,216,107,0,0,215,1,235,40,unspecified
Warwick Public School,ND-03029-9219,381926000672,27120,Introduction to Programming Languges,unspecified,216,107,0,0,215,1,235,40,unspecified
Warwick Public School,ND-03029-9219,381926000890,27120,Introduction to Programming Languges,unspecified,216,107,0,0,215,1,235,40,unspecified
Westhope Public School,ND-05017-9325,381947000685,27120,Introduction to Programming Languges,unspecified,126,62,3,10,0,0,47,20,unspecified
Westhope Public School,ND-05017-9325,381947000686,27120,Introduction to Programming Languges,unspecified,126,62,3,10,0,0,47,20,unspecified
Bismarck High School,ND-08001-0970,380001400045,27120,Introduction to Programming Languges,unspecified,1191,602,39,62,174,10,343,141,35
Bismarck High School,ND-08001-0970,380001400045,27122,Program Ess-Vis Bas,unspecified,1191,602,39,62,174,10,343,141,35
Century High School,ND-08001-1365,380001400047,27120,Introduction to Programming Languges,unspecified,1257,614,46,39,45,4,137,100,25
Century High School,ND-08001-1365,380001400047,27122,Program Ess-Vis Bas,unspecified,1257,614,46,39,45,4,137,100,25
Legacy High School,ND-08001-5199,380001400866,23582,AP Computer Science Principles 10-12,unspecified,1245,591,49,39,82,9,199,96,24
Legacy High School,ND-08001-5199,380001400866,27120,Introduction to Programming Languges,unspecified,1245,591,49,39,82,9,199,96,24
Legacy High School,ND-08001-5199,380001400866,27122,Program Ess-Vis Bas,unspecified,1245,591,49,39,82,9,199,96,24
St Marys Central High School,ND-08409-8182,unspecified,27120,Introduction to Programming Languges,unspecified,346,164,3,3,2,2,5,unspecified,unspecified
St Marys Central High School,ND-08409-8182,unspecified,27122,Program Ess-Vis Bas,unspecified,346,164,3,3,2,2,5,unspecified,unspecified
St Marys Central High School,ND-08409-8182,unspecified,27124,Programming Ess - C++ 9-12,unspecified,346,164,3,3,2,2,5,unspecified,unspecified
Dakota Adventist Academy,ND-08410-7789,unspecified,23012,Comp Programming,unspecified,43,24,1,unspecified,unspecified,1,unspecified,unspecified,unspecified
Shiloh Christian School,ND-08415-9900,unspecified,27120,Introduction to Programming Languges,unspecified,466,236,12,13,39,unspecified,27,unspecified,unspecified
Shiloh Christian School,ND-08415-9900,unspecified,27122,Program Ess-Vis Bas,unspecified,466,236,12,13,39,unspecified,27,unspecified,unspecified
Fargo Davies High School,ND-09001-1740,380678000855,27125,Fund of JAVA Program,unspecified,1274,650,210,16,14,7,230,92,106
Fargo Davies High School,ND-09001-1740,380678000855,27120,Introduction to Programming Languges,unspecified,1274,650,210,16,14,7,230,92,106
South High School,ND-09001-2744,380678000208,27125,Fund of JAVA Program,unspecified,964,495,145,56,38,2,313,119,131
South High School,ND-09001-2744,380678000208,27120,Introduction to Programming Languges,unspecified,964,495,145,56,38,2,313,119,131
North High School,ND-09001-6125,380678000205,27125,Fund of JAVA Program,unspecified,973,471,53,46,27,4,212,142,17
North High School,ND-09001-6125,380678000205,27120,Introduction to Programming Languges,unspecified,973,471,53,46,27,4,212,142,17
Kindred High School,ND-09002-4934,380002500335,23012,Comp Programming,unspecified,339,169,3,4,7,0,31,40,unspecified
West Fargo Sheyenne High School,ND-09006-7865,381941000838,27125,Fund of JAVA Program,unspecified,1490,751,166,48,39,6,266,171,55
West Fargo Sheyenne High School,ND-09006-7865,381941000894,27125,Fund of JAVA Program,unspecified,1490,751,166,48,39,6,266,171,55
West Fargo Sheyenne High School,ND-09006-7865,381941000838,27120,Introduction to Programming Languges,unspecified,1490,751,166,48,39,6,266,171,55
West Fargo Sheyenne High School,ND-09006-7865,381941000894,27120,Introduction to Programming Languges,unspecified,1490,751,166,48,39,6,266,171,55
West Fargo Sheyenne High School,ND-09006-7865,381941000894,27122,Program Ess-Vis Bas,unspecified,1490,751,166,48,39,6,266,171,55
West Fargo Sheyenne High School,ND-09006-7865,381941000838,27122,Program Ess-Vis Bas,unspecified,1490,751,166,48,39,6,266,171,55
Northern Cass Public School,ND-09097-6121,380004400119,27120,Introduction to Programming Languges,unspecified,618,309,7,5,1,0,87,40,2
Northern Cass Public School,ND-09097-6121,380004400120,27120,Introduction to Programming Languges,unspecified,618,309,7,5,1,0,87,40,2
Northern Cass Public School,ND-09097-6121,380004400138,27120,Introduction to Programming Languges,unspecified,618,309,7,5,1,0,87,40,2
Shanley High-Sullivan Middle School,ND-09401-7826,Unspecified,23580,AP Comp Sci A,unspecified,623,305,22,6,7,2,40,unspecified,unspecified
Munich Public School,ND-10019-5895,381344000466,27120,Introduction to Programming Languges,unspecified,96,39,0,2,3,0,18,14,unspecified
Munich Public School,ND-10019-5895,381344000467,27120,Introduction to Programming Languges,unspecified,96,39,0,2,3,0,18,14,unspecified
Ellendale Public School,ND-11040-2333,380609000177,23582,AP Computer Science Principles 10-12,unspecified,291,150,3,13,3,0,103,19,7
