school_name,state_school_id,nces_id,course_id,course_name,num_students_enrolled,num_students_female,num_students_black_or_african_american,num_students_hispanic_or_latino,num_students_american_indian_or_native_alaskan,num_students_native_hawaiian_or_pacific_islander,num_students_free_or_reduced_lunch,num_students_special_education_status,num_students_english_language_learner_status
Valley City Jr-Sr High School,ND-02002-89542,381885000656,10411,Robotics Engineering,79,46,18,18,20,1,165,56,2
Valley City Jr-Sr High School,ND-02002-89543,381885000655,10411,Robotics Engineering,70,30,18,18,20,1,165,56,2
Valley City Jr-Sr High School,ND-02002-89543,381885000655,27123,Programming Essentials-Python 9-12,167,85,18,18,20,1,165,56,2
Valley City Jr-Sr High School,ND-02002-89542,381885000656,27123,Programming Essentials-Python 9-12,167,85,18,18,20,1,165,56,2
Valley City Jr-Sr High School,ND-02002-89543,381885000655,23580,AP Comp Sci A,70,30,18,18,20,1,165,56,2
Valley City Jr-Sr High School,ND-02002-89542,381885000656,23580,AP Comp Sci A,70,30,18,18,20,1,165,56,2
Barnes County North Public School,ND-02007-94633,380006000702,23012,Comp Programming,23,11,0,5,0,1,96,24,
Barnes County North Public School,ND-02007-94631,380006000701,23012,Comp Programming,32,12,0,5,0,1,96,24,
Barnes County North Public School,ND-02007-94631,380006000701,27120,Introduction to Programming Languges,20,9,0,5,0,1,96,24,
Barnes County North Public School,ND-02007-94633,380006000702,27120,Introduction to Programming Languges,20,9,0,5,0,1,96,24,
Minnewaukan Public School,ND-03005-57413,381299000431,23012,Comp Programming,11,3,0,2,225,2,258,39,1
Minnewaukan Public School,ND-03005-57411,381299000430,23012,Comp Programming,28,16,0,2,225,2,258,39,1
Westhope Public School,ND-05017-93251,381947000685,27120,Introduction to Programming Languges,27,15,4,7,2,0,58,20,
Westhope Public School,ND-05017-93253,381947000686,27120,Introduction to Programming Languges,27,15,4,7,2,0,58,20,
Bowman Co Public School,ND-06001-10431,380320000074,27510,AP Computer Science Principles (CTE) 10-12,10,10,2,40,8,0,69,43,22
Bowman Co Public School,ND-06001-10433,380320000075,27510,AP Computer Science Principles (CTE) 10-12,24,12,2,40,8,0,69,43,22
Bismarck High School,ND-08001-09703,380001400045,23582,AP Computer Science Principles 10-12,14,9,51,66,177,9,365,141,40
Bismarck High School,ND-08001-09703,380001400045,27120,Introduction to Programming Languges,19,8,51,66,177,9,365,141,40
Bismarck High School,ND-08001-09703,380001400045,27122,Program Ess-Vis Bas,11,5,51,66,177,9,365,141,40
Bismarck High School,ND-08001-09703,380001400045,10411,Robotics Engineering,13,6,51,66,177,9,365,141,40
Century High School,ND-08001-13653,380001400047,27127,Adv JAVA Program,0,0,62,42,49,6,155,100,33
Century High School,ND-08001-13653,380001400047,27120,Introduction to Programming Languges,9,6,62,42,49,6,155,100,33
Century High School,ND-08001-13653,380001400047,27122,Program Ess-Vis Bas,11,7,62,42,49,6,155,100,33
Century High School,ND-08001-13653,380001400047,10411,Robotics Engineering,8,5,62,42,49,6,155,100,33
Legacy High School,ND-08001-51993,380001400866,23582,AP Computer Science Principles 10-12,305,167,45,41,97,11,227,96,31
Legacy High School,ND-08001-51993,380001400866,27120,Introduction to Programming Languges,273,128,45,41,97,11,227,96,31
Legacy High School,ND-08001-51993,380001400866,27122,Program Ess-Vis Bas,30,18,45,41,97,11,227,96,31
Legacy High School,ND-08001-51993,380001400866,10411,Robotics Engineering,31,12,45,41,97,11,227,96,31
Fargo Davies High School,ND-09001-17403,380678000855,27125,Fund of JAVA Program,14,6,194,28,24,9,252,92,117
South High School,ND-09001-27443,380678000208,27120,Introduction to Programming Languges,3,1,151,58,33,3,332,119,125
North High School,ND-09001-61253,380678000205,27125,Fund of JAVA Program,12,10,47,39,41,4,215,142,18
North High School,ND-09001-61253,380678000205,27120,Introduction to Programming Languges,29,11,47,39,41,4,215,142,18
Kindred High School,ND-09002-49343,380002500335,23580,AP Comp Sci A,4,0,1,3,7,0,41,40,1
West Fargo Sheyenne High School,ND-09006-78653,381941000838,27125,Fund of JAVA Program,10,3,206,47,39,6,298,171,79
West Fargo Sheyenne High School,ND-09006-78653,381941000838,27120,Introduction to Programming Languges,12,3,206,47,39,6,298,171,79
West Fargo Sheyenne High School,ND-09006-78653,381941000838,27122,Program Ess-Vis Bas,2,1,206,47,39,6,298,171,79
West Fargo High School,ND-09006-93153,381941000683,10411,Robotics Engineering,40,18,259,72,39,3,515,208,186
West Fargo High School,ND-09006-93153,381941000683,27125,Fund of JAVA Program,16,9,259,72,39,3,515,208,186
