school_name,state_school_id,nces_id,course_id,course_name,num_students_enrolled,num_students_female,num_students_black_or_african_american,num_students_hispanic_or_latino,num_students_american_indian_or_native_alaskan,num_students_native_hawaiian_or_pacific_islander,num_students_free_or_reduced_lunch,num_students_special_education_status,num_students_english_language_learner_status
KENESAW SECONDARY SCHOOL,,317242001112,270401,PROGRAMMING I,6,3,0,0,0,0,4,0,0
SILVER LAKE HIGH SCHOOL,,310006601883,270402,PROGRAMMING II,1,0,0,1,0,0,0,0,0
ELGIN HIGH SCHOOL,,317005000923,270701,COMPUTER SCIENCE A,3,1,0,0,0,0,2,1,0
VERDIGRE HIGH SCHOOL,,310011901679,270703,COMPUTER SCIENCE PRINCIPLES,2,0,0,0,0,0,1,1,0
BOONE CENTRAL HIGH SCHOOL,,310282000008,270401,PROGRAMMING I,12,5,0,0,1,0,4,0,0
KEARNEY HIGH SCHOOL,,317239001105,270702,ADVANCED PLACEMENT COMPUTER SCIENCE PRINCIPLES,15,4,0,1,0,0,5,1,0
KEARNEY HIGH SCHOOL,,317239001105,270710,PROJECT LEAD THE WAY – COMPUTER SCIENCE ESSENTIALS,72,11,3,5,1,0,26,6,1
HIGH SCHOOL AT BRAINARD,,310000300918,270411,INTRODUCTION TO COMPUTER SCIENCE,4,1,0,0,0,0,2,1,0
PLATTSMOUTH HIGH SCHOOL,,317566001523,270701,COMPUTER SCIENCE A,2,0,0,0,0,0,1,0,0
CONESTOGA JR/SR HIGH SCHOOL,,317420001290,270401,PROGRAMMING I,63,30,1,7,1,0,16,9,1
WYNOT HIGH SCHOOL,,317899001746,270403,PROGRAMMING III,1,0,0,0,0,0,0,0,0
WYNOT HIGH SCHOOL,,317899001746,270702,ADVANCED PLACEMENT COMPUTER SCIENCE PRINCIPLES,1,0,0,0,0,0,1,1,0
WYNOT HIGH SCHOOL,,317899001746,270703,COMPUTER SCIENCE PRINCIPLES,1,0,0,0,0,0,1,1,0
CODY-KILGORE HIGH SCHOOL,,310528000157,270401,PROGRAMMING I,1,0,0,0,0,0,1,0,0
CODY-KILGORE HIGH SCHOOL,,310528000157,270403,PROGRAMMING III,2,0,0,0,0,0,1,2,0
SIDNEY HIGH SCHOOL,,317671001601,270401,PROGRAMMING I,101,48,1,14,1,0,46,10,0
SIDNEY HIGH SCHOOL,,317671001601,270402,PROGRAMMING II,8,2,0,0,0,0,1,0,0
SIDNEY MIDDLE SCHOOL,,317671001602,270411,INTRODUCTION TO COMPUTER SCIENCE,106,45,2,7,0,0,54,7,0
LEYTON HIGH SCHOOL,,310007200188,270411,INTRODUCTION TO COMPUTER SCIENCE,1,0,0,1,0,0,1,1,0
HOWELLS SENIOR HIGH SCHOOL,,310018301090,270708,PROJECT LEAD THE WAY - COMPUTER SCIENCE PRINCIPLES,2,0,0,0,0,0,0,2,0
SCHUYLER MIDDLE SCHOOL,,317645002216,270401,PROGRAMMING I,67,18,2,58,0,0,57,0,13
SCHUYLER MIDDLE SCHOOL,,317645002216,270402,PROGRAMMING II,26,5,0,23,0,0,19,0,5
WEST POINT-BEEMER HIGH SCHOOL,,310000601707,270708,PROJECT LEAD THE WAY - COMPUTER SCIENCE PRINCIPLES,11,1,0,7,0,0,7,2,0
BANCROFT-ROSALIE JR/SR HIGH SCHOOL,,310344000049,270708,PROJECT LEAD THE WAY - COMPUTER SCIENCE PRINCIPLES,1,0,0,0,0,0,0,0,0
WISNER-PILGER HIGH SCHOOL,,310000801734,270701,COMPUTER SCIENCE A,7,2,0,3,0,0,5,2,1
WISNER-PILGER HIGH SCHOOL,,310000801734,270708,PROJECT LEAD THE WAY - COMPUTER SCIENCE PRINCIPLES,1,0,0,0,0,0,0,0,0
WISNER-PILGER HIGH SCHOOL,,310000801734,270709,PROJECT LEAD THE WAY - COMPUTER SCIENCE A,1,0,0,0,0,0,0,0,0
ANSLEY HIGH SCHOOL,,310306000024,270401,PROGRAMMING I,5,1,0,1,0,0,3,0,0
ANSLEY HIGH SCHOOL,,310306000024,270705,SOFTWARE DEVELOPMENT,1,0,0,0,0,0,1,1,0
ARNOLD HIGH SCHOOL,,310007300032,270402,PROGRAMMING II,6,4,0,0,0,0,1,0,0
SOUTH SIOUX HIGH SCHOOL,,317686001616,270402,PROGRAMMING II,20,2,2,10,0,0,11,1,2
SOUTH SIOUX HIGH SCHOOL,,317686001616,270403,PROGRAMMING III,15,2,2,5,0,0,7,0,2
CHADRON SENIOR HIGH SCHOOL,,310498000138,270411,INTRODUCTION TO COMPUTER SCIENCE,16,6,0,0,2,0,7,2,0
LEXINGTON HIGH SCHOOL,,317281001131,270401,PROGRAMMING I,14,2,0,9,1,0,9,4,2
LEXINGTON HIGH SCHOOL,,317281001131,270402,PROGRAMMING II,11,2,1,6,0,0,7,3,3
COZAD HIGH SCHOOL,,310546000173,270401,PROGRAMMING I,14,1,0,3,0,0,6,0,0
COZAD HIGH SCHOOL,,310546000173,270402,PROGRAMMING II,10,0,0,3,0,0,5,0,0
GOTHENBURG SECONDARY SCHOOL,,317110001012,270703,COMPUTER SCIENCE PRINCIPLES,23,1,0,0,0,0,4,3,0
EMERSON-HUBBARD HIGH SCHOOL,,310014101425,270701,COMPUTER SCIENCE A,3,1,0,0,0,0,0,1,0
FREMONT SENIOR HIGH SCHOOL,,317071000984,270401,PROGRAMMING I,12,0,0,4,0,0,5,0,1
FREMONT MIDDLE SCHOOL,,317071000978,270411,INTRODUCTION TO COMPUTER SCIENCE,488,252,11,179,3,3,309,89,39
SCRIBNER-SNYDER SECONDARY SCH,,310007601585,270401,PROGRAMMING I,9,7,0,1,0,0,5,2,0
SCRIBNER-SNYDER SECONDARY SCH,,310007601585,270402,PROGRAMMING II,4,1,0,0,0,0,2,1,0
SCRIBNER-SNYDER SECONDARY SCH,,310007601585,270702,ADVANCED PLACEMENT COMPUTER SCIENCE PRINCIPLES,3,0,0,0,0,0,3,1,0
BRYAN HIGH SCHOOL,,317482001359,270401,PROGRAMMING I,3,0,2,0,0,0,2,1,0
BRYAN HIGH SCHOOL,,317482001359,270402,PROGRAMMING II,1,0,0,0,0,0,0,0,0
BURKE HIGH SCHOOL,,317482001360,270401,PROGRAMMING I,1,1,0,0,0,0,0,0,0
BURKE HIGH SCHOOL,,317482001360,270402,PROGRAMMING II,1,1,0,0,0,0,0,0,0
BURKE HIGH SCHOOL,,317482001360,270700,ADVANCED PLACEMENT COMPUTER SCIENCE A,11,1,1,0,0,0,3,0,1
BURKE HIGH SCHOOL,,317482001360,270703,COMPUTER SCIENCE PRINCIPLES,25,3,4,1,0,0,7,4,0
CENTRAL HIGH SCHOOL,,317482001363,270401,PROGRAMMING I,18,7,5,1,0,0,5,0,0
CENTRAL HIGH SCHOOL,,317482001363,270402,PROGRAMMING II,16,5,4,1,0,0,4,0,0
CENTRAL HIGH SCHOOL,,317482001363,270702,ADVANCED PLACEMENT COMPUTER SCIENCE PRINCIPLES,8,0,1,1,0,0,3,0,0
CENTRAL HIGH SCHOOL,,317482001363,270703,COMPUTER SCIENCE PRINCIPLES,26,4,4,3,0,0,14,0,1
OMAHA NORTH MAGNET HIGH SCHOOL,,317482001416,270401,PROGRAMMING I,3,1,1,2,0,0,2,1,0
OMAHA NORTH MAGNET HIGH SCHOOL,,317482001416,270402,PROGRAMMING II,2,1,1,1,0,0,2,0,0
