school_name,state_school_id,nces_id,course_id,course_name,teacher_name_or_id,num_students_enrolled,num_students_female,num_students_black_or_african_american,num_students_hispanic_or_latino,num_students_american_indian_or_native_alaskan,num_students_native_hawaiian_or_pacific_islander,num_students_free_or_reduced_lunch,num_students_special_education_status,num_students_english_language_learner_status
ACADEMY FOR SCIENCE AND DESIGN CHARTER (H),NH-725-672572528615,330004000684,11200,C++ PROGRAMMING,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
GREAT BAY ELEARNING CHARTER SCHOOL (H),NH-709-770970928445,330004800609,11200,C++ PROGRAMMING,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
KEENE HIGH SCHOOL,NH-279-22927927921195,330405000202,11200,C++ PROGRAMMING,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
NORTH COUNTRY CHARTER ACADEMY (H),NH-703-470370328395,330003000605,11200,C++ PROGRAMMING,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
CONANT HIGH SCHOOL,NH-274-24727427322265,330403000188,11400,AP Computer Science,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
GREAT BAY ELEARNING CHARTER SCHOOL (H),NH-709-770970928445,330004800609,11400,AP Computer Science,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
NORTH COUNTRY CHARTER ACADEMY (H),NH-703-470370328395,330003000605,11400,AP Computer Science,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
WILTON-LYNDEBORO SENIOR HIGH SCHOOL,NH-572-56357257123070,330711500457,11400,AP Computer Science,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
ACADEMY FOR SCIENCE AND DESIGN CHARTER (H),NH-725-672572528615,330004000684,11500,AP Computer Science A,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
ACADEMY FOR SCIENCE AND DESIGN CHARTER (H),NH-725-672572528615,330004000684,11500,Exploring Computer Science,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
ACADEMY FOR SCIENCE AND DESIGN CHARTER (H),NH-725-672572528615,330004000684,11500,JAVA,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
ACADEMY FOR SCIENCE AND DESIGN CHARTER (H),NH-725-672572528615,330004000684,11500,Python,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
COE-BROWN NORTHWOOD ACADEMY,NH-998-720199841122025,330733000519,11500,INTRO  PROGRAMMING,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
CONANT HIGH SCHOOL,NH-274-24727427322265,330403000188,11500,AP Computer Science A,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
GORHAM HIGH SCHOOL,NH-203-32020320120750,330003500142,11500,AP Computer Science A,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
GREAT BAY ELEARNING CHARTER SCHOOL (H),NH-709-770970928445,330004800609,11500,INTRO  PROGRAMMING,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
GREAT BAY ELEARNING CHARTER SCHOOL (H),NH-709-770970928445,330004800609,11500,AP Computer Science A,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
GREAT BAY ELEARNING CHARTER SCHOOL (H),NH-709-770970928445,330004800609,11500,JAVA,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
KEENE HIGH SCHOOL,NH-279-22927927921195,330405000202,11500,JAVA,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
LITTLETON HIGH SCHOOL,NH-317-48431731721445,330438000229,11500,Computer  Programming,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
MASCOMA VALLEY REGIONAL HIGH SCHOOL,NH-343-46234307721305,330468000275,11500,INTRO  PROGRAMMING,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
NEWMARKET JR.-SR. HIGH SCHOOL,NH-399-73139939923115,330528000518,11500,Computer Science Essentials,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
NORTH COUNTRY CHARTER ACADEMY (H),NH-703-470370328395,330003000605,11500,INTRO  PROGRAMMING,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
NORTH COUNTRY CHARTER ACADEMY (H),NH-703-470370328395,330003000605,11500,AP Computer Science A,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
NORTH COUNTRY CHARTER ACADEMY (H),NH-703-470370328395,330003000605,11500,JAVA,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
