School Year,SCHOOL_NAME,DIST_ASSIGNED,SCHOOL_ASSIGNED,NCES_SCHOOL_ID,COURSEID,COURSE_NAME
2017-2018,Absegami High School,1790,040,340606000122,10152,COMPUTER PROGRAMMING
2017-2018,Absegami High School,1790,040,340606000122,10155,JAVA PROGRAMMING
2017-2018,Absegami High School,1790,040,340606000122,10157,AP COMPUTER SCIENCE A
2017-2018,Academy For Information Technology,5260,030,341804006134,10155,JAVA PROGRAMMING
2017-2018,Academy For Information Technology,5260,030,341804006134,10157,AP COMPUTER SCIENCE A
2017-2018,Academy for Urban Leadership Charter School,6032,901,340074103050,10152,COMPUTER PROGRAMMING
2017-2018,Allentown High School,5310,050,341656004124,10152,COMPUTER PROGRAMMING
2017-2018,Allentown High School,5310,050,341656004124,10153,VISUAL BASIC (VB) PROGRAMMING
2017-2018,Arthur L. Johnson High School,0850,005,340315000205,10152,COMPUTER PROGRAMMING
2017-2018,Arthur L. Johnson High School,0850,005,340315000205,10153,VISUAL BASIC (VB) PROGRAMMING
2017-2018,Arthur L. Johnson High School,0850,005,340315000205,10155,JAVA PROGRAMMING
2017-2018,Arthur L. Johnson High School,0850,005,340315000205,10157,AP COMPUTER SCIENCE A
2017-2018,ARTHUR P SCHALICK HIGH SCHOOL,4150,040,341311005080,10152,COMPUTER PROGRAMMING
2017-2018,ARTHUR P SCHALICK HIGH SCHOOL,4150,040,341311005080,10154,C++ PROGRAMMING
2017-2018,ARTHUR P SCHALICK HIGH SCHOOL,4150,040,341311005080,10157,AP COMPUTER SCIENCE A
2017-2018,Atlantic City High School,0110,010,340096000010,10152,COMPUTER PROGRAMMING
2017-2018,Atlantic County Institute of Technology,0120,010,340099000034,10152,COMPUTER PROGRAMMING
2017-2018,Atlantic County Institute of Technology,0120,010,340099000034,10154,C++ PROGRAMMING
2017-2018,Atlantic County Institute of Technology,0120,010,340099000034,10156,COMPUTER PROGRAMMING—OTHER LANGUAGE
2017-2018,Atlantic County Institute of Technology,0120,010,340099000034,10157,AP COMPUTER SCIENCE A
2017-2018,Audubon Junior/Senior High School,0150,010,340105001298,10152,COMPUTER PROGRAMMING
2017-2018,Barnegat High School,0185,030,341647000557,10019,AP COMPUTER SCIENCE PRINCIPLES
2017-2018,Barnegat High School,0185,030,341647000557,10157,AP COMPUTER SCIENCE A
2017-2018,Bayonne High School,0220,020,340126002704,10152,COMPUTER PROGRAMMING
2017-2018,Bayonne High School,0220,020,340126002704,10157,AP COMPUTER SCIENCE A
2017-2018,Bergen County Academies,0290,020,340147000250,10152,COMPUTER PROGRAMMING
