school_name,state_school_id,nces_id,course_id,course_name,teacher_name_or_id,num_students_enrolled,num_students_female,num_students_black_or_african_american,num_students_hispanic_or_latino,num_students_american_indian_or_native_alaskan,num_students_native_hawaiian_or_pacific_islander,num_students_free_or_reduced_lunch,num_students_special_education_status,num_students_english_language_learner_status
Atlantic City High School,NJ-010110-010,340096000010,10152,Computer Programming,21,3,0,6,0,1,14,1,0,
Atlantic County Institute of Technology,NJ-010120-010,340099000034,10152,Computer Programming,26,4,3,11,0,0,10,0,0,
Atlantic County Institute of Technology,NJ-010120-010,340099000034,10152,Computer Programming,46,9,7,14,0,0,19,0,0,
Atlantic County Institute of Technology,NJ-010120-010,340099000034,10157,AP Computer Science A,29,5,5,7,0,1,16,1,0,
Egg Harbor Township High School,NJ-011310-005,340456005961,10155,Java Programming,52,9,6,15,0,0,31,3,3,
Egg Harbor Township High School,NJ-011310-005,340456005961,10155,Java Programming,43,16,2,3,0,1,14,0,0,
Egg Harbor Township High School,NJ-011310-005,340456005961,10157,AP Computer Science A,44,15,2,1,0,0,16,0,0,
Absegami High School,NJ-011790-040,340606000122,10152,Computer Programming,20,3,2,0,0,0,8,1,0,
Absegami High School,NJ-011790-040,340606000122,10155,Java Programming,24,4,4,6,0,0,13,3,0,
Absegami High School,NJ-011790-040,340606000122,10157,AP Computer Science A,85,36,5,12,0,0,36,3,0,
Oakcrest High School,NJ-011790-050,340606000124,10155,Java Programming,17,0,3,1,0,0,14,4,0,
Oakcrest High School,NJ-011790-050,340606000124,10157,AP Computer Science A,10,2,0,0,0,0,3,0,0,
Hammonton High School,NJ-011960-050,340657000136,10157,AP Computer Science A,1,0,0,0,0,0,0,0,0,
Hammonton High School,NJ-011960-050,340657000136,10157,AP Computer Science A,1,0,0,0,0,0,1,0,0,
Hammonton High School,NJ-011960-050,340657000136,10157,AP Computer Science A,1,1,0,0,0,0,1,0,0,
Mainland Regional High School,NJ-012910-050,340936000158,10152,Computer Programming,23,3,1,0,0,0,5,6,0,
Mainland Regional High School,NJ-012910-050,340936000158,10152,Computer Programming,25,2,0,10,0,0,7,6,0,
Mainland Regional High School,NJ-012910-050,340936000158,10157,AP Computer Science A,35,4,0,1,0,0,4,5,0,
Pleasantville High School,NJ-014180-050,341320000192,10152,Computer Programming,43,11,12,25,0,1,33,1,0,
Emotionally Disturbed,NJ-030285-050,340145000238,10155,Java Programming,1,0,1,0,0,0,0,1,0,
Bergen County Academies,NJ-030290-020,340147000250,10157,AP Computer Science A,45,5,1,4,0,0,3,0,0,
Bergen County Academies,NJ-030290-020,340147000250,10152,Computer Programming,70,23,1,5,0,1,1,1,0,
Bergen County Academies,NJ-030290-020,340147000250,10157,AP Computer Science A,13,3,0,1,0,0,0,1,0,
Bergen County Academies,NJ-030290-020,340147000250,10152,Computer Programming,57,17,0,4,0,1,3,0,0,
Bergen County Academies,NJ-030290-020,340147000250,10157,AP Computer Science A,16,10,0,3,0,1,2,0,0,
Bergen County Academies,NJ-030290-020,340147000250,10152,Computer Programming,17,7,0,2,0,0,0,0,0,
Bergen County Academies,NJ-030290-020,340147000250,10156,Computer ProgrammingâOther Language,6,3,1,0,0,0,0,0,0,
Bergen County Academies,NJ-030290-020,340147000250,10157,AP Computer Science A,6,2,0,0,0,0,1,0,0,
Bergen County Technical High School - Teterboro,NJ-030290-070,340147000262,10152,Computer Programming,14,2,0,2,0,0,1,0,0,
