school_name,state_school_id,nces_id,course_id,course_name,num_students_enrolled,num_students_female,num_students_black_or_african_american,num_students_hispanic_or_latino,num_students_american_indian_or_native_alaskan,num_students_native_hawaiian_or_pacific_islander,num_students_free_or_reduced_lunch,num_students_special_education_status,num_students_english_language_learner_status
Atlantic City High School,,340096000010,10152,Computer Programming,37,11,2,6,0,0,29,2,1
Atlantic City High School,,340096000010,10157,AP Computer Science A ,55,19,2,3,0,4,48,1,0
Atlantic County Institute of Technology,,340099000034,10152,Computer Programming,55,12,4,14,0,1,24,2,0
Atlantic County Institute of Technology,,340099000034,10154,C++ Programming ,17,8,4,2,0,1,6,2,0
Atlantic County Institute of Technology,,340099000034,10157,AP Computer Science A ,20,5,4,3,0,0,9,0,0
Egg Harbor Township High School,,340456005961,10019,AP Computer Science Principles,27,6,2,0,0,0,9,0,0
Egg Harbor Township High School,,340456005961,10155,Java Programming ,94,15,4,19,0,0,38,9,7
Egg Harbor Township High School,,340456005961,10157,AP Computer Science A ,37,14,1,3,0,0,10,0,0
Egg Harbor Township High School,,340456005961,10160,PARTICULAR TOPICS IN COMPUTER PROGRAMMING,1,0,0,0,0,0,0,0,0
Egg Harbor Township High School,,340456005961,10197,COMPUTER PROGRAMMING—INDEPENDENT STUDY,1,1,0,0,0,0,0,0,0
Absegami High School,,340606000122,10019,AP Computer Science Principles,20,10,0,2,0,0,8,0,0
Absegami High School,,340606000122,10152,Computer Programming,52,12,10,8,0,0,20,2,0
Absegami High School,,340606000122,10155,Java Programming ,48,10,10,14,0,0,32,4,4
Absegami High School,,340606000122,10157,AP Computer Science A ,36,9,4,5,0,0,18,3,0
Oakcrest High School,,340606000124,10019,AP Computer Science Principles,16,4,2,1,0,0,3,0,0
Oakcrest High School,,340606000124,10155,Java Programming ,8,0,3,1,0,0,3,1,0
Oakcrest High School,,340606000124,10157,AP Computer Science A ,9,2,0,0,0,0,2,0,0
Hammonton High School,,340657000136,10157,AP Computer Science A ,4,3,0,1,0,0,1,0,0
Mainland Regional High School,,340936000158,10152,Computer Programming,58,8,7,11,0,0,17,15,0
Mainland Regional High School,,340936000158,10157,AP Computer Science A ,36,7,0,0,0,0,4,1,0
Pleasantville High School,,341320000192,10152,Computer Programming,47,10,11,32,0,1,37,7,1
Emotionally Disturbed,,340145000238,10156,Computer Programming—Other Language ,1,0,0,0,0,0,0,1,0
Emotionally Disturbed,,340145000238,10157,AP Computer Science A ,1,0,1,0,0,0,0,1,0
Bergen County Academies,,340147000250,10152,Computer Programming,158,81,1,10,0,0,6,1,0
Bergen County Academies,,340147000250,10154,C++ Programming ,42,12,0,3,0,0,2,0,0
Bergen County Academies,,340147000250,10157,AP Computer Science A ,76,26,1,5,0,2,2,0,0
Bergen County Academies,,340147000250,10160,PARTICULAR TOPICS IN COMPUTER PROGRAMMING,98,13,1,13,0,1,7,3,0
