school_name,state_school_id,nces_id,course_id,course_name,num_students_enrolled,num_students_female,num_students_black_or_african_american,num_students_hispanic_or_latino,num_students_american_indian_or_native_alaskan,num_students_native_hawaiian_or_pacific_islander,num_students_free_or_reduced_lunch,num_students_special_education_status,num_students_english_language_learner_status
ACADEMY OF ARTS CAREERS & TECH,,320048000664,10157,AP Computer Science A,9,1,0,1,0,0,0,0,0
Advanced Technologies Academy HS,,320006000419,10157,AP Computer Science A,65,16,4,24,0,1,65,0,0
Arbor View HS,,320006000661,10157,AP Computer Science A,9,2,0,3,0,0,0,0,0
Canyon Springs HS,,320006000567,10157,AP Computer Science A,5,0,1,4,0,0,0,0,0
Carlin High School,,320012000568,10157,AP Computer Science A,1,0,0,0,0,0,0,0,0
Centennial HS,,320006000493,10157,AP Computer Science A,18,8,2,1,0,0,18,0,0
Cheyenne HS,,320006000405,10157,AP Computer Science A,6,2,0,4,0,0,0,0,0
"Clark, Ed W HS",,320006000030,10157,AP Computer Science A,51,18,0,7,0,0,51,0,0
Coral Academy High School,,320048000525,10157,AP Computer Science A,21,2,0,2,0,0,0,0,0
Coral Academy Sandy Ridge,,320000100742,10157,AP Computer Science A,6,1,0,2,0,0,0,0,0
Coronado HS,,320006000540,10157,AP Computer Science A,21,4,0,2,0,0,0,0,0
DAMONTE RANCH HIGH SCHOOL,,320048000602,10157,AP Computer Science A,37,7,1,5,0,0,0,0,0
Dayton High School,,320030000310,10157,AP Computer Science A,3,0,0,0,0,0,0,0,0
Desert Oasis HS,,320006000754,10157,AP Computer Science A,40,6,4,4,0,0,11,0,0
Douglas High School,,320009000120,10157,AP Computer Science A,5,0,0,0,0,0,0,0,0
Elko High School,,320012000130,10157,AP Computer Science A,5,1,0,0,0,0,0,0,0
Foothill HS,,320006000494,10157,AP Computer Science A,21,2,0,3,0,0,0,0,0
INCLINE HIGH SCHOOL,,320048000225,10157,AP Computer Science A,1,0,0,0,0,0,0,0,0
Moapa Valley HS,,320006000078,10157,AP Computer Science A,4,2,0,2,0,0,0,0,0
Mojave HS,,320006000445,10157,AP Computer Science A,4,2,3,1,0,0,0,0,0
Pahrump Valley High School,,320036000192,10157,AP Computer Science A,3,1,0,0,0,0,0,0,0
Palo Verde HS,,320006000446,10157,AP Computer Science A,11,1,0,2,0,0,0,0,0
ACADEMY OF ARTS CAREERS & TECH,,320048000664,10019,AP Computer Science Principles,19,3,0,2,0,0,0,0,0
RENO HIGH SCHOOL,,320048000239,10157,AP Computer Science A,14,4,0,3,0,0,0,0,0
ACADEMY OF ARTS CAREERS & TECH,,320048000664,10011,Computer Science II,3,2,0,1,0,0,0,0,0
Shadow Ridge HS,,320006000595,10157,AP Computer Science A,8,0,2,2,0,0,0,0,0
Southwest Career & Technical Academy HS,,320006000780,10157,AP Computer Science A,8,2,1,1,0,1,0,0,0
SPANISH SPRINGS HIGH SCHOOL,,320048000545,10157,AP Computer Science A,10,3,1,3,2,0,0,0,0
NV Learning Academy J-SHS,,320006000845,10019,AP Computer Science Principles,5,4,1,1,0,0,0,0,0
Advanced Technologies Academy HS,,320006000419,10019,AP Computer Science Principles,159,42,8,65,1,0,159,0,0
Arbor View HS,,320006000661,10019,AP Computer Science Principles,65,16,5,8,0,0,16,0,0
Canyon Springs HS,,320006000567,10019,AP Computer Science Principles,31,8,9,19,1,0,31,0,0
Carlin High School,,320012000568,10019,AP Computer Science Principles,3,1,0,0,0,0,0,0,0
Carson High School,,320039000280,10019,AP Computer Science Principles,14,2,0,3,0,0,0,0,0
Cheyenne HS,,320006000405,10019,AP Computer Science Principles,26,9,7,12,0,2,26,0,0
Churchill County High School,,320003000001,10019,AP Computer Science Principles,3,1,0,1,0,0,0,0,0
Cimarron-Memorial HS,,320006000406,10019,AP Computer Science Principles,24,15,8,9,0,1,24,0,0
"Clark, Ed W HS",,320006000030,10019,AP Computer Science Principles,108,49,7,25,0,2,108,0,11
