school_name,state_school_id,nces_id,course_id,course_name,teacher_name_or_id,num_students_enrolled,num_students_female,num_students_black_or_african_american,num_students_hispanic_or_latino,num_students_american_indian_or_native_alaskan,num_students_native_hawaiian_or_pacific_islander,num_students_free_or_reduced_lunch,num_students_special_education_status,num_students_english_language_learner_status
ALBANY HIGH SCHOOL,NY-010100010000-010100010034,360246000014,21009,Robotics,unspecified,153,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
ALBANY LEADERSHIP CHARTER HS-GIRLS,NY-010100860960-010100860960,360100606202,10152,Computer Programming,unspecified,17,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
BERNE-KNOX-WESTERLO JUNIOR-SENIOR HS,NY-010201040000-010201040001,360465000208,10152,Computer Programming,unspecified,15,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
BETHLEHEM CENTRAL SENIOR HIGH SCHOOL,NY-010306060000-010306060008,360471000211,10152,Computer Programming,unspecified,48,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
BETHLEHEM CENTRAL SENIOR HIGH SCHOOL,NY-010306060000-010306060008,360471000211,10157,AP Computer Science A,unspecified,17,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
RAVENA-COEYMANS-SELKIRK SR HS,NY-010402060000-010402060001,362415003327,10152,Computer Programming,unspecified,10,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
COHOES HIGH SCHOOL,NY-010500010000-010500010007,360798000569,02156,Computer Math with Algebra,unspecified,22,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
SHAKER HIGH SCHOOL,NY-010623060000-010623060010,362100002985,10157,AP Computer Science A,unspecified,39,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
SHAKER HIGH SCHOOL,NY-010623060000-010623060010,362100002985,21009,Robotics,unspecified,40,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
GUILDERLAND HIGH SCHOOL,NY-010802060000-010802060005,361308001070,10152,Computer Programming,unspecified,12,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
