school_name,state_school_id,nces_id,course_id,course_name,num_students_enrolled,num_students_female,num_students_black_or_african_american,num_students_hispanic_or_latino,num_students_american_indian_or_native_alaskan,num_students_native_hawaiian_or_pacific_islander,num_students_free_or_reduced_lunch,num_students_special_education_status,num_students_english_language_learner_status
BROADALBIN-PERTH HIGH SCHOOL,,360000500282,10157,AP Computer Science A,0,0,0,0,0,0,0,0,0
BROADALBIN-PERTH HIGH SCHOOL,,360000500282,10152,Computer Programming,0,0,0,0,0,0,0,0,0
BROADALBIN-PERTH HIGH SCHOOL,,360000500282,10155,Java Programming,0,0,0,0,0,0,0,0,0
BELLPORT SENIOR HIGH SCHOOL,,360000800193,10152,Computer Programming,0,0,0,0,0,0,0,0,0
BELLPORT SENIOR HIGH SCHOOL,,360000800193,10152,Computer Programming,0,0,0,0,0,0,0,0,0
ONEIDA SENIOR HIGH SCHOOL,,360001301199,10157,AP Computer Science A,0,0,0,0,0,0,0,0,0
ONEIDA SENIOR HIGH SCHOOL,,360001301199,10157,AP Computer Science A,0,0,0,0,0,0,0,0,0
ONEIDA SENIOR HIGH SCHOOL,,360001301199,10152,Computer Programming,0,0,0,0,0,0,0,0,0
ONEIDA SENIOR HIGH SCHOOL,,360001301199,10199,Computer Programming-Other,0,0,0,0,0,0,0,0,0
MATTITUCK JUNIOR-SENIOR HIGH SCHOOL,,360002101704,10152,Computer Programming,0,0,0,0,0,0,0,0,0
CATTARAUGUS-LITTLE VALLEY HS,,360002404324,10157,AP Computer Science A,0,0,0,0,0,0,0,0,0
CATTARAUGUS-LITTLE VALLEY HS,,360002404324,10156,Computer Programming-Other Language,0,0,0,0,0,0,0,0,0
TAPESTRY CHARTER SCHOOL,,360003804346,10019,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
TAPESTRY CHARTER SCHOOL,,360003804346,10019,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
LOWER EAST SIDE PREP HIGH SCHOOL,,360007600624,10019,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
LOWER EAST SIDE PREP HIGH SCHOOL,,360007600624,10019,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,,360007603680,10019,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,,360007603680,10019,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
"NEW EXPLORATIONS SCI, TECH & MATH",,360007604873,10019,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
"NEW EXPLORATIONS SCI, TECH & MATH",,360007604873,10019,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
HS FOR ENVIRONMENTAL STUDIES,,360007700116,10019,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
HS FOR ENVIRONMENTAL STUDIES,,360007700116,10019,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
MANHATTAN VILLAGE ACADEMY,,360007700584,10019,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
MANHATTAN VILLAGE ACADEMY,,360007700584,10019,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
VANGUARD HIGH SCHOOL,,360007700585,10019,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
VANGUARD HIGH SCHOOL,,360007700585,10019,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
MANHATTAN INTERNATIONAL HIGH SCHOOL,,360007700586,10019,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
MANHATTAN INTERNATIONAL HIGH SCHOOL,,360007700586,10019,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
HS-HEALTH PROFESSIONS & HUMAN SVCS,,360007700691,10019,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
HS-HEALTH PROFESSIONS & HUMAN SVCS,,360007700691,10019,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
LEADERSHIP & PUBLIC SERVICE HIGH SCH,,360007700692,10019,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
LEADERSHIP & PUBLIC SERVICE HIGH SCH,,360007700692,10019,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
HIGH SCHOOL OF ECONOMICS & FINANCE,,360007700700,10019,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
HIGH SCHOOL OF ECONOMICS & FINANCE,,360007700700,10019,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
TALENT UNLIMITED HIGH SCHOOL,,360007701297,10019,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
TALENT UNLIMITED HIGH SCHOOL,,360007701297,10019,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
JACQUELINE KENNEDY-ONASSIS HIGH SCH,,360007701299,10019,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
JACQUELINE KENNEDY-ONASSIS HIGH SCH,,360007701299,10019,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
CHELSEA CAREER AND TECH ED HS,,360007701934,10019,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
CHELSEA CAREER AND TECH ED HS,,360007701934,10019,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
HIGH SCH OF FASHION INDUSTRIES (THE),,360007701949,10019,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
HIGH SCH OF FASHION INDUSTRIES (THE),,360007701949,10019,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
MURRY BERGTRAUM HS FOR BUS CAR,,360007702034,10019,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
MURRY BERGTRAUM HS FOR BUS CAR,,360007702034,10019,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
NYC LAB HS-COLLABORATIVE STUDIES,,360007702857,10019,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
NYC LAB HS-COLLABORATIVE STUDIES,,360007702857,10019,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
SCHOOL OF THE FUTURE HIGH SCHOOL,,360007702862,10157,AP Computer Science A,0,0,0,0,0,0,0,0,0
SCHOOL OF THE FUTURE HIGH SCHOOL,,360007702862,10157,AP Computer Science A,0,0,0,0,0,0,0,0,0
SCHOOL OF THE FUTURE HIGH SCHOOL,,360007702862,10019,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
SCHOOL OF THE FUTURE HIGH SCHOOL,,360007702862,10019,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
STUYVESANT HIGH SCHOOL,,360007702877,10157,AP Computer Science A,0,0,0,0,0,0,0,0,0
STUYVESANT HIGH SCHOOL,,360007702877,10157,AP Computer Science A,0,0,0,0,0,0,0,0,0
HUMANITIES PREP ACADEMY,,360007702914,10019,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
HUMANITIES PREP ACADEMY,,360007702914,10019,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
AMERICAN SIGN LANG & ENG SECONDAR,,360007704454,10019,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
AMERICAN SIGN LANG & ENG SECONDAR,,360007704454,10019,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
RICHARD R GREEN HS OF TEACHING,,360007704729,10019,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
RICHARD R GREEN HS OF TEACHING,,360007704729,10019,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
MANHATTAN COMP NIGHT AND DAY HS,,360007704778,10019,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
MANHATTAN COMP NIGHT AND DAY HS,,360007704778,10019,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
ELEANOR ROOSEVELT HIGH SCHOOL,,360007705084,10019,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
ELEANOR ROOSEVELT HIGH SCHOOL,,360007705084,10019,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
MANHATTAN BRIDGES HIGH SCHOOL,,360007705500,10157,AP Computer Science A,0,0,0,0,0,0,0,0,0
MANHATTAN BRIDGES HIGH SCHOOL,,360007705500,10157,AP Computer Science A,0,0,0,0,0,0,0,0,0
MANHATTAN BRIDGES HIGH SCHOOL,,360007705500,10019,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
MANHATTAN BRIDGES HIGH SCHOOL,,360007705500,10019,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
INDEPENDENCE HIGH SCHOOL,,360007705566,10019,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
INDEPENDENCE HIGH SCHOOL,,360007705566,10019,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
