school_name,state_school_id,nces_id,course_id,course_name,num_students_enrolled,num_students_female,num_students_black_or_african_american,num_students_hispanic_or_latino,num_students_american_indian_or_native_alaskan,num_students_native_hawaiian_or_pacific_islander,num_students_free_or_reduced_lunch,num_students_special_education_status,num_students_english_language_learner_status
MOUNTAIN VIEW CAMPUS,,151801040001,10019,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
ACADEMY CHARTER SCHOOL,,280201860934,10019,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
AKRON HIGH SCHOOL,,142101040002,10152,Computer Programming,0,0,0,0,0,0,0,0,0
AKRON MIDDLE SCHOOL,,142101040003,10199,Computer Programming-Other,0,0,0,0,0,0,0,0,0
CHARLES D'AMICO HIGH SCHOOL,,450101060003,10156,Computer Programming-Other Language,0,0,0,0,0,0,0,0,0
ALEXANDER MIDDLE SCHOOL-HIGH SCHOOL,,180202040003,10019,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
ALEXANDER MIDDLE SCHOOL-HIGH SCHOOL,,180202040003,10152,Computer Programming,0,0,0,0,0,0,0,0,0
ALFRED-ALMOND JUNIOR-SENIOR HIGH SCH,,020101040002,10160,Particular Topics in Computer Programming,0,0,0,0,0,0,0,0,0
AMHERST CENTRAL HIGH SCHOOL,,140201060002,10019,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
AMITYVILLE MEMORIAL HIGH SCHOOL,,580106030005,10157,AP Computer Science A,0,0,0,0,0,0,0,0,0
ARDSLEY HIGH SCHOOL,,660405030001,10157,AP Computer Science A,0,0,0,0,0,0,0,0,0
ARDSLEY HIGH SCHOOL,,660405030001,10019,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
ARKPORT CENTRAL SCHOOL,,571901040004,10152,Computer Programming,0,0,0,0,0,0,0,0,0
ARLINGTON HIGH SCHOOL,,131601060008,10157,AP Computer Science A,0,0,0,0,0,0,0,0,0
ARLINGTON HIGH SCHOOL,,131601060008,10152,Computer Programming,0,0,0,0,0,0,0,0,0
ARLINGTON HIGH SCHOOL,,131601060008,10155,Java Programming,0,0,0,0,0,0,0,0,0
ATTICA JUNIOR HIGH SCHOOL,,670201060004,10152,Computer Programming,0,0,0,0,0,0,0,0,0
AUBURN HIGH SCHOOL,,050100010013,10157,AP Computer Science A,0,0,0,0,0,0,0,0,0
AUBURN HIGH SCHOOL,,050100010013,10199,Computer Programming-Other,0,0,0,0,0,0,0,0,0
AVON HIGH SCHOOL,,240101040002,10019,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
CHARLES W BAKER HIGH SCHOOL,,420901060007,10157,AP Computer Science A,0,0,0,0,0,0,0,0,0
CHARLES W BAKER HIGH SCHOOL,,420901060007,10154,C++ Programming,0,0,0,0,0,0,0,0,0
CHARLES W BAKER HIGH SCHOOL,,420901060007,10152,Computer Programming,0,0,0,0,0,0,0,0,0
CHARLES W BAKER HIGH SCHOOL,,420901060007,10199,Computer Programming-Other,0,0,0,0,0,0,0,0,0
BALLSTON SPA SENIOR HIGH SCHOOL,,521301060001,10019,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
BATAVIA HIGH SCHOOL,,180300010006,10155,Java Programming,0,0,0,0,0,0,0,0,0
HAVERLING SENIOR HIGH SCHOOL,,570302060003,10199,Computer Programming-Other,0,0,0,0,0,0,0,0,0
BAY SHORE SENIOR HIGH SCHOOL,,580501030006,10157,AP Computer Science A,0,0,0,0,0,0,0,0,0
BAY SHORE SENIOR HIGH SCHOOL,,580501030006,10019,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
BAY SHORE SENIOR HIGH SCHOOL,,580501030006,10152,Computer Programming,0,0,0,0,0,0,0,0,0
