school_name,state_school_id,nces_id,course_id,course_name,teacher_name_or_id,num_students_enrolled,num_students_female,num_students_black_or_african_american,num_students_hispanic_or_latino,num_students_american_indian_or_native_alaskan,num_students_native_hawaiian_or_pacific_islander,num_students_free_or_reduced_lunch,num_students_special_education_status,num_students_english_language_learner_status
Ohio Connections Academy Inc,OH-000236-000236,390025005193,145090,Game Design,,,,,,,,,,
Ohio Connections Academy Inc,OH-000236-000236,390025005193,145060,Programming,,,,,,,,,,
Ohio Connections Academy Inc,OH-000236-000236,390025005193,145065,Object Oriented Programming,,,,,,,,,,
Ohio Connections Academy Inc,OH-000236-000236,390025005193,145070,Visual Programming,,,,,,,,,,
Ohio Connections Academy Inc,OH-000236-000236,390025005193,290200,Computer Science,,,,,,,,,,
Maritime Academy of Toledo The,OH-000770-000770,390042804987,290200,Computer Science,,,,,,,,,,
Columbian High School,OH-044891-007054,390448901762,145090,Game Design,,,,,,,,,,
Columbian High School,OH-044891-007054,390448901762,145060,Programming,,,,,,,,,,
Columbian High School,OH-044891-007054,390448901762,290200,Computer Science,,,,,,,,,,
Findlay Digital Academy,OH-000402-000402,390052805238,145020,Computer and Mobile Applications,,,,,,,,,,
Buckeye On-Line School for Success,OH-000417-000417,390053005240,290200,Computer Science,,,,,,,,,,
Canton Harbor High School,OH-000525-000525,390028504617,145090,Game Design,,,,,,,,,,
Zenith Academy,OH-000725-000725,390039604956,145060,Programming,,,,,,,,,,
Charles School at Ohio Dominican University,OH-007999-007999,390058605078,290200,Computer Science,,,,,,,,,,
KIPP Columbus,OH-009997-009997,390133005487,290250,Computer Science Principles,,,,,,,,,,
Horizon Science Academy Lorain,OH-011533-011533,390136505544,290250,Computer Science Principles,,,,,,,,,,
Patriot Preparatory Academy,OH-012045-012045,390141705597,145020,Computer and Mobile Applications,,,,,,,,,,
Academy for Urban Scholars Youngstown,OH-013249-013249,390147205727,290200,Computer Science,,,,,,,,,,
Cincinnati Technology Academy,OH-013864-013864,390151605812,290200,Computer Science,,,,,,,,,,
