school_name,state_school_id,nces_id,course_id,course_name,num_students_enrolled,num_students_female,num_students_black_or_african_american,num_students_hispanic_or_latino,num_students_american_indian_or_native_alaskan,num_students_native_hawaiian_or_pacific_islander,num_students_free_or_reduced_lunch,num_students_special_education_status,num_students_english_language_learner_status
ACHILLE HS,OK-07-I003-07-I003-705,400237000002,2531,Computer Programming I,10,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
ADAIR HS,OK-46-I002-46-I002-705,400246000009,2531,Computer Programming I,52,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
ADAIR HS,OK-46-I002-46-I002-705,400246000009,2532,Computer Programming II,3,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
ALTUS HS,OK-33-I018-33-I018-705,400285000030,2531,Computer Programming I,45,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
ALTUS HS,OK-33-I018-33-I018-705,400285000030,2531,Computer Programming I,54,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
ANADARKO HS,OK-08-I020-08-I020-705,400300000050,2511,Advanced Programming (Not For Math Credit),16,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
ANTLERS HS,OK-64-I013-64-I013-705,400306000057,2531,Computer Programming I,83,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
ARAPAHO-BUTLER HS,OK-20-I005-20-I005-715,400312029657,2531,Computer Programming I,32,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
ASTEC CHARTER HS,OK-55-G004-55-G004-972,400078302399,2531,Computer Programming I,94,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
BARNSDALL HS,OK-57-I029-57-I029-715,400357029727,2531,Computer Programming I,30,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
BARTLESVILLE HS,OK-74-I030-74-I030-705,400363029826,2535,Advanced Placement Computer Science A,8,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
BARTLESVILLE HS,OK-74-I030-74-I030-705,400363029826,2536,Advanced Placement Computer Science Principles,51,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
BILLINGS HS,OK-52-I002-52-I002-705,400436000141,2531,Computer Programming I,7,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
BINGER-ONEY HS,OK-08-I168-08-I168-705,403360329846,2511,Advanced Programming (Not For Math Credit),6,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
BIXBY HS,OK-72-I004-72-I004-705,400450000148,2531,Computer Programming I,12,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
BIXBY HS,OK-72-I004-72-I004-705,400450000148,2531,Computer Programming I,13,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
BIXBY HS,OK-72-I004-72-I004-705,400450000148,2532,Computer Programming II,12,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
BIXBY HS,OK-72-I004-72-I004-705,400450000148,2532,Computer Programming II,14,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
BLANCHARD HS,OK-47-I029-47-I029-705,400468000160,2531,Computer Programming I,43,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
BLANCHARD HS,OK-47-I029-47-I029-705,400468000160,2535,Advanced Placement Computer Science A,20,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
BLANCHARD HS,OK-47-I029-47-I029-705,400468000160,2536,Advanced Placement Computer Science Principles,42,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
BLUEJACKET HS,OK-18-I020-18-I020-705,400483000165,2531,Computer Programming I,2,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
BLUEJACKET HS,OK-18-I020-18-I020-705,400483000165,2532,Computer Programming II,9,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
BOISE CITY HS,OK-13-I002-13-I002-705,400486000167,2531,Computer Programming I,11,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
BOISE CITY HS,OK-13-I002-13-I002-705,400486000167,2531,Computer Programming I,11,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
BOISE CITY HS,OK-13-I002-13-I002-705,400486000167,2531,Computer Programming I,22,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
BOSWELL HS,OK-12-I001-12-I001-715,400504029640,2531,Computer Programming I,1,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
BRAY-DOYLE HS,OK-69-I042-69-I042-705,400534000190,2531,Computer Programming I,8,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
BRIDGE CREEK HS,OK-26-I095-26-I095-705,400540029677,2531,Computer Programming I,50,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
BRIDGE CREEK HS,OK-26-I095-26-I095-705,400540029677,2532,Computer Programming II,23,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
BRIDGE CREEK HS,OK-26-I095-26-I095-705,400540029677,2531,Computer Programming I,25,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
BRINK JHS,OK-14-I002-14-I002-610,402025002214,2531,Computer Programming I,36,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
BRISTOW HS,OK-19-I002-19-I002-705,400546000193,2535,Advanced Placement Computer Science A,13,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
BROKEN ARROW FRESHMAN ACADEMY,OK-72-I003-72-I003-700,400549002796,2531,Computer Programming I,106,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
BROKEN ARROW FRESHMAN ACADEMY,OK-72-I003-72-I003-700,400549002796,2531,Computer Programming I,113,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
BROKEN ARROW HS,OK-72-I003-72-I003-720,400549002795,2511,Advanced Programming (Not For Math Credit),13,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
BROKEN ARROW HS,OK-72-I003-72-I003-720,400549002795,2511,Advanced Programming (Not For Math Credit),35,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
BROKEN ARROW HS,OK-72-I003-72-I003-720,400549002795,2531,Computer Programming I,76,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
BROKEN ARROW HS,OK-72-I003-72-I003-720,400549002795,2531,Computer Programming I,47,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
BROKEN ARROW HS,OK-72-I003-72-I003-720,400549002795,2531,Computer Programming I,146,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
BROKEN ARROW HS,OK-72-I003-72-I003-720,400549002795,2531,Computer Programming I,139,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
BROKEN ARROW HS,OK-72-I003-72-I003-720,400549002795,2536,Advanced Placement Computer Science Principles,42,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
BROKEN ARROW HS,OK-72-I003-72-I003-720,400549002795,2531,Computer Programming I,74,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
BROKEN ARROW HS,OK-72-I003-72-I003-720,400549002795,2531,Computer Programming I,69,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
BROKEN BOW HS,OK-48-I074-48-I074-705,400552000209,2531,Computer Programming I,3,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
BUFFALO HS,OK-30-I004-30-I004-715,400576029684,2531,Computer Programming I,14,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
BUFFALO HS,OK-30-I004-30-I004-715,400576029684,2531,Computer Programming I,12,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
BUFFALO HS,OK-30-I004-30-I004-715,400576029684,2532,Computer Programming II,15,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
BUTNER HS,OK-67-I015-67-I015-705,400600000228,2536,Advanced Placement Computer Science Principles,18,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
CALVIN HS,OK-32-I048-32-I048-705,400627000244,2511,Advanced Programming (Not For Math Credit),19,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
CANADIAN HS,OK-61-I002-61-I002-705,400639000249,2532,Computer Programming II,1,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
