school_name,state_school_id,nces_id,course_id,course_name,num_students_enrolled,num_students_female,num_students_black_or_african_american,num_students_hispanic_or_latino,num_students_american_indian_or_native_alaskan,num_students_native_hawaiian_or_pacific_islander,num_students_free_or_reduced_lunch,num_students_special_education_status,num_students_english_language_learner_status
Community Academy of Philadelphia CS,,420001300318,10157,AP Computer Science A,26,11,5,18,0,0,18,1,0
Urban Pathways 6-12 CS,,420001800337,10152,Computer Programming,58,30,56,0,0,0,41,9,1
Robert Benjamin Wiley Community CS,,420002000342,10011,Computer Science Principles,102,52,45,11,0,0,96,29,6
La Academia Partnership CS,,420002600359,10012,Exploring Computer Science,31,10,4,25,0,0,31,9,7
Susq-Cyber CS,,420002800368,10199,Computer Programming—Other,1,1,0,0,0,0,0,0,0
School Lane CS,,420003000379,10199,Computer Programming—Other,19,4,2,2,0,0,14,5,3
Imhotep Institute CHS,,420003800393,10152,Computer Programming,97,43,97,0,0,0,94,28,0
Imhotep Institute CHS,,420003800393,10152,Computer Programming,156,77,156,0,0,0,124,30,0
Imhotep Institute CHS,,420003800393,10157,AP Computer Science A,31,19,31,0,0,0,30,3,0
Collegium CS,,420005000485,10019,AP Computer Science Principles,6,1,1,1,0,0,2,0,0
Collegium CS,,420005000485,10152,Computer Programming,13,4,4,2,0,0,4,3,0
Collegium CS,,420005000485,10155,Java Programming,1,1,0,0,0,0,0,0,0
Collegium CS,,420005000485,10157,AP Computer Science A,5,1,1,0,0,0,0,0,0
MAST Community CS,,420005100488,10013,PLTW Computer Science Essentials,16,9,1,2,0,0,8,1,0
MAST Community CS,,420005100488,10152,Computer Programming,33,11,1,3,0,0,15,6,0
Mastery CS-Hardy Williams,,420006200504,10019,AP Computer Science Principles,52,32,49,2,0,0,45,3,0
Renaissance Academy CS,,420006700511,10019,AP Computer Science Principles,4,0,0,0,0,0,0,0,0
Pennsylvania Cyber CS,,420007100534,10156,Computer Programming—Other Language,75,23,6,0,0,0,14,13,0
New Foundations CS,,420007500531,10013,PLTW Computer Science Essentials,37,11,7,6,0,1,19,0,1
New Foundations CS,,420007500531,10014,PLTW Computer Science A,11,2,1,1,0,0,4,0,0
Esperanza Academy CS,,420007600552,10019,AP Computer Science Principles,10,0,0,10,0,0,8,0,1
City CHS,,420009400663,10152,Computer Programming,14,6,3,0,0,0,4,3,0
City CHS,,420009400663,10152,Computer Programming,27,13,11,0,0,0,15,7,0
City CHS,,420009400663,10152,Computer Programming,31,9,11,1,0,0,21,9,0
City CHS,,420009400663,10156,Computer Programming—Other Language,11,5,5,0,0,0,6,2,0
Fell CS,,420009600688,10012,Exploring Computer Science,24,12,2,3,0,0,13,2,0
Avon Grove CS,,420010100656,10015,PLTW Computer Science Principles,5,0,0,0,0,0,1,0,0
Avon Grove CS,,420010100656,10015,PLTW Computer Science Principles,12,0,0,2,0,0,4,0,0
Avon Grove CS,,420010100656,10019,AP Computer Science Principles,8,1,0,0,0,0,1,2,0
