school_name,state_school_id,nces_id,course_id,course_name,num_students_enrolled,num_students_female,num_students_black_or_african_american,num_students_hispanic_or_latino,num_students_american_indian_or_native_alaskan,num_students_native_hawaiian_or_pacific_islander,num_students_free_or_reduced_lunch,num_students_special_education_status,num_students_english_language_learner_status
Annville Cleona HS,,420249002725,10157,AP Computer Science A,0,0,0,0,0,0,0,0,0
Apollo-Ridge HS,,420255002320,10019,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
Beaver Falls Area SHS,,420363000649,10152,Computer Programming,0,0,0,0,0,0,0,0,0
Big Spring HS,,420366001677,10152,Computer Programming,0,0,0,0,0,0,0,0,0
Blackhawk HS,,420368806707,10152,Computer Programming,0,0,0,0,0,0,0,0,0
Boiling Springs HS,,422205006328,10157,AP Computer Science A,0,0,0,0,0,0,0,0,0
Bristol HS,,420420001014,10155,Java Programming,0,0,0,0,0,0,0,0,0
Burgettstown MS/HS,,420450004195,10197,Computer Programming—Independent Study,0,0,0,0,0,0,0,0,0
Butler Area SD,,,10160,Particular Topics in Computer Programming,0,0,0,0,0,0,0,0,0
Capital Area School for the Arts CS,,420087607493,10160,Particular Topics in Computer Programming,0,0,0,0,0,0,0,0,0
Chester County IU 24,,,10011,Computer Science Principles,0,0,0,0,0,0,0,0,0
Chester County IU 24,,,10155,Java Programming,0,0,0,0,0,0,0,0,0
Chichester SHS,,420591001849,10155,Java Programming,0,0,0,0,0,0,0,0,0
Collegium CS,,420005000485,10155,Java Programming,0,0,0,0,0,0,0,0,0
Commonwealth Charter Academy CS,,420011900756,10019,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
Conestoga SHS,,422364001423,10197,Computer Programming—Independent Study,0,0,0,0,0,0,0,0,0
Conestoga Valley SHS,,420648002532,10199,Computer Programming—Other,0,0,0,0,0,0,0,0,0
Donegal HS,,420765002539,10155,Java Programming,0,0,0,0,0,0,0,0,0
Downingtown HS East Campus,,420771000706,10157,AP Computer Science A,0,0,0,0,0,0,0,0,0
Downingtown HS West Campus,,420771001387,10152,Computer Programming,0,0,0,0,0,0,0,0,0
Emmaus HS,,420855002809,10155,Java Programming,0,0,0,0,0,0,0,0,0
Fort LeBoeuf SHS,,420999002037,10160,Particular Topics in Computer Programming,0,0,0,0,0,0,0,0,0
Garnet Valley HS,,421059001869,10152,Computer Programming,0,0,0,0,0,0,0,0,0
Garnet Valley HS,,421059001869,10157,AP Computer Science A,0,0,0,0,0,0,0,0,0
Greensburg-Salem HS,,421092004373,10197,Computer Programming—Independent Study,0,0,0,0,0,0,0,0,0
Halifax Area HS,,421131006330,10199,Computer Programming—Other,0,0,0,0,0,0,0,0,0
Hampton HS,,421140005190,10156,Computer Programming—Other Language,0,0,0,0,0,0,0,0,0
Haverford SHS,,421167001879,10054,Data Systems/Processing,0,0,0,0,0,0,0,0,0
Homer-Center JSHS,,421329002331,10152,Computer Programming,0,0,0,0,0,0,0,0,0
Honesdale HS,,422497004295,10152,Computer Programming,0,0,0,0,0,0,0,0,0
Intermediate Unit 1,,,10156,Computer Programming—Other Language,0,0,0,0,0,0,0,0,0
Jenkintown Middle/High School,,421242007327,10157,AP Computer Science A,0,0,0,0,0,0,0,0,0
Jersey Shore Area SHS,,421248003034,10155,Java Programming,0,0,0,0,0,0,0,0,0
Mahanoy Area JSHS,,421443007626,10197,Computer Programming—Independent Study,0,0,0,0,0,0,0,0,0
Manheim Twp HS,,421458002623,10155,Java Programming,0,0,0,0,0,0,0,0,0
Manheim Twp MS,,421458005114,10155,Java Programming,0,0,0,0,0,0,0,0,0
Meadville Area SHS,,420708001654,10019,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
Meadville Area SHS,,420708001654,10157,AP Computer Science A,0,0,0,0,0,0,0,0,0
Midd-West HS,,421521003962,10152,Computer Programming,0,0,0,0,0,0,0,0,0
Neshannock JSHS,,421644002689,10157,AP Computer Science A,0,0,0,0,0,0,0,0,0
North Star HS,,421011503988,10199,Computer Programming—Other,0,0,0,0,0,0,0,0,0
Octorara Area JSHS,,421803001414,10152,Computer Programming,0,0,0,0,0,0,0,0,0
