school_name,state_school_id,nces_id,course_id,course_name,teacher_name_or_id,num_students_enrolled,num_students_female,num_students_black_or_african_american,num_students_hispanic_or_latino,num_students_american_indian_or_native_alaskan,num_students_native_hawaiian_or_pacific_islander,num_students_free_or_reduced_lunch,num_students_special_education_status,num_students_english_language_learner_status
Barrington High School,RI-01-01106,440003000001,10157,AP Computer Science A,UNSPECIFIED,18,2,0,2,0,0,2,0,0
Burrillville High School,RI-03-03109,440009000019,10011,Computer Science Principles,UNSPECIFIED,24,4,0,0,0,0,6,0,0
Burrillville High School,RI-03-03109,440009000019,10019,AP Computer Science Principles,UNSPECIFIED,16,1,1,0,0,0,2,0,0
Burrillville High School,RI-03-03109,440009000019,21009,Robotics,UNSPECIFIED,1,0,0,0,0,0,0,0,0
Central Falls Senior High School,RI-04-04108,440012000026,10012,Exploring Computer Science,UNSPECIFIED,62,18,9,36,8,0,62,9,40
Coventry High School,RI-06-06119,440021000032,10157,AP Computer Science A,UNSPECIFIED,9,0,0,0,0,0,2,1,0
Coventry High School,RI-06-06119,440021000032,21009,Robotics,UNSPECIFIED,16,1,0,0,0,0,4,3,0
Cranston High School East,RI-07-07113,440024000044,10011,Computer Science Principles,UNSPECIFIED,33,110,19,105,1,1,133,22,39
Cranston High School East,RI-07-07113,440024000044,10011,Computer Science Principles,UNSPECIFIED,243,83,20,98,3,4,117,23,32
Cranston High School East,RI-07-07113,440024000044,10011,Computer Science Principles,UNSPECIFIED,37,11,0,19,0,0,22,10,4
Cranston High School East,RI-07-07113,440024000044,10012,Exploring Computer Science,UNSPECIFIED,218,110,19,105,1,1,133,22,39
Cranston High School East,RI-07-07113,440024000044,10012,Exploring Computer Science,UNSPECIFIED,7,2,0,2,1,0,8,10,0
Cranston High School West,RI-07-07126,440024000045,10011,Computer Science Principles,UNSPECIFIED,79,13,0,8,0,0,7,14,2
Cranston High School West,RI-07-07126,440024000045,10011,Computer Science Principles,UNSPECIFIED,185,31,3,24,0,0,36,19,1
Cranston High School West,RI-07-07126,440024000045,10011,Computer Science Principles,UNSPECIFIED,27,9,1,6,0,0,10,2,3
Cranston High School West,RI-07-07126,440024000045,10011,Computer Science Principles,UNSPECIFIED,26,13,2,2,1,0,8,4,1
Cranston High School West,RI-07-07126,440024000045,10012,Exploring Computer Science,UNSPECIFIED,4,2,0,2,1,0,8,10,0
Cranston High School West,RI-07-07126,440024000045,10012,Exploring Computer Science,UNSPECIFIED,32,9,0,2,0,0,7,1,0
Cranston High School West,RI-07-07126,440024000045,21009,Robotics,UNSPECIFIED,67,27,0,3,0,0,2,0,0
Cranston High School West,RI-07-07126,440024000045,21009,Robotics,UNSPECIFIED,45,8,0,5,0,0,7,1,0
Cumberland High School,RI-08-08114,440027000076,10019,AP Computer Science Principles,UNSPECIFIED,48,9,1,2,0,0,4,0,0
Cumberland High School,RI-08-08114,440027000076,10157,AP Computer Science A,UNSPECIFIED,13,2,0,0,0,0,0,1,0
Cumberland High School,RI-08-08114,440027000076,21009,Robotics,UNSPECIFIED,35,4,2,5,0,0,8,10,0
East Greenwich High School,RI-09-09106,440030000086,10157,AP Computer Science A,UNSPECIFIED,16,20,1,2,0,0,2,0,1
East Greenwich High School,RI-09-09106,440030000086,21009,Robotics,UNSPECIFIED,23,5,0,1,0,0,1,2,0
East Providence High School,RI-10-10112,440033000097,10011,Computer Science Principles,UNSPECIFIED,15,27,13,9,1,0,45,10,0
East Providence High School,RI-10-10112,440033000097,10012,Exploring Computer Science,UNSPECIFIED,10,7,3,1,0,0,16,2,1
East Providence High School,RI-10-10112,440033000097,10013,PLTW Computer Science Essentials,UNSPECIFIED,21,27,13,9,1,0,45,10,0
East Providence High School,RI-10-10112,440033000097,10019,AP Computer Science Principles,UNSPECIFIED,11,27,13,9,1,0,45,10,0
Johnston Senior High School,RI-16-16112,440054000128,10012,Exploring Computer Science,UNSPECIFIED,132,90,20,51,0,0,113,33,8
Johnston Senior High School,RI-16-16112,440054000128,10012,Exploring Computer Science,UNSPECIFIED,56,29,4,13,0,0,23,6,2
Johnston Senior High School,RI-16-16112,440054000128,10019,AP Computer Science Principles,UNSPECIFIED,46,90,20,51,0,0,113,33,8
Johnston Senior High School,RI-16-16112,440054000128,21009,Robotics,UNSPECIFIED,60,90,20,51,0,0,113,33,8
Lincoln Senior High School,RI-17-17110,440057000135,10019,AP Computer Science Principles,UNSPECIFIED,14,1,0,2,0,0,2,0,0
Lincoln Senior High School,RI-17-17110,440057000135,10019,AP Computer Science Principles,UNSPECIFIED,21,6,0,0,0,0,1,0,0
Lincoln Senior High School,RI-17-17110,440057000135,21009,Robotics,UNSPECIFIED,24,4,1,0,0,0,4,4,0
Middletown High School,RI-19-19111,440063000147,10013,PLTW Computer Science Essentials,UNSPECIFIED,22,80,12,14,0,0,52,24,8
Middletown High School,RI-19-19111,440063000147,10015,PLTW Computer Science Principles,UNSPECIFIED,5,38,10,14,1,0,31,15,3
Middletown High School,RI-19-19111,440063000147,10019,AP Computer Science Principles,UNSPECIFIED,4,1,0,0,0,0,1,0,0
Middletown High School,RI-19-19111,440063000147,10157,AP Computer Science A,UNSPECIFIED,1,1,0,0,0,0,1,0,0
Narragansett High School,RI-20-20104,440066000151,10012,Exploring Computer Science,UNSPECIFIED,27,11,2,1,1,0,2,8,0
Narragansett High School,RI-20-20104,440066000151,10012,Exploring Computer Science,UNSPECIFIED,25,12,0,0,0,0,2,1,0
Narragansett High School,RI-20-20104,440066000151,10019,AP Computer Science Principles,UNSPECIFIED,10,5,0,0,0,0,5,5,0
Rogers High School,RI-21-21111,440072000159,10019,AP Computer Science Principles,UNSPECIFIED,16,6,0,2,0,0,6,1,1
Rogers High School,RI-21-21111,440072000159,10019,AP Computer Science Principles,UNSPECIFIED,16,6,0,2,0,0,6,1,1
Block Island School,RI-22-22101,440069000149,10157,AP Computer Science A,UNSPECIFIED,3,0,0,0,0,1,1,0,0
North Kingstown Senior High School,RI-23-23108,440075000168,10011,Computer Science Principles,UNSPECIFIED,25,3,0,1,0,0,1,0,0
North Kingstown Senior High School,RI-23-23108,440075000168,10019,AP Computer Science Principles,UNSPECIFIED,44,9,1,1,0,0,2,0,0
North Kingstown Senior High School,RI-23-23108,440075000168,21009,Robotics,UNSPECIFIED,50,11,0,3,0,0,12,7,0
North Providence High School,RI-24-24105,440078000180,10157,AP Computer Science A,UNSPECIFIED,39,14,5,7,0,0,9,0,0
North Smithfield High School,RI-25-25108,440081000186,10157,AP Computer Science A,UNSPECIFIED,25,2,0,2,0,0,5,1,0
North Smithfield High School,RI-25-25108,440081000186,21009,Robotics,UNSPECIFIED,21,4,0,0,0,0,4,2,0
William E Tolman Senior High School,RI-26-26105,440084000202,10011,Computer Science Principles,UNSPECIFIED,88,33,17,33,0,0,50,3,8
William E Tolman Senior High School,RI-26-26105,440084000202,21009,Robotics,UNSPECIFIED,24,9,4,8,0,0,13,2,2
William E Tolman Senior High School,RI-26-26105,440084000202,21009,Robotics,UNSPECIFIED,27,6,5,11,0,0,17,10,0
Charles E. Shea High School,RI-26-26118,440084000201,10011,Computer Science Principles,UNSPECIFIED,28,8,12,5,0,0,19,3,4
Charles E. Shea High School,RI-26-26118,440084000201,10019,AP Computer Science Principles,UNSPECIFIED,14,4,5,5,0,0,12,0,5
Charles E. Shea High School,RI-26-26118,440084000201,21009,Robotics,UNSPECIFIED,20,6,9,7,0,0,10,2,8
Portsmouth High School,RI-27-27106,440087000207,10157,AP Computer Science A,UNSPECIFIED,13,3,0,1,0,0,2,0,0
360 High School,RI-28-28195,440090000492,10011,Computer Science Principles,UNSPECIFIED,5,2,0,4,0,0,5,0,2
Scituate High School,RI-30-30104,440096000255,10011,Computer Science Principles,UNSPECIFIED,19,9,0,0,0,0,1,1,0
Scituate High School,RI-30-30104,440096000255,10157,AP Computer Science A,UNSPECIFIED,9,4,0,0,0,0,0,1,0
Scituate High School,RI-30-30104,440096000255,10157,AP Computer Science A,UNSPECIFIED,12,9,0,0,0,0,1,1,0
Scituate High School,RI-30-30104,440096000255,21009,Robotics,UNSPECIFIED,21,2,0,2,0,0,4,1,0
Smithfield Senior High School,RI-31-31107,440099000259,10012,Exploring Computer Science,UNSPECIFIED,12,11,2,0,0,0,9,5,0
Smithfield Senior High School,RI-31-31107,440099000259,10019,AP Computer Science Principles,UNSPECIFIED,15,11,2,0,0,0,9,5,0
Smithfield Senior High School,RI-31-31107,440099000259,10157,AP Computer Science A,UNSPECIFIED,2,11,2,0,0,0,9,5,0
Smithfield Senior High School,RI-31-31107,440099000259,21009,Robotics,UNSPECIFIED,62,3,0,2,0,0,6,7,0
South Kingstown High School,RI-32-32108,440102000265,10019,AP Computer Science Principles,UNSPECIFIED,75,20,1,1,0,0,2,1,0
South Kingstown High School,RI-32-32108,440102000265,21009,Robotics,UNSPECIFIED,32,3,0,2,0,0,7,6,0
Tiverton High School,RI-33-33108,440105000274,10019,AP Computer Science Principles,UNSPECIFIED,17,6,0,0,0,0,3,0,0
Tiverton High School,RI-33-33108,440105000274,21009,Robotics,UNSPECIFIED,16,1,0,0,0,0,2,0,0
Tiverton High School,RI-33-33108,440105000274,21009,Robotics,UNSPECIFIED,40,8,1,1,0,0,6,6,0
Pilgrim High School,RI-35-35134,440111000301,10011,Computer Science Principles,UNSPECIFIED,24,15,2,3,0,0,18,1,0
Pilgrim High School,RI-35-35134,440111000301,10019,AP Computer Science Principles,UNSPECIFIED,27,15,2,3,0,0,18,1,0
Toll Gate High School,RI-35-35138,440111000307,10011,Computer Science Principles,UNSPECIFIED,19,9,0,1,0,1,6,1,0
Toll Gate High School,RI-35-35138,440111000307,10011,Computer Science Principles,UNSPECIFIED,56,26,2,7,0,0,19,4,1
Toll Gate High School,RI-35-35138,440111000307,10019,AP Computer Science Principles,UNSPECIFIED,14,26,2,7,0,0,19,4,1
Toll Gate High School,RI-35-35138,440111000307,10157,AP Computer Science A,UNSPECIFIED,15,4,0,2,0,0,3,0,0
Westerly High School,RI-36-36104,440117000325,10012,Exploring Computer Science,UNSPECIFIED,56,38,0,11,1,0,36,12,0
Westerly High School,RI-36-36104,440117000325,10019,AP Computer Science Principles,UNSPECIFIED,39,38,0,11,1,0,36,12,0
West Warwick Senior High School,RI-38-38106,440114000318,10012,Exploring Computer Science,UNSPECIFIED,54,20,3,11,0,0,24,6,0
West Warwick Senior High School,RI-38-38106,440114000318,10012,Exploring Computer Science,UNSPECIFIED,52,23,3,14,0,0,22,8,1
West Warwick Senior High School,RI-38-38106,440114000318,10012,Exploring Computer Science,UNSPECIFIED,127,44,7,17,0,0,59,21,2
West Warwick Senior High School,RI-38-38106,440114000318,10012,Exploring Computer Science,UNSPECIFIED,1,6,0,1,0,0,2,0,0
West Warwick Senior High School,RI-38-38106,440114000318,10019,AP Computer Science Principles,UNSPECIFIED,14,6,0,1,0,0,2,0,0
Woonsocket High School,RI-39-39123,440120000345,10011,Computer Science Principles,UNSPECIFIED,7,14,7,9,0,0,22,4,1
Woonsocket High School,RI-39-39123,440120000345,10019,AP Computer Science Principles,UNSPECIFIED,40,13,1,9,0,0,21,1,0
Woonsocket High School,RI-39-39123,440120000345,10019,AP Computer Science Principles,UNSPECIFIED,5,14,7,9,0,0,22,4,1
Wm. M. Davies Jr. Career-Technical  High School,RI-40-17701,440000400379,10011,Computer Science Principles,UNSPECIFIED,32,37,18,34,0,0,70,8,0
Wm. M. Davies Jr. Career-Technical  High School,RI-40-17701,440000400379,10019,AP Computer Science Principles,UNSPECIFIED,29,20,8,18,0,0,31,4,0
Wm. M. Davies Jr. Career-Technical  High School,RI-40-17701,440000400379,10019,AP Computer Science Principles,UNSPECIFIED,58,37,18,34,0,0,70,8,0
Wm. M. Davies Jr. Career-Technical  High School,RI-40-17701,440000400379,10019,AP Computer Science Principles,UNSPECIFIED,29,10,3,13,0,0,13,2,0
Wm. M. Davies Jr. Career-Technical  High School,RI-40-17701,440000400379,21009,Robotics,UNSPECIFIED,29,20,8,18,0,0,31,4,0
Wm. M. Davies Jr. Career-Technical  High School,RI-40-17701,440000400379,21009,Robotics,UNSPECIFIED,29,37,18,34,0,0,70,8,0
Wm. M. Davies Jr. Career-Technical  High School,RI-40-17701,440000400379,21009,Robotics,UNSPECIFIED,29,10,5,5,0,0,18,2,0
Blackstone Valley Prep High School,RI-47-08604,440001500488,10013,PLTW Computer Science Essentials,UNSPECIFIED,15,9,0,10,0,0,11,3,0
Blackstone Valley Prep High School,RI-47-08604,440001500488,10013,PLTW Computer Science Essentials,UNSPECIFIED,4,1,1,1,0,0,3,0,0
Paul Cuffee Upper School,RI-51-51603,440003200526,10012,Exploring Computer Science,UNSPECIFIED,16,7,2,14,0,0,13,5,2
Metropolitan Regional Career and Technical Center,RI-60-28703,440000300121,10015,PLTW Computer Science Principles,UNSPECIFIED,15,4,1,16,0,0,16,5,5
Metropolitan Regional Career and Technical Center,RI-60-28703,440000300121,10019,AP Computer Science Principles,UNSPECIFIED,11,4,1,16,0,0,16,5,5
Mt. Hope High School,RI-96-96107,440006500009,10013,PLTW Computer Science Essentials,UNSPECIFIED,9,2,1,0,0,0,2,1,0
Mt. Hope High School,RI-96-96107,440006500009,21009,Robotics,UNSPECIFIED,21,8,0,1,0,0,5,1,1
Exeter-West Greenwich Regional High School,RI-97-97106,440036000391,10011,Computer Science Principles,UNSPECIFIED,12,13,3,1,0,0,10,8,0
Exeter-West Greenwich Regional High School,RI-97-97106,440036000391,10019,AP Computer Science Principles,UNSPECIFIED,36,13,3,1,0,0,10,8,0
Exeter-West Greenwich Regional High School,RI-97-97106,440036000391,21009,Robotics,UNSPECIFIED,49,13,3,1,0,0,10,8,0
Chariho Regional High School,RI-98-98101,440015000029,10012,Exploring Computer Science,UNSPECIFIED,26,3,0,0,1,0,6,9,0
Chariho Regional High School,RI-98-98101,440015000029,10019,AP Computer Science Principles,UNSPECIFIED,14,5,0,0,0,0,2,0,0
Chariho Regional High School,RI-98-98101,440015000029,10157,AP Computer Science A,UNSPECIFIED,8,1,0,0,0,0,0,0,0
Chariho Regional High School,RI-98-98101,440015000029,21009,Robotics,UNSPECIFIED,14,1,1,1,0,0,5,14,0
Ponaganset High School,RI-99-99102,440042000116,10011,Computer Science Principles,UNSPECIFIED,11,7,1,4,0,0,6,9,1
Ponaganset High School,RI-99-99102,440042000116,10013,PLTW Computer Science Essentials,UNSPECIFIED,24,7,1,4,0,0,6,9,1
Ponaganset High School,RI-99-99102,440042000116,10014,PLTW Computer Science A,UNSPECIFIED,5,7,1,4,0,0,6,9,1
Ponaganset High School,RI-99-99102,440042000116,10015,PLTW Computer Science Principles,UNSPECIFIED,8,2,0,0,0,0,0,0,0
BLACKSTONE VALLEY PREP HIGH,UNSPECIFIED,440001500488,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED
CHARIHO HIGH SCHOOL,UNSPECIFIED,440015000029,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED
CLASSICAL HIGH SCHOOL,UNSPECIFIED,440090000218,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED
BURRILLVILLE HIGH SCHOOL,UNSPECIFIED,440009000019,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED
CRANSTON HIGH SCHOOL WEST,UNSPECIFIED,440024000045,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED
EXETER-WEST GREENWICH REGIONAL,UNSPECIFIED,440036000391,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED
LINCOLN SENIOR HIGH SCHOOL,UNSPECIFIED,440057000135,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED
PAUL CUFFEE CHARTER SCHOOL,UNSPECIFIED,440003200220,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED,UNSPECIFIED
