school_name,state_school_id,nces_id,course_id,course_name,num_students_enrolled,num_students_female,num_students_black_or_african_american,num_students_hispanic_or_latino,num_students_american_indian_or_native_alaskan,num_students_native_hawaiian_or_pacific_islander,num_students_free_or_reduced_lunch,num_students_special_education_status,num_students_english_language_learner_status
Barrington High School,,440003000001,10157,AP Computer Science A ,14,6,0,1,0,0,0,0,0
Barrington High School,,440003000001,10157,AP Computer Science A ,12,5,0,0,0,0,0,0,0
Barrington High School,,440003000001,10199,Computer Programming—Other ,46,11,0,2,0,0,0,5,0
Burrillville High School,,440009000019,10011,Computer Science Principles,37,16,2,1,0,0,11,0,0
Burrillville High School,,440009000019,10157,AP Computer Science A ,2,0,0,0,0,0,0,0,0
Burrillville High School,,440009000019,10157,AP Computer Science A ,9,2,0,0,0,0,1,0,0
Coventry High School,,440021000032,10011,Computer Science Principles,20,4,0,0,0,0,3,2,0
Coventry High School,,440021000032,10012,Exploring Computer Science,26,11,1,0,0,0,4,3,0
Coventry High School,,440021000032,21009,Robotics,9,0,0,0,0,0,2,2,0
Coventry High School,,440021000032,21009,Robotics,12,2,0,1,0,0,0,2,0
Cranston High School East,,440024000044,10012,Exploring Computer Science,147,60,12,72,2,0,43,14,26
Cranston High School West                         ,,440024000045,21009,Robotics,16,3,0,2,0,0,0,1,0
Cranston High School West                         ,,440024000045,21009,Robotics,7,1,0,0,0,0,0,0,0
Cranston High School West                         ,,440024000045,21009,Robotics,4,1,0,0,0,0,2,0,0
Cranston High School West                         ,,440024000045,21009,Robotics,7,2,0,0,0,0,0,0,0
Cranston High School West                         ,,440024000045,21009,Robotics,15,2,0,2,0,0,3,0,0
Cranston High School East,,440024000044,10012,Exploring Computer Science,10,3,1,1,2,0,7,8,0
Cranston High School West                         ,,440024000045,10012,Exploring Computer Science,22,12,0,6,1,0,1,0,0
Cranston High School West                         ,,440024000045,21009,Robotics,26,9,0,0,0,0,2,0,0
Cranston High School West                         ,,440024000045,21009,Robotics,14,0,0,0,0,0,1,0,0
Cranston High School West                         ,,440024000045,21009,Robotics,36,14,0,1,0,0,2,0,0
Cranston High School East,,440024000044,10012,Exploring Computer Science,61,28,5,25,0,1,13,6,10
Cranston High School West                         ,,440024000045,10012,Exploring Computer Science,5,1,1,0,0,0,2,5,0
Cranston High School West                         ,,440024000045,21009,Robotics,14,5,0,0,0,0,0,0,0
Cranston High School West                         ,,440024000045,21009,Robotics,15,5,0,1,0,0,0,0,0
Cumberland High School,,440027000076,21009,Robotics,45,3,3,2,0,0,8,7,1
Cumberland High School,,440027000076,10157,AP Computer Science A ,13,1,0,1,0,0,1,1,0
Cumberland High School,,440027000076,10198,Computer Programming—Workplace Experience ,26,5,0,4,0,0,5,4,2
Cumberland High School,,440027000076,10019,AP Computer Science Principles,25,10,2,5,0,0,4,1,0
East Greenwich High School,,440030000086,10157,AP Computer Science A ,16,5,0,1,0,0,0,0,1
East Greenwich High School,,440030000086,21009,Robotics,29,9,0,2,0,0,0,1,0
East Providence High School,,440033000097,10019,AP Computer Science Principles,9,1,1,0,0,0,3,0,0
East Providence High School,,440033000097,10160,Particular Topics in Computer Programming ,33,9,6,5,0,0,18,8,0
East Providence High School,,440033000097,10012,Exploring Computer Science,17,8,1,4,0,0,5,0,0
