school_name,state_school_id,nces_id,course_id,course_name,teacher_name_or_id,num_students_enrolled,num_students_female,num_students_black_or_african_american,num_students_hispanic_or_latino,num_students_american_indian_or_native_alaskan,num_students_native_hawaiian_or_pacific_islander,num_students_free_or_reduced_lunch,num_students_special_education_status,num_students_english_language_learner_status
Lewisville High,SC-1201-006,450153000301,5323,Adv Computer Operating Systems,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
NEXT High,SC-4701-039,450390101656,5323,Adv Computer Operating Systems,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Chester Sr High,SC-1201-002,450153000298,5323,Adv Computer Operating Systems,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
May River High,SC-0701-039,450111001666,5372,Advanced Cyber Security,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Center for Advanced Technical Studies,SC-3205-995,450282001599,5372,Advanced Cyber Security,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Beaufort High,SC-0701-002,450111000147,5311,Advanced Networking,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
James Island Charter High,SC-1001-616,450144001168,5311,Advanced Networking,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Wilson High,SC-2101-006,450213000442,5311,Advanced Networking,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
West Florence High,SC-2101-014,450213000443,5311,Advanced Networking,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Swansea High,SC-3204-034,450279000752,5311,Advanced Networking,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Center for Advanced Technical Studies,SC-3205-995,450282001599,5311,Advanced Networking,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Chapman High,SC-4201-002,450348000988,5311,Advanced Networking,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
