school_name,state_school_id,nces_id,course_id,course_name,num_students_enrolled,num_students_female,num_students_black_or_african_american,num_students_hispanic_or_latino,num_students_american_indian_or_native_alaskan,num_students_native_hawaiian_or_pacific_islander,num_students_free_or_reduced_lunch,num_students_special_education_status,num_students_english_language_learner_status
Abbeville High,,450069000011,5061,DiscCompSci,48,20,28,0,0,0,25,4,0
Dixie High,,450069000012,5061,DiscCompSci,34,18,2,0,0,0,17,4,2
Wright Middle,,450069000010,5061,DiscCompSci,32,16,16,2,0,0,17,7,1
Silver Bluff High,,450072001323,4775,AP Computer Sci Principles,8,5,0,0,0,0,0,0,0
Silver Bluff High,,450072001323,5023,ExplCompSci,100,57,47,7,2,0,56,10,3
Aiken High,,450072000046,4773,DE Into to Computer Sci (CSCI 130),2,1,0,0,0,0,0,0,0
Aiken High,,450072000046,4775,AP Computer Sci Principles,13,12,4,0,0,0,2,0,0
Aiken High,,450072000046,5023,ExplCompSci,237,147,131,18,1,0,137,34,9
South Aiken High,,450072001202,4771,AP Comp Sci A,18,12,3,3,0,0,1,0,1
South Aiken High,,450072001202,5023,ExplCompSci,250,133,94,33,6,2,113,36,26
South Aiken High,,450072001202,4775,AP Computer Sci Principles,66,37,12,4,0,0,12,0,0
Midland Valley High,,450072001198,5023,ExplCompSci,227,126,61,34,6,0,129,35,28
Paul Knox Middle,,450072000050,5023,ExplCompSci,34,10,18,0,0,1,14,1,0
Langley-Bath-Clearwater Middle,,450072001194,5023,ExplCompSci,22,13,10,2,0,0,12,0,0
Leavelle McCampbell Middle,,450072001196,5023,ExplCompSci,12,5,5,2,0,0,7,0,1
New Ellenton STEAM Magnet Mid,,450072001199,5023,ExplCompSci,60,27,17,11,2,0,33,5,7
North Augusta Middle,,450072000054,5023,ExplCompSci,23,13,12,2,0,0,12,1,0
North Augusta High,,450072000055,4775,AP Computer Sci Principles,68,46,14,4,1,0,11,1,0
North Augusta High,,450072000055,5023,ExplCompSci,278,160,121,39,5,2,126,34,26
Wagener-Sally High,,450072000057,5023,ExplCompSci,83,47,43,0,1,0,45,11,0
M. B. Kennedy Middle,,450072001197,5023,ExplCompSci,45,23,23,4,0,0,21,2,0
Schofield Middle,,450072001201,5023,ExplCompSci,162,83,97,14,5,1,114,8,6
Jackson STEM Magnet Middle,,450072001321,5023,ExplCompSci,56,21,32,0,1,0,33,5,0
Ridge Spring-Monetta High,,450072000056,5023,ExplCompSci,75,36,37,12,2,0,47,18,7
Ridge Spring-Monetta High,,450072000056,6372,PLTW Computer Science Essentials,40,22,19,9,0,1,24,7,6
Aiken Scholars Academy,,450072001708,4773,DE Into to Computer Sci (CSCI 130),4,3,0,0,0,0,0,0,0
Ridge Spring-Monetta Middle,,450072001713,5023,ExplCompSci,14,9,2,4,0,0,7,0,0
A. L. Corbett Middle,,450072001702,5023,ExplCompSci,15,5,8,0,1,0,7,0,0
Allendale-Fairfax Middle,,450075001415,5062,DiscCompSci8,62,31,59,0,1,0,62,6,0
Palmetto High,,450078000076,5061,DiscCompSci,29,12,3,4,1,0,10,1,1
Powdersville High,,450078001567,5023,ExplCompSci,34,23,4,2,1,0,8,3,4
Wren High,,450078000077,5023,ExplCompSci,444,236,26,21,13,1,99,46,10
Wren High,,450078000077,5061,DiscCompSci,95,48,21,11,9,2,45,13,4
Wren Middle,,450078001203,5023,ExplCompSci,131,68,6,2,5,2,21,1,2
Palmetto Middle,,450078000074,5023,ExplCompSci,29,16,3,6,4,0,14,4,3
Anderson Institute of Tec,,450391101720,5050,Computer Prog 1,16,16,2,2,1,0,9,1,0
Anderson Institute of Tec,,450391101720,5052,Computer Prog 3,5,4,0,0,0,0,0,0,0
Anderson Institute of Tec,,450391101720,6373,Computer Science Applications,2,2,0,0,0,0,0,0,0
Anderson Institute of Tec,,450391101720,6372,PLTW Computer Science Essentials,5,3,0,0,0,0,0,0,0
Anderson Institute of Tec,,450391101720,5051,Computer Prog 2,16,16,2,2,1,0,9,1,0
Anderson Institute of Tec,,450391101720,5053,Computer Prog 4,5,4,0,0,0,0,0,0,0
Anderson Institute of Tec,,450391101720,6377,Computer Science Principles,18,13,0,2,2,0,2,0,2
Belton Honea Path High,,450081000084,5023,ExplCompSci,81,21,4,1,0,0,22,3,0
Crescent High,,450084000089,5023,ExplCompSci,43,21,10,2,0,0,25,7,2
Crescent High,,450084000089,5061,DiscCompSci,97,55,14,6,0,0,61,12,3
Starr-Iva Middle,,450084000088,5063,DiscCompSci7,41,17,4,2,0,0,17,0,0
Starr-Iva Middle,,450084000088,5062,DiscCompSci8,52,25,5,2,0,0,28,3,0
Anderson Institute Of Technology,,450391101720,5061,DiscCompSci,3,2,0,0,0,0,0,0,0
Pendleton High,,450087000094,4775,AP Computer Sci Principles,15,9,0,1,0,0,3,0,1
Pendleton High,,450087000094,5050,Computer Prog 1,19,17,2,1,0,0,7,0,0
Pendleton High,,450087000094,5061,DiscCompSci,112,57,20,3,0,0,69,21,1
Anderson Institute of Technology,,450391101720,5061,DiscCompSci,2,2,0,0,0,0,0,0,0
T. L. Hanna High,,450090000108,5023,ExplCompSci,345,146,101,29,1,2,119,35,10
Westside High,,450090000113,5023,ExplCompSci,489,251,217,59,2,3,316,56,29
Glenview Middle,,450090001575,2785,Computer Science for Innovators & Makers,27,18,4,1,1,0,8,2,1
Anderson  Five Charter School,,450090001602,5023,ExplCompSci,13,8,4,0,0,0,3,1,0
Anderson Institute Of Technology,,450391101720,6372,PLTW Computer Science Essentials,13,10,1,2,0,0,4,1,1
Bamberg-Ehrhardt High,,450093000119,5023,ExplCompSci,95,41,61,4,0,0,42,6,1
Denmark Olar High,,450096000122,4775,AP Computer Sci Principles,7,3,0,0,0,0,0,0,0
Denmark Olar High,,450096000122,5023,ExplCompSci,13,5,11,1,0,1,4,1,0
Blackville-Hilda High,,450102000126,5061,DiscCompSci,40,29,36,0,0,0,38,0,0
Williston-Elko High,,450105000129,5023,ExplCompSci,54,26,28,3,1,0,34,4,1
Barnwell High,,450108000132,5023,ExplCompSci,165,74,96,5,2,1,159,19,3
Barnwell High,,450108000132,6377,Computer Science Principles,10,10,1,0,0,0,10,0,1
Lady'S Island Middle,,450111001360,2785,Computer Science for Innovators & Makers,51,29,22,5,1,0,35,6,1
Beaufort High,,450111000147,6377,Computer Science Principles,11,8,0,1,0,0,1,0,1
Beaufort High,,450111000147,5023,ExplCompSci,148,67,60,19,4,2,66,13,7
Hilton Head Island High,,450111001350,5023,ExplCompSci,214,118,36,94,54,2,85,22,68
Hilton Head Island High,,450111001350,6372,PLTW Computer Science Essentials,51,24,3,13,8,0,7,1,9
Hilton Head Island High,,450111001350,5051,Computer Prog 2,10,10,0,2,0,0,0,0,1
Hilton Head Island High,,450111001350,5050,Computer Prog 1,23,14,1,2,1,0,1,0,1
Battery Creek High,,450111000149,5050,Computer Prog 1,75,46,39,15,5,0,34,8,11
Battery Creek High,,450111000149,6372,PLTW Computer Science Essentials,77,46,44,8,2,1,36,10,5
Whale Branch Middle,,450111000422,2785,Computer Science for Innovators & Makers,19,10,10,5,1,0,10,2,4
Bluffton High,,450111001165,4775,AP Computer Sci Principles,9,5,0,0,0,0,0,0,0
Bluffton High,,450111001165,5023,ExplCompSci,217,107,33,103,7,1,77,18,62
Whale Branch Early College Hi,,450111001550,5023,ExplCompSci,141,77,128,7,1,1,97,18,2
Whale Branch Early College Hi,,450111001550,6377,Computer Science Principles,36,12,30,3,2,0,20,0,2
River Ridge Academy,,450111001662,2785,Computer Science for Innovators & Makers,139,75,26,33,6,1,25,12,11
May River High,,450111001666,5023,ExplCompSci,357,181,71,91,21,1,92,17,28
Robert Smalls Intl Acad,,450111001630,2785,Computer Science for Innovators & Makers,9,7,0,0,0,0,0,0,0
Stratford High,,450117001351,4775,AP Computer Sci Principles,20,19,2,3,0,0,3,0,0
Stratford High,,450117001351,5053,Computer Prog 4,15,12,2,0,1,0,3,1,0
Stratford High,,450117001351,5023,ExplCompSci,436,237,162,115,26,7,156,72,84
Stratford High,,450117001351,5052,Computer Prog 3,70,55,23,11,0,1,28,5,5
Berkeley High,,450117000174,5023,ExplCompSci,252,132,108,23,6,3,93,30,3
Berkeley High,,450117000174,5052,Computer Prog 3,45,36,13,3,1,0,13,2,1
Cross High,,450117000176,5023,ExplCompSci,41,29,32,2,1,0,20,6,1
Goose Creek High,,450117000177,5050,Computer Prog 1,21,16,8,3,0,0,5,0,3
Goose Creek High,,450117000177,5023,ExplCompSci,409,219,190,102,31,9,135,50,66
Hanahan High,,450117000178,5050,Computer Prog 1,52,45,5,8,2,0,10,2,7
Hanahan High,,450117000178,4775,AP Computer Sci Principles,17,15,0,1,0,0,1,0,1
Hanahan High,,450117000178,5023,ExplCompSci,107,54,26,24,11,1,31,7,27
Hanahan High,,450117000178,6721,DECom&Prog (CPT114),2,1,0,0,0,0,0,0,0
Berkeley Middle,,450117001207,5061,DiscCompSci,102,64,46,7,5,0,33,0,4
