school_name,state_school_id,nces_id,course_id,course_name,num_students_enrolled,num_students_female,num_students_black_or_african_american,num_students_hispanic_or_latino,num_students_american_indian_or_native_alaskan,num_students_native_hawaiian_or_pacific_islander,num_students_free_or_reduced_lunch,num_students_special_education_status,num_students_english_language_learner_status
Belle Fourche High School - 01,,46056100038,10152,Computer Programming,0,0,0,0,0,0,0,0,0
Beresford High School - 01,,46063600048,10152,Computer Programming,0,0,0,0,0,0,0,0,0
Bon Homme High School - 01,,46074000065,10152,Computer Programming,0,0,0,0,0,0,0,0,0
Brandon Valley High School - 01,,46079500071,10152,Computer Programming,0,0,0,0,0,0,0,0,0
Bridgewater-Emery High School - 01,,46214200074,10205,Computer Gaming and Design,0,0,0,0,0,0,0,0,0
Britton-Hecla High School - 01,,46000411141,10157,AP Computer Science A,0,0,0,0,0,0,0,0,0
Brookings High School - 01,,46085200082,10152,Computer Programming,0,0,0,0,0,0,0,0,0
Brookings High School - 01,,46085200082,21009,Robotics,0,0,0,0,0,0,0,0,0
Canton High School - 01,,46105600109,10205,Computer Gaming and Design,0,0,0,0,0,0,0,0,0
Central High School - 01,,46020700003,10152,Computer Programming,0,0,0,0,0,0,0,0,0
Central High School - 01,,46020700003,10157,AP Computer Science A,0,0,0,0,0,0,0,0,0
CTE - 37,,46662701305,10205,Computer Gaming and Design,0,0,0,0,0,0,0,0,0
CTE - 37,,46662701305,21009,Robotics,0,0,0,0,0,0,0,0,0
Dakota Valley High School - 01,,46369900345,10152,Computer Programming,0,0,0,0,0,0,0,0,0
Dakota Valley High School - 01,,46369900345,21009,Robotics,0,0,0,0,0,0,0,0,0
De Smet High School - 01,,46178500163,10152,Computer Programming,0,0,0,0,0,0,0,0,0
Dell Rapids High School - 01,,46181200165,10152,Computer Programming,0,0,0,0,0,0,0,0,0
Deubrook High School - 01,,46783000012,10205,Computer Gaming and Design,0,0,0,0,0,0,0,0,0
Deuel High School - 01,,46000361010,10152,Computer Programming,0,0,0,0,0,0,0,0,0
Douglas High School - 03,,46194100174,21009,Robotics,0,0,0,0,0,0,0,0,0
Edgemont High School - 01,,46208500182,10152,Computer Programming,0,0,0,0,0,0,0,0,0
Ethan High School - 01,,46225000194,10152,Computer Programming,0,0,0,0,0,0,0,0,0
Flandreau High School - 01,,46243900206,10152,Computer Programming,0,0,0,0,0,0,0,0,0
Holgate Middle School - 02,,46020700005,10604,PLTW MS Computer Science,0,0,0,0,0,0,0,0,0
Howard High School - 01,,46000250305,10152,Computer Programming,0,0,0,0,0,0,0,0,0
Ipswich High School - 01,,46360600333,10013,PLTW Computer Science Essentials,0,0,0,0,0,0,0,0,0
Ipswich Middle School - 04,,46360600914,10604,PLTW MS Computer Science,0,0,0,0,0,0,0,0,0
Irene-Wakonda High School - 01,,46804391254,21009,Robotics,0,0,0,0,0,0,0,0,0
Lake Preston High School - 01,,46399900368,10152,Computer Programming,0,0,0,0,0,0,0,0,0
Lake Preston High School - 01,,46399900368,21009,Robotics,0,0,0,0,0,0,0,0,0
Lead-Deadwood High School - 01,,46413000374,21009,Robotics,0,0,0,0,0,0,0,0,0
Leola High School - 01,,46416400391,10152,Computer Programming,0,0,0,0,0,0,0,0,0
Lincoln High School - 02,,46662700600,10152,Computer Programming,0,0,0,0,0,0,0,0,0
Lincoln High School - 02,,46662700600,10205,Computer Gaming and Design,0,0,0,0,0,0,0,0,0
Madison High School - 01,,46396000363,10152,Computer Programming,0,0,0,0,0,0,0,0,0
Marion High School - 01,,46454500408,10152,Computer Programming,0,0,0,0,0,0,0,0,0
Milbank High School - 01,,46000020424,10152,Computer Programming,0,0,0,0,0,0,0,0,0
Milbank High School - 01,,46000020424,10205,Computer Gaming and Design,0,0,0,0,0,0,0,0,0
Milbank High School - 01,,46000020424,21009,Robotics,0,0,0,0,0,0,0,0,0
Mitchell High School - 01,,46483900442,10152,Computer Programming,0,0,0,0,0,0,0,0,0
Mount Vernon High School- 01,,46496500455,10152,Computer Programming,0,0,0,0,0,0,0,0,0
New Technology High School - 30,,46662701303,10205,Computer Gaming and Design,0,0,0,0,0,0,0,0,0
Northwestern High School - 01,,465175000475,10152,Computer Programming,0,0,0,0,0,0,0,0,0
