school_name,state_school_id,nces_id,course_id,course_name,num_students_enrolled,num_students_female,num_students_black_or_african_american,num_students_hispanic_or_latino,num_students_american_indian_or_native_alaskan,num_students_native_hawaiian_or_pacific_islander,num_students_free_or_reduced_lunch,num_students_special_education_status,num_students_english_language_learner_status
Anderson County High School,TN-00010-0002,470009001871,C10H01,Dual Enrollment Coding I,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Stone Memorial High School,TN-00180-0079,470090002100,C10H01,Dual Enrollment Coding I,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Antioch High School,TN-00190-0020,470318001257,C10H01,Dual Enrollment Coding I,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Pearl-Cohn High,TN-00190-0555,470318001924,C10H01,Dual Enrollment Coding I,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
East Hamilton School,TN-00330-0059,470159002214,C10H01,Dual Enrollment Coding I,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
East Ridge High School,TN-00330-0070,470159000501,C10H01,Dual Enrollment Coding I,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Hamilton County Collegiate High at Chattanooga State,TN-00330-0086,470159001416,C10H01,Dual Enrollment Coding I,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Hixson High School,TN-00330-0128,470159000750,C10H01,Dual Enrollment Coding I,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Lookout Valley Middle / High School,TN-00330-0165,470159000781,C10H01,Dual Enrollment Coding I,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Soddy Daisy High School,TN-00330-0220,470159000525,C10H01,Dual Enrollment Coding I,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Tyner Academy,TN-00330-0237,470159000802,C10H01,Dual Enrollment Coding I,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Henry Co High School,TN-00400-0025,470183000617,C10H01,Dual Enrollment Coding I,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
East Hickman High School,TN-00410-0018,470186002104,C10H01,Dual Enrollment Coding I,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Culleoka Unit School,TN-00600-0030,470276000967,C10H01,Dual Enrollment Coding I,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Northeast High,TN-00630-0068,470303001855,C10H01,Dual Enrollment Coding I,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Cookeville High School,TN-00710-0037,470348001457,C10H01,Dual Enrollment Coding I,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Harriman High School,TN-00730-0015,470359000567,C10H01,Dual Enrollment Coding I,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Rockwood High School,TN-00730-0085,470359001489,C10H01,Dual Enrollment Coding I,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Jo Byrns High School,TN-00740-0045,470360001500,C10H01,Dual Enrollment Coding I,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Ridgeway High,TN-00792-2615,470014801142,C10H01,Dual Enrollment Coding I,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Sumner County Middle College High School,TN-00830-0155,470402002408,C10H01,Dual Enrollment Coding I,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Brentwood High School,TN-00940-0012,470453001894,C10H01,Dual Enrollment Coding I,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Centennial High School,TN-00940-0017,470453000511,C10H01,Dual Enrollment Coding I,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Ravenwood High School,TN-00940-0074,470453001946,C10H01,Dual Enrollment Coding I,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
John Overton High,TN-00190-0395,470318001327,C10H07,IGCSE Computer Science,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Henry Co High School,TN-00400-0025,470183000617,C10H08,Coding Practicum,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Hardin Valley Academy,TN-00470-0126,470222002151,C10H08,Coding Practicum,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Madison Academic Magnet High School,TN-00570-0063,470258002033,C10H08,Coding Practicum,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Arlington High,TN-00793-0001,470015202075,C10H08,Coding Practicum,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Bartlett High School,TN-00794-0025,470015301570,C10H08,Coding Practicum,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Sullivan South High School,TN-00820-0183,470399001863,C10H08,Coding Practicum,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Brentwood High School,TN-00940-0012,470453001894,C10H08,Coding Practicum,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
