school_name,state_school_id,nces_id,course_id,course_name,num_students_enrolled,num_students_female,num_students_black_or_african_american,num_students_hispanic_or_latino,num_students_american_indian_or_native_alaskan,num_students_native_hawaiian_or_pacific_islander,num_students_free_or_reduced_lunch,num_students_special_education_status,num_students_english_language_learner_status
ELKHART H S,,481839001732,13027600,COMPUTER PROGRAMMING I,,,,,,,,,
SLOCUM H S,,484050004585,3580140,FUNDAMENTALS OF COMP SCIENCE,,,,,,,,,
SLOCUM H S,,484050004585,3580200,COMPUTER SCIENCE I,,,,,,,,,
SLOCUM H S,,484050004585,3580300,COMPUTER SCIENCE II,,,,,,,,,
ANDREWS H S,,480828000194,3580200,COMPUTER SCIENCE I,,,,,,,,,
ANDREWS H S,,480828000194,3580300,COMPUTER SCIENCE II,,,,,,,,,
ANDREWS H S,,480828000194,A3580300,AP COMPUTER SCIENCE PRINCIPLES,,,,,,,,,
PINEYWOODS COMMUNITY ACADEMY H S,,480007408093,13037050,ROBOTICS II,,,,,,,,,
HUDSON H S,,482379002631,13027600,COMPUTER PROGRAMMING I,,,,,,,,,
HUDSON H S,,482379002631,13027700,COMPUTER PROGRAMMING II,,,,,,,,,
HUDSON H S,,482379002631,13037050,ROBOTICS II,,,,,,,,,
LUFKIN H S,,482855007762,3580200,COMPUTER SCIENCE I,,,,,,,,,
LUFKIN H S,,482855007762,13027600,COMPUTER PROGRAMMING I,,,,,,,,,
LUFKIN H S,,482855007762,13037050,ROBOTICS II,,,,,,,,,
LUFKIN H S,,482855007762,A3580300,AP COMPUTER SCIENCE PRINCIPLES,,,,,,,,,
HUNTINGTON H S,,482400002654,13037050,ROBOTICS II,,,,,,,,,
HUNTINGTON H S,,482400002654,N1302812,INTRO TO C# PROGRAMMING APPS,,,,,,,,,
DIBOLL H S,,481704001475,13037050,ROBOTICS II,,,,,,,,,
CENTRAL H S,,483870004302,3580200,COMPUTER SCIENCE I,,,,,,,,,
ROCKPORT-FULTON H S,,480855000222,3580200,COMPUTER SCIENCE I,,,,,,,,,
ROCKPORT-FULTON H S,,480855000222,3580300,COMPUTER SCIENCE II,,,,,,,,,
ROCKPORT-FULTON H S,,480855000222,A3580110,AP COMPUTER SCIENCE A - MATH,,,,,,,,,
ROCKPORT-FULTON H S,,480855000222,A3580300,AP COMPUTER SCIENCE PRINCIPLES,,,,,,,,,
ARCHER CITY H S,,480861000229,3580200,COMPUTER SCIENCE I,,,,,,,,,
ARCHER CITY H S,,480861000229,13027700,COMPUTER PROGRAMMING II,,,,,,,,,
ARCHER CITY H S,,480861000229,13037050,ROBOTICS II,,,,,,,,,
HOLLIDAY H S,,482340002375,3580140,FUNDAMENTALS OF COMP SCIENCE,,,,,,,,,
HOLLIDAY H S,,482340002375,13027700,COMPUTER PROGRAMMING II,,,,,,,,,
HOLLIDAY H S,,482340002375,13037050,ROBOTICS II,,,,,,,,,
CHARLOTTE H S,,481371000863,13027600,COMPUTER PROGRAMMING I,,,,,,,,,
LYTLE H S,,482865003246,3580200,COMPUTER SCIENCE I,,,,,,,,,
