school_name,state_school_id,nces_id,course_id,course_name,num_students_enrolled,num_students_female,num_students_black_or_african_american,num_students_hispanic_or_latino,num_students_american_indian_or_native_alaskan,num_students_native_hawaiian_or_pacific_islander,num_students_free_or_reduced_lunch,num_students_special_education_status,num_students_english_language_learner_status
Albemarle High,,510009000015,10019,AP Computer Science Principles,44,4,2,1,0,0,0,0,0
Albemarle High,,510009000015,10152-I,Programming 6640,51,2,11,5,0,0,11,0,0
Albemarle High,,510009000015,10157,AP Computer Science A,35,9,0,3,0,0,0,0,0
Monticello High,,510009001747,10152-I,Programming 6640,26,1,0,5,0,0,11,0,0
Monticello High,,510009001747,10152-II,Advanced Programming,4,0,0,2,0,0,0,0,0
Western Albemarle High,,510009000035,10152-I,Programming 6640,21,1,0,4,0,0,0,0,0
Western Albemarle High,,510009000035,10157,AP Computer Science A,46,9,2,0,0,0,0,0,0
Alleghany High,,510015201883,10152-I,Programming 6640,1,0,0,0,0,0,0,0,0
Alleghany High,,510015201883,10157,AP Computer Science A,1,0,0,0,0,0,0,0,0
Amelia County High,,510018001828,10021,Computer Science Programming,4,0,0,1,0,0,0,0,0
Appomattox County High,,510024000076,10152-I,Programming 6640,2,0,0,0,0,0,0,0,0
Dorothy Hamm Middle,,510027003062,10152-I,Programming 6640,57,10,3,2,0,0,0,0,0
Governor's Academy for Career and Technical Education in Arlington,,510027003003,10019,AP Computer Science Principles,30,4,1,10,0,0,0,0,0
Governor's Academy for Career and Technical Education in Arlington,,510027003003,10021,Computer Science Programming,2,2,0,0,0,0,0,0,0
Governor's Academy for Career and Technical Education in Arlington,,510027003003,10152-I,Programming 6640,21,6,1,5,0,0,0,0,0
Governor's Academy for Career and Technical Education in Arlington,,510027003003,10152-II,Advanced Programming,4,2,0,1,0,0,0,0,0
Gunston Middle,,510027000752,10152-I,Programming 6640,41,4,12,11,0,0,17,0,12
HB Woodlawn Secondary Program,,510027002659,10152-I,Programming 6640,34,14,3,1,0,0,0,0,0
HB Woodlawn Secondary Program,,510027002659,10157,AP Computer Science A,21,8,0,2,0,0,0,0,0
Jefferson Middle,,510027000098,10152-I,Programming 6640,62,21,10,16,0,0,24,0,28
Kenmore Middle,,510027000099,10152-I,Programming 6640,25,9,7,7,0,0,10,0,0
Swanson Middle,,510027000107,10152-I,Programming 6640,58,14,2,7,0,0,0,0,0
Technical Education & Career Center,,510027000109,10152-I,Programming 6640,1,0,0,1,0,0,0,0,0
Wakefield High,,510027000111,10019,AP Computer Science Principles,30,10,9,5,0,0,0,0,10
Wakefield High,,510027000111,10152-I,Programming 6640,55,14,15,15,0,0,33,0,24
Wakefield High,,510027000111,10152-II,Advanced Programming,3,2,1,0,0,0,0,0,0
Wakefield High,,510027000111,10157,AP Computer Science A,31,11,5,7,0,0,0,0,11
Washington-Liberty High,,510027000112,10019,AP Computer Science Principles,27,7,2,1,0,0,0,0,0
Washington-Liberty High,,510027000112,10152-I,Programming 6640,72,18,3,15,0,0,15,0,12
Washington-Liberty High,,510027000112,10152-II,Advanced Programming,22,6,1,3,0,0,0,0,0
Washington-Liberty High,,510027000112,10157,AP Computer Science A,34,14,1,7,0,0,0,0,0
Washington-Liberty High,,510027000112,10159-HL,IB Computer Science,84,26,6,12,0,0,13,0,0
Williamsburg Middle,,510027000113,10152-I,Programming 6640,71,13,0,6,0,0,0,0,0
Yorktown High,,510027000115,10019,AP Computer Science Principles,83,12,4,3,0,0,0,0,0
Yorktown High,,510027000115,10152-I,Programming 6640,56,14,5,5,0,0,11,0,0
Yorktown High,,510027000115,10152-II,Advanced Programming,18,5,2,1,0,0,0,0,0
Yorktown High,,510027000115,10157,AP Computer Science A,29,3,3,6,0,0,0,0,0
Buffalo Gap High,,510030000117,10020,Computer Science Foundations,5,2,0,1,0,0,0,0,0
Fort Defiance High,,510030000124,10019,AP Computer Science Principles,1,0,0,0,0,0,0,0,0
Fort Defiance High,,510030000124,10020,Computer Science Foundations,22,1,0,0,0,0,0,0,0
Riverheads High,,510030000129,10020,Computer Science Foundations,3,1,0,0,0,0,0,0,0
Stuarts Draft High,,510030000132,10020,Computer Science Foundations,5,0,0,1,0,0,0,0,0
Wilson Memorial High,,510030000138,10019,AP Computer Science Principles,1,0,0,0,0,0,0,0,0
Wilson Memorial High,,510030000138,10020,Computer Science Foundations,11,3,0,2,0,0,0,0,0
Wilson Memorial High,,510030000138,10157,AP Computer Science A,1,0,0,0,0,0,0,0,0
Bath County High,,510033000139,10152-I,Programming 6640,7,0,1,0,0,0,0,0,0
Bath County High,,510033000139,10152-II,Advanced Programming,7,2,0,0,0,0,0,0,0
Jefferson Forest High,,510036002175,10019,AP Computer Science Principles,11,2,0,0,0,0,0,0,0
Jefferson Forest High,,510036002175,10152-II,Advanced Programming,19,1,1,0,0,0,0,0,0
Jefferson Forest High,,510036002175,10157,AP Computer Science A,30,4,0,0,0,0,0,0,0
Liberty High,,510036000151,10019,AP Computer Science Principles,20,8,2,0,0,0,0,0,0
