school_name,state_school_id,nces_id,course_id,course_name,num_students_enrolled,num_students_female,num_students_black_or_african_american,num_students_hispanic_or_latino,num_students_american_indian_or_native_alaskan,num_students_native_hawaiian_or_pacific_islander,num_students_free_or_reduced_lunch,num_students_special_education_status,num_students_english_language_learner_status
General William H. Harrison Preparatory School,,530141003000,10157,AP Computer Science A,0,0,0,0,0,0,0,0,0
A G West Black Hills High School,,530910002602,10152,Computer Programming,24,0,0,0,0,0,0,0,0
Alki Middle School,,530927000578,10152,Computer Programming,22,0,0,0,0,0,0,0,0
Anacortes High School,,530015000016,10157,AP Computer Science A,13,0,0,0,0,0,0,0,0
Arlington High School,,530024000023,10011,Computer Science Principles,14,0,0,0,0,0,0,0,0
Arlington High School,,530024000023,10012,Exploring Computer Science,47,0,0,0,0,0,13,0,0
Auburn Mountainview High School,,530030002978,10157,AP Computer Science A,50,17,0,0,0,0,12,0,0
Auburn Mountainview High School,,530030002978,10152,Computer Programming,43,14,0,0,0,0,19,0,0
Auburn Riverside High School,,530030002445,10157,AP Computer Science A,18,0,0,0,0,0,0,0,0
Auburn Riverside High School,,530030002445,10152,Computer Programming,19,0,0,0,0,0,0,0,0
Auburn Senior High School,,530030000032,10157,AP Computer Science A,26,0,0,0,0,0,11,0,0
Auburn Senior High School,,530030000032,10152,Computer Programming,33,16,0,19,0,0,0,0,0
Bainbridge High School,,530033000043,10157,AP Computer Science A,29,0,0,0,0,0,0,0,0
Bainbridge High School,,530033000043,10152,Computer Programming,43,0,0,0,0,0,0,0,0
Ballard High School,,530771001138,10152,Computer Programming,92,15,0,0,0,0,12,0,0
Ballard High School,,530771001138,10197,Computer Programming-Independent Study 10197,10,0,0,0,0,0,0,0,0
Ballard High School,,530771001138,10155,Java Programming 10155,25,13,0,0,0,0,0,0,0
Ballard High School,,530771001138,10160,Particular Topics in Computer Programming 10160,126,37,0,0,0,0,13,0,0
Bellevue Big Picture School,,530039003354,10156,Computer Programming-Other Language,49,16,0,0,0,0,0,0,0
Bellevue High School,,530039000060,10157,AP Computer Science A,79,23,0,0,0,0,0,0,0
Bellevue High School,,530039000060,10152,Computer Programming,137,33,0,0,0,0,0,0,16
Bellevue High School,,530039000060,10199,Computer Programming-Other 10199,41,0,0,0,0,0,0,0,0
Bellingham High School,,530042000099,10157,AP Computer Science A,27,0,0,0,0,0,0,0,0
Bellingham High School,,530042000099,10160,Particular Topics in Computer Programming 10160,27,0,0,0,0,0,0,0,0
Bethel High School,,530048000119,10157,AP Computer Science A,20,0,0,0,0,0,0,0,0
Bethel High School,,530048000119,10152,Computer Programming,29,0,0,0,0,0,11,0,0
Bonney Lake High School,,530861002998,10152,Computer Programming,99,16,0,16,0,0,38,0,0
Bonney Lake High School,,530861002998,10160,Particular Topics in Computer Programming 10160,22,0,0,0,0,0,0,0,0
Bothell High School,,530591000876,10157,AP Computer Science A,0,0,0,0,0,0,0,0,0
Bothell High School,,530591000876,10019,AP Computer Science Principles,0,0,0,0,0,0,0,0,0
Bothell High School,,530591000876,10154,C++ Programming,0,0,0,0,0,0,0,0,0
Bothell High School,,530591000876,10152,Computer Programming,59,11,0,0,0,0,0,0,0
Bothell High School,,530591000876,10156,Computer Programming-Other Language,16,0,0,0,0,0,0,0,0
Bremerton High School,,530066000139,10157,AP Computer Science A,28,0,0,0,0,0,17,0,0
Bremerton High School,,530066000139,10152,Computer Programming,32,0,0,0,0,0,21,0,0
Bridgeport High School,,530072000151,10157,AP Computer Science A,10,0,0,0,0,0,0,0,0
Bryant Center,,530825002764,10152,Computer Programming,10,0,0,0,0,0,0,0,0
Burlington Edison High School,,530078000155,10157,AP Computer Science A,21,0,0,0,0,0,0,0,0
Burlington Edison High School,,530078000155,10152,Computer Programming,69,0,0,0,0,0,34,0,0
Camas High School,,530081003152,10157,AP Computer Science A,27,0,0,0,0,0,0,0,0
Cap Sante High School,,530015003303,10205,Computer Gaming and Design,0,0,0,0,0,0,0,0,0
Cascade High School,,530267000391,10157,AP Computer Science A,22,0,0,0,0,0,0,0,0
Cascade High School,,530267000391,10019,AP Computer Science Principles,28,0,0,0,0,0,0,0,0
Cascade Middle School,,530447000699,10152,Computer Programming,36,0,0,0,0,0,15,0,0
CASHMERE HIGH SCHOOL,,530096000168,10160,Particular Topics in Computer Programming 10160,12,0,0,0,0,0,0,0,0
Cedarcrest High School,,530456000716,10157,AP Computer Science A,14,0,0,0,0,0,0,0,0
Cedarcrest High School,,530456000716,10154,C++ Programming,41,10,0,0,0,0,0,0,0
Cedarcrest High School,,530456000716,10197,Computer Programming-Independent Study 10197,15,0,0,0,0,0,0,0,0
Central Kitsap High School,,530108000177,10157,AP Computer Science A,27,0,0,0,0,0,0,0,0
Central Kitsap High School,,530108000177,10152,Computer Programming,59,11,0,0,0,0,10,0,0
Central Kitsap Middle School,,530108000178,10152,Computer Programming,63,20,0,0,0,0,12,0,0
Central Valley High School,,530111000191,10157,AP Computer Science A,18,0,0,0,0,0,0,0,0
Central Valley High School,,530111000191,10152,Computer Programming,13,0,0,0,0,0,0,0,0
Central Valley High School,,530111000191,10199,Computer Programming-Other 10199,120,26,0,0,0,0,49,0,12
Centralia High School,,530114000206,10157,AP Computer Science A,13,0,0,0,0,0,0,0,0
Centralia High School,,530114000206,10199,Computer Programming-Other 10199,124,70,0,0,0,0,90,0,0
Cheney High School,,530123000223,10157,AP Computer Science A,19,0,0,0,0,0,0,0,0
Cheney High School,,530123000223,10152,Computer Programming,53,0,0,0,0,0,25,0,0
Cheney High School,,530123000223,10199,Computer Programming-Other 10199,11,0,0,0,0,0,0,0,0
Chiawana Senior High School,,530657003292,10205,Computer Gaming and Design,0,0,0,0,0,0,0,0,0
Chiawana Senior High School,,530657003292,10152,Computer Programming,47,17,0,27,0,0,19,0,0
Chiawana Senior High School,,530657003292,10156,Computer Programming-Other Language,28,0,0,16,0,0,16,0,0
Chimacum Junior/Senior High School,,530129000233,10157,AP Computer Science A,0,0,0,0,0,0,0,0,0
Chimacum Junior/Senior High School,,530129000233,10152,Computer Programming,22,11,0,0,0,0,0,0,0
Chinook Middle School,,530354000524,10156,Computer Programming-Other Language,104,33,0,0,0,0,0,0,17
Cle Elum Roslyn High School,,530135000240,10152,Computer Programming,0,0,0,0,0,0,0,0,0
Cleveland High School STEM,,530771001150,10019,AP Computer Science Principles,60,20,0,0,0,0,42,0,0
Cleveland High School STEM,,530771001150,10152,Computer Programming,153,57,37,21,0,0,97,0,18
Cleveland High School STEM,,530771001150,10197,Computer Programming-Independent Study 10197,24,0,0,0,0,0,12,0,0
Clover Park High School,,530141000250,10157,AP Computer Science A,17,0,0,0,0,0,0,0,0
Clover Park High School,,530141000250,10152,Computer Programming,89,20,0,35,0,0,72,0,14
Colton School,,530150000277,10152,Computer Programming,0,0,0,0,0,0,0,0,0
Columbia High And Elementary,,530156000278,10011,Computer Science Principles,0,0,0,0,0,0,0,0,0
Columbia River High,,530927001557,10152,Computer Programming,43,0,0,0,0,0,16,0,0
Columbia River High,,530927001557,10159,IB Computer Science,21,0,0,0,0,0,0,0,0
Colville Senior High School,,530163000282,10157,AP Computer Science A,44,14,0,0,0,0,19,0,0
Coupeville High School,,530180000290,10156,Computer Programming-Other Language,15,0,0,0,0,0,0,0,0
Curtis Senior High,,530918001549,10157,AP Computer Science A,20,0,0,0,0,0,0,0,0
Curtis Senior High,,530918001549,10156,Computer Programming-Other Language,30,10,0,0,0,0,0,0,0
Darrington High School,,530198000301,10011,Computer Science Principles,10,0,0,0,0,0,0,0,0
Davenport Senior High School,,530201000303,10011,Computer Science Principles,0,0,0,0,0,0,0,0,0
Decatur High School,,530282000434,10157,AP Computer Science A,0,0,0,0,0,0,0,0,0
Decatur High School,,530282000434,10152,Computer Programming,71,0,0,22,0,0,39,0,0
Discovery Middle School,,530927002018,10152,Computer Programming,104,36,0,36,0,0,69,0,11
Dishman Hills High School,,530969002244,10152,Computer Programming,12,0,0,0,0,0,0,0,0
Dishman Hills High School,,530969002244,10160,Particular Topics in Computer Programming 10160,54,21,0,0,0,0,0,0,0
East Valley High School,,530537000805,10157,AP Computer Science A,19,0,0,0,0,0,0,0,0
East Valley High School,,530537000805,10011,Computer Science Principles,13,0,0,0,0,0,0,0,0
Eastlake High School,,530423001141,10157,AP Computer Science A,33,0,0,0,0,0,0,0,0
Eastlake High School,,530423001141,10152,Computer Programming,63,18,0,0,0,0,0,0,0
Edmonds Heights K-12,,530240003139,10205,Computer Gaming and Design,11,0,0,0,0,0,0,0,0
Edmonds Heights K-12,,530240003139,10160,Particular Topics in Computer Programming 10160,0,0,0,0,0,0,0,0,0
Edmonds Woodway High School,,530240002673,10012,Exploring Computer Science,43,18,0,0,0,0,14,0,0
Eisenhower High School,,531011001690,10152,Computer Programming,51,18,0,27,0,0,31,0,0
Ellensburg High School,,530246000365,10011,Computer Science Principles,0,0,0,0,0,0,0,0,0
Emerald Ridge High School,,530696002809,10157,AP Computer Science A,16,0,0,0,0,0,0,0,0
Emerald Ridge High School,,530696002809,10199,Computer Programming-Other 10199,25,0,0,0,0,0,0,0,0
Entiat Middle and High School,,530255000374,10012,Exploring Computer Science,13,0,0,0,0,0,0,0,0
Enumclaw Sr High School,,530000100379,10152,Computer Programming,18,0,0,0,0,0,0,0,0
Everett High School,,530267000395,10157,AP Computer Science A,14,0,0,0,0,0,0,0,0
Everett High School,,530267000395,10019,AP Computer Science Principles,67,17,0,0,0,0,28,0,0
Everett High School,,530267000395,10205,Computer Gaming and Design,58,12,0,14,0,0,32,0,0
Evergreen High School,,530270000418,10157,AP Computer Science A,21,0,0,0,0,0,0,0,0
Evergreen High School,,530270000418,10157,AP Computer Science A,10,0,0,0,0,0,0,0,0
Excel Public Charter School (Closed after 2018-2019 school year),,530033203536,10012,Exploring Computer Science,136,58,57,12,0,0,49,34,11
Explorer Academy,,530816002575,10205,Computer Gaming and Design,0,0,0,0,0,0,0,0,0
Explorer Academy,,530816002575,10011,Computer Science Principles,0,0,0,0,0,0,0,0,0
Explorer Academy,,530816002575,10155,Java Programming 10155,0,0,0,0,0,0,0,0,0
Fairview Middle School,,530108000183,10152,Computer Programming,59,18,0,0,0,0,24,14,0
Federal Way High School,,530282000435,10157,AP Computer Science A,30,0,0,0,0,0,18,0,0
Federal Way High School,,530282000435,10152,Computer Programming,117,24,26,31,0,0,81,0,32
Ferndale High School,,530285000460,10019,AP Computer Science Principles,23,0,0,0,0,0,0,0,0
Ferris High School,,530825001385,10157,AP Computer Science A,29,0,0,0,0,0,0,0,0
