school_name,state_school_id,nces_id,course_id,course_name,num_students_enrolled,num_students_female,num_students_black_or_african_american,num_students_hispanic_or_latino,num_students_american_indian_or_native_alaskan,num_students_native_hawaiian_or_pacific_islander,num_students_free_or_reduced_lunch,num_students_special_education_status,num_students_english_language_learner_status
 General William H. Harrison Preparatory School,,530141003000,10157,AP Computer Science A,14,0,0,0,0,0,0,0,0
 General William H. Harrison Preparatory School,,530141003000,10152,Computer Programming,29,12,0,0,0,0,15,0,0
A G West Black Hills High School,,530910002602,10152,Computer Programming,0,0,0,0,0,0,0,0,0
A G West Black Hills High School,,530910002602,10156,Computer Programming-Other Language,23,0,0,0,0,0,0,0,0
ACES High School,,530543002063,10199,Computer Programming-Other 10199,0,0,0,0,0,0,0,0,0
Alki Middle School,,530927000578,10152,Computer Programming,20,0,0,0,0,0,0,0,0
Anacortes High School,,530015000016,10157,AP Computer Science A,42,0,0,0,0,0,0,0,0
Anacortes High School,,530015000016,10012,Exploring Computer Science,62,25,0,0,0,0,23,0,0
Arlington High School,,530024000023,10011,Computer Science Principles,19,0,0,0,0,0,0,0,0
Arlington High School,,530024000023,10012,Exploring Computer Science,51,13,0,0,0,0,15,0,0
Auburn Mountainview High School,,530030002978,10157,AP Computer Science A,51,26,0,0,0,0,19,0,0
Auburn Mountainview High School,,530030002978,10019,AP Computer Science Principles,21,0,0,0,0,0,0,0,0
Auburn Mountainview High School,,530030002978,10152,Computer Programming,10,0,0,0,0,0,0,0,0
Auburn Riverside High School,,530030002445,10157,AP Computer Science A,0,0,0,0,0,0,0,0,0
Auburn Riverside High School,,530030002445,10019,AP Computer Science Principles,10,0,0,0,0,0,0,0,0
Auburn Riverside High School,,530030002445,10152,Computer Programming,21,0,0,0,0,0,0,0,0
Auburn Senior High School,,530030000032,10157,AP Computer Science A,0,0,0,0,0,0,0,0,0
Auburn Senior High School,,530030000032,10019,AP Computer Science Principles,24,0,0,0,0,0,14,0,0
Auburn Senior High School,,530030000032,10152,Computer Programming,22,0,0,0,0,0,0,0,0
Bainbridge High School,,530033000043,10157,AP Computer Science A,30,0,0,0,0,0,0,0,0
Bainbridge High School,,530033000043,10152,Computer Programming,17,0,0,0,0,0,0,0,0
Ballard High School,,530771001138,10152,Computer Programming,98,24,0,0,0,0,0,26,0
Ballard High School,,530771001138,10197,Computer Programming-Independent Study 10197,21,0,0,0,0,0,0,0,0
Ballard High School,,530771001138,10155,Java Programming 10155,33,18,0,0,0,0,0,0,0
Ballard High School,,530771001138,10160,Particular Topics in Computer Programming 10160,126,33,0,10,0,0,12,38,0
Bellevue Big Picture School,,530039003354,10156,Computer Programming-Other Language,37,0,0,0,0,0,0,0,0
Bellevue High School,,530039000060,10157,AP Computer Science A,94,23,0,0,0,0,0,0,0
Bellevue High School,,530039000060,10019,AP Computer Science Principles,18,0,0,0,0,0,0,0,0
Bellevue High School,,530039000060,10205,Computer Gaming and Design,34,0,0,0,0,0,0,0,0
Bellevue High School,,530039000060,10199,Computer Programming-Other 10199,46,10,0,0,0,0,0,0,0
Bellevue High School,,530039000060,10156,Computer Programming-Other Language,84,32,0,0,0,0,10,0,0
Bellingham High School,,530042000099,10157,AP Computer Science A,29,10,0,0,0,0,0,0,0
Bellingham High School,,530042000099,10160,Particular Topics in Computer Programming 10160,24,0,0,0,0,0,0,0,0
Bethel High School,,530048000119,10157,AP Computer Science A,16,0,0,0,0,0,0,0,0
Bethel High School,,530048000119,10152,Computer Programming,25,0,0,0,0,0,0,0,0
Bonney Lake High School,,530861002998,10152,Computer Programming,86,13,0,12,0,0,29,0,0
Bonney Lake High School,,530861002998,10160,Particular Topics in Computer Programming 10160,10,0,0,0,0,0,0,0,0
Bothell High School,,530591000876,10157,AP Computer Science A,0,0,0,0,0,0,0,0,0
Bothell High School,,530591000876,10019,AP Computer Science Principles,25,0,0,0,0,0,0,0,0
Bothell High School,,530591000876,10205,Computer Gaming and Design,0,0,0,0,0,0,0,0,0
Bothell High School,,530591000876,10152,Computer Programming,26,0,0,0,0,0,0,0,0
Bothell High School,,530591000876,10156,Computer Programming-Other Language,0,0,0,0,0,0,0,0,0
Bremerton High School,,530066000139,10157,AP Computer Science A,27,0,0,0,0,0,12,0,0
Bremerton High School,,530066000139,10205,Computer Gaming and Design,0,0,0,0,0,0,0,0,0
Bremerton High School,,530066000139,10152,Computer Programming,54,0,0,0,0,0,32,0,0
Bridgeport High School,,530072000151,10157,AP Computer Science A,0,0,0,0,0,0,0,0,0
Bryant Center,,530825002764,10152,Computer Programming,0,0,0,0,0,0,0,0,0
Burlington Edison High School,,530078000155,10157,AP Computer Science A,12,0,0,0,0,0,0,0,0
Burlington Edison High School,,530078000155,10152,Computer Programming,70,19,0,0,0,0,34,0,0
Camas High School,,530081003152,10157,AP Computer Science A,29,0,0,0,0,0,0,0,0
Cap Sante High School,,530015003303,10205,Computer Gaming and Design,0,0,0,0,0,0,0,0,0
Cascade High School,,530267000391,10157,AP Computer Science A,24,0,0,0,0,0,0,0,0
Cascade High School,,530267000391,10019,AP Computer Science Principles,20,0,0,0,0,0,0,0,0
Cascade High School,,530267000391,10155,Java Programming 10155,0,0,0,0,0,0,0,0,0
Cascade Middle School,,530447000699,10152,Computer Programming,32,10,0,0,0,0,14,0,0
CASHMERE HIGH SCHOOL,,530096000168,10157,AP Computer Science A,47,15,0,0,0,0,20,0,0
