school_name,state_school_id,nces_id,course_id,course_name,teacher_name_or_id,num_students_enrolled,num_students_female,num_students_black_or_african_american,num_students_hispanic_or_latino,num_students_american_indian_or_native_alaskan,num_students_native_hawaiian_or_pacific_islander,num_students_free_or_reduced_lunch,num_students_special_education_status,num_students_english_language_learner_status
J M Weatherwax High School,WA-14005-3476,530003000007,010152,Computer Programming,unspecified,29,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Anacortes High School,WA-29103-2467,530015000016,010157,AP Computer Science A,unspecified,13,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Anacortes High School,WA-29103-2467,530015000016,021009,Robotics,unspecified,69,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Cap Sante High School,WA-29103-5176,530015003303,010205,Computer Gaming and Design,unspecified,1,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Arlington High School,WA-31016-2523,530024000023,010011,Computer Science Principles,unspecified,14,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Arlington High School,WA-31016-2523,530024000023,010012,Exploring Computer Science,unspecified,47,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Arlington High School,WA-31016-2523,530024000023,021009,Robotics,unspecified,3,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Weston High School,WA-31016-4287,530024002074,010011,Computer Science Principles,unspecified,3,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Weston High School,WA-31016-4287,530024002074,010152,Computer Programming,unspecified,10,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Weston High School,WA-31016-4287,530024002074,021009,Robotics,unspecified,12,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Asotin Jr Sr High,WA-02420-2434,530028000028,010151,Business Programming,unspecified,8,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Auburn Senior High School,WA-17408-2795,530030000032,010152,Computer Programming,unspecified,33,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Auburn Senior High School,WA-17408-2795,530030000032,010157,AP Computer Science A,unspecified,26,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Auburn Senior High School,WA-17408-2795,530030000032,021009,Robotics,unspecified,46,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Auburn Riverside High School,WA-17408-4474,530030002445,010152,Computer Programming,unspecified,19,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Auburn Riverside High School,WA-17408-4474,530030002445,010157,AP Computer Science A,unspecified,18,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Auburn Riverside High School,WA-17408-4474,530030002445,021009,Robotics,unspecified,15,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Auburn Mountainview High School,WA-17408-5037,530030002978,010152,Computer Programming,unspecified,43,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Auburn Mountainview High School,WA-17408-5037,530030002978,010157,AP Computer Science A,unspecified,50,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Auburn Mountainview High School,WA-17408-5037,530030002978,021009,Robotics,unspecified,30,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Bainbridge High School,WA-18303-2395,530033000043,010152,Computer Programming,unspecified,46,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Bainbridge High School,WA-18303-2395,530033000043,010157,AP Computer Science A,unspecified,30,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Bainbridge High School,WA-18303-2395,530033000043,021009,Robotics,unspecified,25,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Woodward Middle School,WA-18303-4505,530033002452,010156,Computer Programming-Other Language,unspecified,110,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Homelink River,WA-06119-1875,530038002857,010011,Computer Science Principles,unspecified,15,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Homelink River,WA-06119-1875,530038002857,010153,Visual Basic (VB) Programming 10153,unspecified,2,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Homelink River,WA-06119-1875,530038002857,010205,Computer Gaming and Design,unspecified,5,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Bellevue High School,WA-17405-2701,530039000060,010152,Computer Programming,unspecified,137,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Bellevue High School,WA-17405-2701,530039000060,010157,AP Computer Science A,unspecified,79,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Highland Middle School,WA-17405-3166,530039000068,010156,Computer Programming-Other Language,unspecified,45,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Sammamish Senior High,WA-17405-3282,530039000085,010152,Computer Programming,unspecified,56,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Sammamish Senior High,WA-17405-3282,530039000085,010157,AP Computer Science A,unspecified,27,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
