school_name,state_school_id,nces_id,course_id,course_name,teacher_name_or_id,num_students_enrolled,num_students_female,num_students_black_or_african_american,num_students_hispanic_or_latino,num_students_american_indian_or_native_alaskan,num_students_native_hawaiian_or_pacific_islander,num_students_free_or_reduced_lunch,num_students_special_education_status,num_students_english_language_learner_status
Abbotsford Middle/Senior High,WI-0007-0040,550003000002,6492,Computer Programming,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Adams-Friendship High,WI-0014-0040,550006000005,6419,Computer Gaming and Design,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Adams-Friendship High,WI-0014-0040,550006000005,6660,Exploring Computer Science,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Advanced Learning Academy of Wisconsin,WI-0308-0810,550087002864,6660,Exploring Computer Science,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Albany High,WI-0063-0040,550012000014,6419,Computer Gaming and Design,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Alliance School of Milwaukee,WI-3619-0413,550960002603,6490,Computer Programming,unspecified,46,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,21,unspecified
Altoona High,WI-0112-0040,550027000026,6490,Computer Programming,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Amery High,WI-0119-0040,550030000030,6419,Computer Gaming and Design,unspecified,26,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Amery High,WI-0119-0040,550030000030,6665,Computer Science Principles,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Arcadia High,WI-0154-0040,550042000068,6490,Computer Programming,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
ARISE Virtual Academy,WI-2695-0860,550702002991,6467,AP Computer Science A,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
ARISE Virtual Academy,WI-2695-0860,550702002991,6480,C++ Programming,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
ARISE Virtual Academy,WI-2695-0860,550702002991,6490,Computer Programming,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Arrowhead High,WI-2450-0020,550618000678,6419,Computer Gaming and Design,unspecified,28,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Arrowhead High,WI-2450-0020,550618000678,6467,AP Computer Science A,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Arrowhead High,WI-2450-0020,550618000678,6665,Computer Science Principles,unspecified,69,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Athens High,WI-0196-0040,550057000087,6419,Computer Gaming and Design,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Badger High,WI-2884-0020,550765000884,6665,Computer Science Principles,unspecified,35,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Baldwin-Woodville High,WI-0231-0040,550072000094,6470,Computer Programming-Other Language,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Baldwin-Woodville High,WI-0231-0040,550072000094,6480,C++ Programming,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Baraboo High,WI-0280-0040,550081000103,6464,IB Computer Science,unspecified,70,21,unspecified,unspecified,unspecified,unspecified,31,unspecified,unspecified
Baraboo High,WI-0280-0040,550081000103,6467,AP Computer Science A,unspecified,34,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Baraboo High,WI-0280-0040,550081000103,6476,Java Programming,unspecified,20,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Barron High,WI-0308-0030,550087000114,6485,Visual Basic (VB) Programming,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Bay Port High,WI-2604-0020,550663000716,6419,Computer Gaming and Design,unspecified,55,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Bay Port High,WI-2604-0020,550663000716,6420,Computer Gaming and Design,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Bay Port High,WI-2604-0020,550663000716,6444,Computer Programming-Other,unspecified,23,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Bay Port High,WI-2604-0020,550663000716,6458,AP Computer Science Principles,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Bay Port High,WI-2604-0020,550663000716,6467,AP Computer Science A,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Bay Port High,WI-2604-0020,550663000716,6660,Exploring Computer Science,unspecified,37,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Belleville High,WI-0350-0040,550099000132,6444,Computer Programming-Other,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Berlin High,WI-0434-0040,550114000162,6660,Exploring Computer Science,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Berlin High,WI-0434-0040,550114000162,6665,Computer Science Principles,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Big Foot High,WI-6013-0020,551548001982,6490,Computer Programming,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Birchwood High,WI-0441-0040,550117000169,6664,Computer Science Principles,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Black River Falls High,WI-0476-0040,550126000175,6480,C++ Programming,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
