school_name,state_school_id,nces_id,course_id,course_name,num_students_enrolled,num_students_female,num_students_black_or_african_american,num_students_hispanic_or_latino,num_students_american_indian_or_native_alaskan,num_students_native_hawaiian_or_pacific_islander,num_students_free_or_reduced_lunch,num_students_special_education_status,num_students_english_language_learner_status
Blair-Taylor Middle/High,,550001602378,6485,Visual Basic (VB) Programming,0,0,0,0,0,0,0,0,0
Abbotsford Middle/Senior High,,550003000002,6492,Computer Programming,0,0,0,0,0,0,0,0,0
Chequamegon High,,550005802763,10109,Computer Math with Algebra,30,0,0,0,0,0,0,0,0
Adams-Friendship High,,550006000005,6660,Exploring Computer Science,35,0,0,0,0,0,0,0,0
Chetek-Weyerhaeuser Middle,,550006102806,6490,Computer Programming,0,0,0,0,0,0,0,0,0
Chetek-Weyerhaeuser High,,550006102807,3772,Robotics,0,0,0,0,0,0,0,0,0
Chetek-Weyerhaeuser High,,550006102807,6473,Java Programming,0,0,0,0,0,0,0,0,0
Chetek-Weyerhaeuser High,,550006102807,6490,Computer Programming,0,0,0,0,0,0,0,0,0
Veritas High,,550007402496,6446,Computer Programming-Other,38,0,0,35,0,0,38,0,0
Veritas High,,550007402496,6457,AP Computer Science Principles,26,0,0,25,0,0,0,0,0
Tenor High,,550007402637,6490,Computer Programming,36,0,0,0,0,0,36,0,0
Richfield Middle,,550008003078,6660,Exploring Computer Science,0,0,0,0,0,0,0,0,0
Albany High,,550012000014,6490,Computer Programming,0,0,0,0,0,0,0,0,0
Lincoln Jr/Sr High School,,550021000020,6420,Computer Gaming and Design,0,0,0,0,0,0,0,0,0
Almond-Bancroft High,,550024000024,6419,Computer Gaming and Design,0,0,0,0,0,0,0,0,0
Almond-Bancroft High,,550024000024,6490,Computer Programming,0,0,0,0,0,0,0,0,0
Altoona High,,550027000026,6490,Computer Programming,0,0,0,0,0,0,0,0,0
Altoona High,,550027000026,6491,Computer Programming,0,0,0,0,0,0,0,0,0
Amery High,,550030000030,6419,Computer Gaming and Design,0,0,0,0,0,0,0,0,0
Amherst High,,550033000033,6490,Computer Programming,0,0,0,0,0,0,0,0,0
Amherst High,,550033000033,6665,Computer Science Principles,0,0,0,0,0,0,0,0,0
Amherst Middle,,550033000034,3772,Robotics,89,37,0,0,0,0,24,0,0
East High,,550039000047,6490,Computer Programming,23,0,0,0,0,0,0,0,0
West High,,550039000048,6490,Computer Programming,24,0,0,0,0,0,0,0,0
North High,,550039000597,6490,Computer Programming,45,0,0,0,0,0,0,0,0
