school_name,state_school_id,nces_id,course_id,course_name,teacher_name_or_id,num_students_enrolled,num_students_female,num_students_black_or_african_american,num_students_hispanic_or_latino,num_students_american_indian_or_native_alaskan,num_students_native_hawaiian_or_pacific_islander,num_students_free_or_reduced_lunch,num_students_special_education_status,num_students_english_language_learner_status
Hedgesville High School,WV-0400000-04501,540006000019,2801,AP COMPUTER SCIENCE: A & AB,unspecified,4,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Hedgesville High School,WV-0400000-04501,540006000019,2832,Addl courses in Computer Science/Programming,unspecified,23,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Musselman High School,WV-0400000-04503,540006000027,2801,AP COMPUTER SCIENCE: A & AB,unspecified,5,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Musselman High School,WV-0400000-04503,540006000027,2832,Addl courses in Computer Science/Programming,unspecified,2,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Spring Mills High School,WV-0400000-04504,540006001487,2801,AP COMPUTER SCIENCE: A & AB,unspecified,7,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Spring Mills High School,WV-0400000-04504,540006001487,2832,Addl courses in Computer Science/Programming,unspecified,21,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Sherman High School,WV-0600000-06502,540009000051,2816,BASIC PROGRAMMING,unspecified,31,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Cabell Midland High School,WV-1200000-12550,540018000686,3030,AP COMPUTER SCIENCE (MATH CREDIT),unspecified,60,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Huntington High School,WV-1200000-12560,540018000860,2801,AP COMPUTER SCIENCE: A & AB,unspecified,2,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Valley High School,WV-2000000-20507,540030000209,2831,COMPUTER SCIENCE/PROGRAMMING,unspecified,11,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Greenbrier East High School,WV-2600000-26501,540039000230,2801,AP COMPUTER SCIENCE: A & AB,unspecified,5,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Oak Glen Middle School,WV-2900000-29303,540045001193,2832,Addl courses in Computer Science/Programming,unspecified,52,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Bridgeport High School,WV-3300000-33501,540051000284,2831,COMPUTER SCIENCE/PROGRAMMING,unspecified,22,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Bridgeport High School,WV-3300000-33501,540051000284,2832,Addl courses in Computer Science/Programming,unspecified,5,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Ravenswood High School,WV-3500000-35501,540054000336,2801,AP COMPUTER SCIENCE: A & AB,unspecified,1,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Ripley High School,WV-3500000-35502,540054000338,2801,AP COMPUTER SCIENCE: A & AB,unspecified,2,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
George Washington High School,WV-3900000-39506,540060000397,2801,AP COMPUTER SCIENCE: A & AB,unspecified,31,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
George Washington High School,WV-3900000-39506,540060000397,2831,COMPUTER SCIENCE/PROGRAMMING,unspecified,46,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
George Washington High School,WV-3900000-39506,540060000397,2833,Addl courses in Computer Science/Programming,unspecified,1,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
George Washington High School,WV-3900000-39506,540060000397,2856,OBJECT-ORIENTED LANGUAGES,unspecified,12,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Sissonville High School,WV-3900000-39510,540060000450,2833,Addl courses in Computer Science/Programming,unspecified,9,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
Sissonville High School,WV-3900000-39510,540060000450,2835,Addl courses in Computer Science/Programming,unspecified,11,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
South Charleston High School,WV-3900000-39511,540060000442,2831,COMPUTER SCIENCE/PROGRAMMING,unspecified,12,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
