school_name,state_school_id,nces_id,course_id,course_name,num_students_enrolled,num_students_female,num_students_black_or_african_american,num_students_hispanic_or_latino,num_students_american_indian_or_native_alaskan,num_students_native_hawaiian_or_pacific_islander,num_students_free_or_reduced_lunch,num_students_special_education_status,num_students_english_language_learner_status
Belington Middle School,,540003000002,2831,COMPUTER SCIENCE/PROGRAMMING,0,0,0,0,0,0,0,0,0
Philip Barbour High School Complex,,540003000008,1465,GAME DESIGN I,0,0,0,0,0,0,0,0,0
Hedgesville High School,,540006000019,1418,CYBER SECURITY (PLTW),0,0,0,0,0,0,0,0,0
Hedgesville High School,,540006000019,1456,"CODING, APP AND GAME DESIGN I",0,0,0,0,0,0,0,0,0
Hedgesville High School,,540006000019,1457,"CODING, APP, AND GAME DESIGN II",0,0,0,0,0,0,0,0,0
Hedgesville High School,,540006000019,2801,AP COMPUTER SCIENCE: A & AB,0,0,0,0,0,0,0,0,0
Hedgesville High School,,540006000019,2816,BASIC PROGRAMMING,0,0,0,0,0,0,0,0,0
Hedgesville High School,,540006000019,2832,Computer Science/Programming (Additional/Elective Course),0,0,0,0,0,0,0,0,0
Martinsburg High School,,540006000026,1456,"CODING, APP AND GAME DESIGN I",0,0,0,0,0,0,0,0,0
Martinsburg High School,,540006000026,1457,"CODING, APP, AND GAME DESIGN II",0,0,0,0,0,0,0,0,0
Martinsburg High School,,540006000026,1465,GAME DESIGN I,0,0,0,0,0,0,0,0,0
Musselman High School,,540006000027,1418,CYBER SECURITY (PLTW),0,0,0,0,0,0,0,0,0
Musselman High School,,540006000027,1456,"CODING, APP AND GAME DESIGN I",0,0,0,0,0,0,0,0,0
Musselman High School,,540006000027,1457,"CODING, APP, AND GAME DESIGN II",0,0,0,0,0,0,0,0,0
Musselman High School,,540006000027,2801,AP COMPUTER SCIENCE: A & AB,0,0,0,0,0,0,0,0,0
Musselman High School,,540006000027,2816,BASIC PROGRAMMING,0,0,0,0,0,0,0,0,0
Musselman High School,,540006000027,2832,Computer Science/Programming (Additional/Elective Course),0,0,0,0,0,0,0,0,0
Musselman High School,,540006000027,2856,OBJECT-ORIENTED LANGUAGES,0,0,0,0,0,0,0,0,0
Musselman High School,,540006000027,2857,Object-Oriented Languages (Additional/Elective Course),0,0,0,0,0,0,0,0,0
Spring Mills High School,,540006001487,1457,"CODING, APP, AND GAME DESIGN II",0,0,0,0,0,0,0,0,0
Spring Mills High School,,540006001487,1465,GAME DESIGN I,0,0,0,0,0,0,0,0,0
Spring Mills High School,,540006001487,2816,BASIC PROGRAMMING,0,0,0,0,0,0,0,0,0
Spring Mills High School,,540006001487,2832,Computer Science/Programming (Additional/Elective Course),0,0,0,0,0,0,0,0,0
Scott High School,,540009000049,1456,"CODING, APP AND GAME DESIGN I",0,0,0,0,0,0,0,0,0
Scott High School,,540009000049,1465,GAME DESIGN I,0,0,0,0,0,0,0,0,0
Scott High School,,540009000049,2831,COMPUTER SCIENCE/PROGRAMMING,0,0,0,0,0,0,0,0,0
Sherman High School,,540009000051,1465,GAME DESIGN I,0,0,0,0,0,0,0,0,0
Sherman High School,,540009000051,2816,BASIC PROGRAMMING,0,0,0,0,0,0,0,0,0
Braxton County High School,,540012000061,2831,COMPUTER SCIENCE/PROGRAMMING,0,0,0,0,0,0,0,0,0
Brooke Middle School,,540015001582,1918,GATEWAY COMPUTER SCIENCE 1,0,0,0,0,0,0,0,0,0
Brooke Middle School,,540015001582,1920,GATEWAY COMPUTER SCIENCE 2,0,0,0,0,0,0,0,0,0
Brooke High School,,540015000075,1408,INTRODUCTION TO COMPUTER SCIENCE (PLTW),0,0,0,0,0,0,0,0,0
Brooke High School,,540015000075,1418,CYBER SECURITY (PLTW),0,0,0,0,0,0,0,0,0
Brooke High School,,540015000075,2801,AP COMPUTER SCIENCE: A & AB,0,0,0,0,0,0,0,0,0
Brooke High School,,540015000075,2806,AP COMPUTER SCIENCE PRINCIPLES,0,0,0,0,0,0,0,0,0
Cabell Midland High School,,540018000686,1456,"CODING, APP AND GAME DESIGN I",0,0,0,0,0,0,0,0,0
Cabell Midland High School,,540018000686,1457,"CODING, APP, AND GAME DESIGN II",0,0,0,0,0,0,0,0,0
Cabell Midland High School,,540018000686,1465,GAME DESIGN I,0,0,0,0,0,0,0,0,0
Cabell Midland High School,,540018000686,2801,AP COMPUTER SCIENCE: A & AB,0,0,0,0,0,0,0,0,0
Cabell Midland High School,,540018000686,3030,AP COMPUTER SCIENCE A (MATH CREDIT),0,0,0,0,0,0,0,0,0
Huntington High School,,540018000860,1408,INTRODUCTION TO COMPUTER SCIENCE (PLTW),0,0,0,0,0,0,0,0,0
Huntington High School,,540018000860,1456,"CODING, APP AND GAME DESIGN I",0,0,0,0,0,0,0,0,0
Huntington High School,,540018000860,1457,"CODING, APP, AND GAME DESIGN II",0,0,0,0,0,0,0,0,0
Huntington High School,,540018000860,1465,GAME DESIGN I,0,0,0,0,0,0,0,0,0
Huntington High School,,540018000860,2801,AP COMPUTER SCIENCE: A & AB,0,0,0,0,0,0,0,0,0
Calhoun Middle/High School,,540021000142,1456,"CODING, APP AND GAME DESIGN I",0,0,0,0,0,0,0,0,0
Calhoun Middle/High School,,540021000142,1457,"CODING, APP, AND GAME DESIGN II",0,0,0,0,0,0,0,0,0
Calhoun Middle/High School,,540021000142,1465,GAME DESIGN I,0,0,0,0,0,0,0,0,0
Clay County High School,,540024000147,1465,GAME DESIGN I,0,0,0,0,0,0,0,0,0
Clay County High School,,540024000147,1466,GAME DESIGN II,0,0,0,0,0,0,0,0,0
Meadow Bridge High,,540030000190,2831,COMPUTER SCIENCE/PROGRAMMING,0,0,0,0,0,0,0,0,0
Oak Hill High,,540030000200,1456,"CODING, APP AND GAME DESIGN I",0,0,0,0,0,0,0,0,0
Gilmer County High School,,540033000210,1457,"CODING, APP, AND GAME DESIGN II",0,0,0,0,0,0,0,0,0
Gilmer County High School,,540033000210,2872,COMPUTER SCIENCE IN THE MODERN WORLD,0,0,0,0,0,0,0,0,0
Petersburg High School,,540036000220,2872,COMPUTER SCIENCE IN THE MODERN WORLD,0,0,0,0,0,0,0,0,0
Hampshire Senior High School,,540042000248,1465,GAME DESIGN I,0,0,0,0,0,0,0,0,0
Oak Glen Middle School,,540045001193,2832,Computer Science/Programming (Additional/Elective Course),0,0,0,0,0,0,0,0,0
East Hardy High School,,540048001279,2801,AP COMPUTER SCIENCE: A & AB,0,0,0,0,0,0,0,0,0
Moorefield High School,,540048000278,1465,GAME DESIGN I,0,0,0,0,0,0,0,0,0
Lincoln Middle School,,540051001453,1456,"CODING, APP AND GAME DESIGN I",0,0,0,0,0,0,0,0,0
Washington Irving Middle School,,540051000605,1456,"CODING, APP AND GAME DESIGN I",0,0,0,0,0,0,0,0,0
Washington Irving Middle School,,540051000605,1457,"CODING, APP, AND GAME DESIGN II",0,0,0,0,0,0,0,0,0
Mountaineer Middle School,,540051001231,1456,"CODING, APP AND GAME DESIGN I",0,0,0,0,0,0,0,0,0
Bridgeport High School,,540051000284,1456,"CODING, APP AND GAME DESIGN I",0,0,0,0,0,0,0,0,0
Bridgeport High School,,540051000284,1457,"CODING, APP, AND GAME DESIGN II",0,0,0,0,0,0,0,0,0
Bridgeport High School,,540051000284,1465,GAME DESIGN I,0,0,0,0,0,0,0,0,0
Bridgeport High School,,540051000284,2801,AP COMPUTER SCIENCE: A & AB,0,0,0,0,0,0,0,0,0
Bridgeport High School,,540051000284,2806,AP COMPUTER SCIENCE PRINCIPLES,0,0,0,0,0,0,0,0,0
Bridgeport High School,,540051000284,2831,COMPUTER SCIENCE/PROGRAMMING,0,0,0,0,0,0,0,0,0
Liberty High School,,540051000298,2816,BASIC PROGRAMMING,0,0,0,0,0,0,0,0,0
Lincoln High School,,540051001238,1465,GAME DESIGN I,0,0,0,0,0,0,0,0,0
Lincoln High School,,540051001238,2816,BASIC PROGRAMMING,0,0,0,0,0,0,0,0,0
South Harrison High School,,540051000314,1456,"CODING, APP AND GAME DESIGN I",0,0,0,0,0,0,0,0,0
South Harrison High School,,540051000314,1457,"CODING, APP, AND GAME DESIGN II",0,0,0,0,0,0,0,0,0
South Harrison High School,,540051000314,2806,AP COMPUTER SCIENCE PRINCIPLES,0,0,0,0,0,0,0,0,0
Robert C Byrd High School,,540051000320,1408,INTRODUCTION TO COMPUTER SCIENCE (PLTW),0,0,0,0,0,0,0,0,0
Robert C Byrd High School,,540051000320,1456,"CODING, APP AND GAME DESIGN I",0,0,0,0,0,0,0,0,0
Robert C Byrd High School,,540051000320,2801,AP COMPUTER SCIENCE: A & AB,0,0,0,0,0,0,0,0,0
Robert C Byrd High School,,540051000320,2816,BASIC PROGRAMMING,0,0,0,0,0,0,0,0,0
Academy Programs,,540051101471,1456,"CODING, APP AND GAME DESIGN I",0,0,0,0,0,0,0,0,0
Ravenswood High School,,540054000336,1408,INTRODUCTION TO COMPUTER SCIENCE (PLTW),0,0,0,0,0,0,0,0,0
Ravenswood High School,,540054000336,1456,"CODING, APP AND GAME DESIGN I",0,0,0,0,0,0,0,0,0
Ravenswood High School,,540054000336,1457,"CODING, APP, AND GAME DESIGN II",0,0,0,0,0,0,0,0,0
Ravenswood High School,,540054000336,1465,GAME DESIGN I,0,0,0,0,0,0,0,0,0
Ravenswood High School,,540054000336,3030,AP COMPUTER SCIENCE A (MATH CREDIT),0,0,0,0,0,0,0,0,0
Ripley High School,,540054000338,1456,"CODING, APP AND GAME DESIGN I",0,0,0,0,0,0,0,0,0
Ripley High School,,540054000338,1457,"CODING, APP, AND GAME DESIGN II",0,0,0,0,0,0,0,0,0
Ripley High School,,540054000338,1465,GAME DESIGN I,0,0,0,0,0,0,0,0,0
Ripley High School,,540054000338,1466,GAME DESIGN II,0,0,0,0,0,0,0,0,0
Ripley High School,,540054000338,2801,AP COMPUTER SCIENCE: A & AB,0,0,0,0,0,0,0,0,0
Ripley High School,,540054000338,2806,AP COMPUTER SCIENCE PRINCIPLES,0,0,0,0,0,0,0,0,0
Jefferson High School,,540057000344,1456,"CODING, APP AND GAME DESIGN I",0,0,0,0,0,0,0,0,0
Jefferson High School,,540057000344,1457,"CODING, APP, AND GAME DESIGN II",0,0,0,0,0,0,0,0,0
Jefferson High School,,540057000344,2801,AP COMPUTER SCIENCE: A & AB,0,0,0,0,0,0,0,0,0
Washington High School,,540057001464,1456,"CODING, APP AND GAME DESIGN I",0,0,0,0,0,0,0,0,0
Washington High School,,540057001464,1457,"CODING, APP, AND GAME DESIGN II",0,0,0,0,0,0,0,0,0
Washington High School,,540057001464,2801,AP COMPUTER SCIENCE: A & AB,0,0,0,0,0,0,0,0,0
Washington High School,,540057001464,2806,AP COMPUTER SCIENCE PRINCIPLES,0,0,0,0,0,0,0,0,0
George Washington High School,,540060000397,1465,GAME DESIGN I,0,0,0,0,0,0,0,0,0
George Washington High School,,540060000397,2801,AP COMPUTER SCIENCE: A & AB,0,0,0,0,0,0,0,0,0
George Washington High School,,540060000397,2806,AP COMPUTER SCIENCE PRINCIPLES,0,0,0,0,0,0,0,0,0
Herbert Hoover High School,,540060000403,2832,Computer Science/Programming (Additional/Elective Course),0,0,0,0,0,0,0,0,0
Nitro High School,,540060000426,1408,INTRODUCTION TO COMPUTER SCIENCE (PLTW),0,0,0,0,0,0,0,0,0
Nitro High School,,540060000426,1456,"CODING, APP AND GAME DESIGN I",0,0,0,0,0,0,0,0,0
Nitro High School,,540060000426,1457,"CODING, APP, AND GAME DESIGN II",0,0,0,0,0,0,0,0,0
Nitro High School,,540060000426,1465,GAME DESIGN I,0,0,0,0,0,0,0,0,0
Nitro High School,,540060000426,2801,AP COMPUTER SCIENCE: A & AB,0,0,0,0,0,0,0,0,0
Nitro High School,,540060000426,2806,AP COMPUTER SCIENCE PRINCIPLES,0,0,0,0,0,0,0,0,0
Saint Albans High School,,540060000444,1456,"CODING, APP AND GAME DESIGN I",0,0,0,0,0,0,0,0,0
Saint Albans High School,,540060000444,1457,"CODING, APP, AND GAME DESIGN II",0,0,0,0,0,0,0,0,0
Saint Albans High School,,540060000444,2816,BASIC PROGRAMMING,0,0,0,0,0,0,0,0,0
Saint Albans High School,,540060000444,2832,Computer Science/Programming (Additional/Elective Course),0,0,0,0,0,0,0,0,0
Saint Albans High School,,540060000444,2833,Computer Science/Programming (Additional/Elective Course),0,0,0,0,0,0,0,0,0
Sissonville High School,,540060000450,1408,INTRODUCTION TO COMPUTER SCIENCE (PLTW),0,0,0,0,0,0,0,0,0
Sissonville High School,,540060000450,1465,GAME DESIGN I,0,0,0,0,0,0,0,0,0
Sissonville High School,,540060000450,1466,GAME DESIGN II,0,0,0,0,0,0,0,0,0
Sissonville High School,,540060000450,2806,AP COMPUTER SCIENCE PRINCIPLES,0,0,0,0,0,0,0,0,0
South Charleston High School,,540060000442,1456,"CODING, APP AND GAME DESIGN I",0,0,0,0,0,0,0,0,0
South Charleston High School,,540060000442,1457,"CODING, APP, AND GAME DESIGN II",0,0,0,0,0,0,0,0,0
South Charleston High School,,540060000442,2831,COMPUTER SCIENCE/PROGRAMMING,0,0,0,0,0,0,0,0,0
