Key,Name,Concepts,YoutubeCode,Download,Locale
maze_intro,Maze Intro,,bQilo5ecSX4,http://videos.code.org/new/2a-HoC-intro.mp4,en-US
artist_intro,Artist Intro,,ws8rmHcqXeM,http://videos.code.org/new/5-artist-intro.mp4,en-US
farmer_intro,Farmer Intro,,G6N67RXQ9fk,http://videos.code.org/new/9-farmer-intro.mp4,en-US
loop_times,Repeat times block,loop_times,mgooqyWMTxk,http://videos.code.org/new/2b-HoC-zuck-repeat-loop.mp4,en-US
loop_until,Repeat until block,loop_until,G2hdlhDYICw,http://videos.code.org/new/2c-HoC-Bosh-Repeat-Until.mp4,en-US
if,If block,if,m2Ux2PnJe6E,http://videos.code.org/new/2d-HoC-Bill+Gates-IF-STATEMENTS.mp4,en-US
if_else,If/else block,if_else,JtL7w6ja5iI,http://videos.code.org/new/2e-HoC-saloni-ifelse.mp4,en-US
if_else_scrat,If/else block,if_else_scrat,QM8fAy47kHc,http://videos.code.org/new/saloni-ifelse-scrat.mp4,en-US
function,Functions,function,Esp1kkKFpg0,https://videos.code.org/levelbuilder/stage_13-farmer2-functions-mp4.mp4,en-US
loop_while,While block,loop_while,F8H-41bpJ6E,http://videos.code.org/new/13_farmer2-while-block.mp4,en-US
loop_for,Counter block,loop_for,gxc9RCMvky0,http://videos.code.org/new/11-artist3-counter-loops.mp4,en-US
parameters,Functions with parameters,parameters,w6T7nynqRpw,http://videos.code.org/new/15-artist4-function-w-parameters.mp4,en-US
hoc_wrapup,HoC wrapup,,98Wft30gUQE,http://videos.code.org/new/2f-HoC-wrap-up-final.mp4,en-US
flappy_intro,Flappy Intro,,VQ4lo6Huylc,http://videos.code.org/new/Flappy-bird-tutorial.mp4,en-US
Unplug1,,,HsXaVV6fFDY,http://videos.code.org/new/1-whatisCS-unpluggedactivity.mp4,en-US
Unplug2,,,injJWiSA0pw,http://videos.code.org/new/3-computational-thinking-activity.mp4,en-US
Unplug3,,,4e3fi_ls8CA,http://videos.code.org/new/4-graphpaperprog-activity.mp4,en-US
Unplug4,,,gW_aPXjgBTc,http://videos.code.org/new/6-Algorithms-activity.mp4,en-US
Unplug5,,,NAViNTHS3LU,http://videos.code.org/new/8-functions-activity.mp4,en-US
Unplug6,,,yr6g0AWE7yw,http://videos.code.org/new/10-conditionals-activity.mp4,en-US
Unplug7,,,hx0tBso08aA,http://videos.code.org/new/12-songwriting-activity.mp4,en-US
Unplug8,,,FGpzpYD9ZVs,http://videos.code.org/new/14-abstraction-activity.mp4,en-US
Unplug9,,,FFpvtooUrzg,http://videos.code.org/new/16-relay-programming-activity.mp4,en-US
Unplug10,,,Zs26JgnWbTE,http://videos.code.org/new/18-internet-activity.mp4,en-US
Unplug11,,,Rbi7keldjZY,http://videos.code.org/new/20-wrapup-activity.mp4,en-US
C1_happy_maps_unplugged,,,hrnhiKAQ1_k,http://videos.code.org/2014/C1-happy-maps-unplugged.mp4,en-US
C1_moveitmoveit_unplugged,,,VGi2bnRFqzM,http://videos.code.org/2014/C1-moveitmoveit-unplugged.mp4,en-US
C1_bigevent_unplugged,,,XoApWo-IrI4,https://s3.amazonaws.com/videos.code.org/csf/the-big-event.mp4,en-US
C1_getting_loopy,,,JoKTqHCni0M,http://videos.code.org/2014/C1-getting-loopy.mp4,en-US
C1_pair_programming,,,vgkahOzFH2Q,http://videos.code.org/2014/C1-pair-programming.mp4,en-US
C1_maze_intro_sequencing,,,7gvqTj4V9o0,http://videos.code.org/2014/C1-maze-intro-sequencing.mp4,en-US
C1_maze_debugging,,,OgaACt4owHc,http://videos.code.org/2014/C1-maze-debugging.mp4,en-US
C1_bee_level_intro,,,Zy-3MzjbgKg,http://videos.code.org/2014/C1-bee-level-intro.mp4,en-US
C1_artist_intro,,,wU9tJc-GigA,http://videos.code.org/2014/C1-artist-intro.mp4,en-US
C1_spelling_bee_intro,,,Zw9dujVZoNE,http://videos.code.org/2014/C1-spelling-bee-intro.mp4,en-US
C1_zuck_repeat_loop,,,Xnv8qkbAYTw,http://videos.code.org/2014/C1-zuck-repeat-loop.mp4,en-US
C1_bee_loops,,,sMcUY5sywQM,http://videos.code.org/2014/C1-bee-loops.mp4,en-US
C1_maze_loops,,,tObb9pgtHNA,http://videos.code.org/2014/C1-maze-loops.mp4,en-US
C1_playlab_storytelling,,,UiqxwSJgrsg,http://videos.code.org/2014/C1-playlab-storytelling.mp4,en-US
C1_planting_seed,,,FHsuEh1kJ18,http://videos.code.org/2014/C1-planting-seed.mp4,en-US
C1_building_foundation,,,eZqKqI8AvnA,http://videos.code.org/2014/C1-building-foundation.mp4,en-US
C1_going_places_safely,,,vUO7t92k4Xg,http://videos.code.org/2014/C1-going-places-safely.mp4,en-US
C2_maze_intro,,,h7NtxHTrqgU,http://videos.code.org/2014/C2-maze-intro.mp4,en-US
C2_artist_intro,,,MUavAHn-QUg,http://videos.code.org/2014/C2-artist-intro.mp4,en-US
C2_zuck_repeat_loop,,,mgooqyWMTxk,http://videos.code.org/2015/course2/2b-HoC-zuck-repeat-loop-hd.mp4,en-US
C2_bee_conditionals,,,g8BQLKnrj2U,http://videos.code.org/2014/C2-bee-conditionals.mp4,en-US
C2_playlab_createstory,,,GVl6cLxMmTs,http://videos.code.org/2014/C2-playlab-createstory.mp4,en-US
C2_artist_loops,,,SRsuaRlsdl4,http://videos.code.org/2014/C2-artist-loops.mp4,en-US
