script_id,level_id,attempts
18,5736,8
18,2780,1
18,2779,12
18,2778,2
18,2777,3
18,2776,2
18,2775,5
18,2774,2
18,1461,4
18,1460,6
18,1459,5
18,1458,13
18,1457,6
18,1456,8
18,1455,6
18,1454,12
18,1453,3
18,1452,2
18,1451,2
18,1450,2
18,1449,4
18,1395,7
18,1370,2
18,1369,3
18,1368,2
18,1367,5
18,1366,7
18,1365,1
18,1364,2
18,1363,4
18,1362,4
18,1361,2
18,1360,1
18,1358,2
18,1354,2
18,1353,3
18,1352,3
18,1351,3
18,1350,4
18,1347,1
18,1341,4
18,1340,3
18,1336,2
18,1335,2
18,1334,4
18,1333,2
18,1277,2
18,1266,1
18,1265,1
18,1264,1
18,1263,1
18,1261,1
18,1260,1
18,1259,1
18,1258,1
18,1250,2
18,1238,2
18,1237,3
18,1113,3
18,1112,10
18,1111,10
18,1110,10
18,1109,8
18,1108,8
18,1091,5
18,1090,2
18,1089,3
18,1088,2
18,1087,3
18,1086,6
18,1085,2
18,1084,4
18,1083,3
18,1082,2
18,1081,4
18,1076,3
18,1075,2
18,1074,5
18,1073,22
18,1072,14
18,1071,11
18,1070,9
18,1068,1
18,1067,4
18,1011,4
18,994,11
18,993,5
18,992,8
18,991,3
18,990,3
18,988,6
18,987,9
18,986,11
18,985,4
18,984,2
18,983,6
18,981,3
18,980,3
18,979,3
18,978,2
18,977,3
18,975,6
18,974,3
18,973,14
18,948,3
18,946,4
18,944,2
18,943,4
18,942,6
18,941,3
18,940,13
18,939,5
18,938,3
18,936,4
18,935,3
18,934,4
18,933,4
18,932,6
18,931,4
18,929,19
18,928,11
18,927,11
18,925,5
18,924,6
18,923,8
18,922,4
18,912,2
18,910,4
18,909,3
18,902,3
18,901,1
18,899,1
18,898,3
18,897,2
18,869,3
18,868,4
18,867,10
18,716,4
18,708,9
18,707,3
18,705,10
18,704,2
18,702,1
18,701,1
18,699,6
18,698,4
18,697,5
18,696,3
18,695,1
18,659,3
18,341,2
18,340,7
18,339,4
18,338,2
18,337,2
18,336,2
18,335,3
18,334,2
18,333,2
18,332,2
19,2801,5
19,2800,5
19,2799,11
19,2798,2
19,2797,6
19,2796,3
19,2795,8
19,2794,2
19,2793,2
19,2792,3
19,2791,6
19,2790,6
19,2789,10
19,2788,7
19,2787,3
19,2786,7
19,2785,3
19,2784,7
19,2783,4
19,2781,11
19,1475,4
19,1474,3
19,1473,2
19,1472,3
19,1471,3
19,1470,4
19,1469,2
19,1468,3
19,1467,1
19,1466,3
19,1464,3
19,1463,1
19,1462,3
19,1448,4
19,1447,7
19,1446,3
19,1445,12
19,1444,3
19,1443,11
19,1442,15
19,1441,2
19,1440,5
19,1439,1
19,1438,6
19,1437,5
19,1436,10
19,1435,3
19,1395,4
19,1394,9
19,1383,1
19,1382,2
19,1381,2
19,1380,3
19,1379,4
19,1378,1
19,1377,2
19,1376,1
19,1375,2
19,1374,3
19,1373,3
19,1372,1
19,1371,1
19,1297,1
19,1273,1
19,1272,1
19,1271,1
19,1270,1
19,1269,1
19,1268,1
19,1267,1
19,1251,2
19,1247,1
19,1246,1
19,1245,3
19,1244,4
19,1242,2
19,1240,2
19,1239,3
19,1198,2
19,1197,3
19,1196,2
19,1195,5
19,1194,2
19,1193,1
19,1192,2
19,1191,5
19,1190,3
19,1189,1
19,1188,1
19,1187,5
19,1186,3
19,1185,4
19,1183,2
19,1181,4
19,1180,3
19,1179,3
19,1178,2
19,1177,1
19,1176,6
19,1175,3
19,1174,4
19,1173,3
19,1172,4
19,1171,11
19,1170,3
19,1169,2
19,1168,3
19,1167,3
19,1166,3
19,1165,2
19,1164,4
19,1161,15
19,1160,16
19,1159,16
19,1158,12
19,1157,2
19,1156,5
19,1155,8
19,1154,3
19,1135,4
19,1102,13
19,1101,3
19,1100,15
19,1099,11
19,1098,6
19,1096,10
19,1095,5
19,1094,10
19,1093,10
19,1092,8
19,1064,1
19,1020,5
19,1019,10
19,1018,20
19,1016,20
19,1015,26
19,1014,6
19,1013,5
19,1012,7
19,1011,3
19,1010,10
19,1009,3
19,1008,6
19,1000,1
19,997,16
19,995,2
19,989,2
19,960,6
19,959,15
19,958,2
19,957,3
19,952,11
19,951,13
19,950,10
19,949,25
19,712,4
19,711,1
19,710,4
19,709,3
19,706,7
19,687,5
19,686,6
19,685,1
19,684,9
19,683,6
19,682,7
19,676,2
19,612,2
19,343,1
19,322,1
19,319,3
19,318,2
19,317,1
19,316,1
19,315,1
19,314,1
19,313,1
23,5073,1
23,5064,1
23,5063,8
23,5062,5
23,4283,17
23,4193,6
23,4192,4
23,4189,12
23,4188,22
23,4186,15
23,4185,14
23,4184,12
23,4183,10
23,4112,2
23,4111,1
23,4109,1
23,4108,9
23,4058,5
23,4057,2
23,4056,2
23,4041,6
23,4040,5
23,4039,21
23,4038,10
23,4000,8
23,3999,4
23,3968,1
23,3967,3
23,3966,11
23,3959,1
23,3953,2
23,3952,1
23,3676,9
23,3675,1
23,3468,17
23,3442,8
23,3441,13
23,3440,8
23,3439,8
23,3372,2
23,3371,2
23,3365,2
23,3364,10
23,3320,2
23,3319,2
23,3318,2
23,3301,25
23,3269,2
23,2090,2
23,2083,15
23,2082,3
23,2081,2
23,2078,11
23,2075,1
23,2074,3
23,2071,5
23,2070,11
23,2069,2
23,2068,3
23,2067,2
23,2066,1
23,2065,5
23,2064,7
23,2063,2
23,2062,7
23,2061,10
23,2060,8
23,2059,15
23,2058,10
23,2057,3
23,2046,2
23,2044,2
23,2039,8
23,2038,2
23,2037,20
23,2036,4
23,2035,11
23,2034,2
23,2033,1
23,2032,3
23,2029,2
23,2028,4
23,2027,3
23,2026,2
23,2023,2
23,2022,4
23,2021,7
23,2020,14
23,2019,4
23,2018,6
23,2016,2
23,1929,2
23,1881,2
23,1880,3
23,1879,1
23,1878,2
23,1877,1
23,1876,1
23,1875,1
23,1874,5
23,1873,2
23,1872,2
23,1787,1
23,1784,1
23,1782,3
23,1780,3
23,1774,2
23,1773,5
23,1772,2
23,1770,2
23,1768,1
23,1751,1
23,1750,1
23,1748,2
23,1746,1
23,1745,1
23,1741,6
23,1740,1
23,1739,4
23,1738,3
23,1727,2
23,1726,10
23,1725,3
23,1717,9
23,1716,2
23,1715,3
23,1714,5
23,1713,13
23,1712,2
23,1711,3
23,1710,4
23,1709,6
23,1678,1
23,1677,1
23,1676,1
23,1675,1
23,1674,1
23,1673,1
23,1664,2
23,1663,3
23,1657,14
23,1656,21
23,1654,6
23,1652,12
23,1639,5
23,1618,1
23,1617,1
23,1616,5
23,1615,15
23,1614,3
23,1613,12
23,1600,2
23,1599,7
23,1598,3
23,1596,7
23,1594,4
23,1593,27
23,1592,4
23,1591,3
23,1589,6
23,1582,3
23,1578,5
23,1577,6
23,1576,1
23,1573,6
23,1571,5
23,1547,2
