Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings
M,0.46,0.37,0.10,0.51,0.22,0.10,0.15,15
M,0.35,0.27,0.09,0.23,0.10,0.05,0.07,7
F,0.53,0.42,0.14,0.68,0.26,0.14,0.21,9
M,0.44,0.37,0.13,0.52,0.22,0.11,0.16,10
I,0.33,0.26,0.08,0.21,0.09,0.04,0.06,7
I,0.43,0.30,0.10,0.35,0.14,0.08,0.12,8
F,0.53,0.42,0.15,0.78,0.24,0.14,0.33,20
F,0.55,0.43,0.13,0.77,0.29,0.15,0.26,16
M,0.48,0.37,0.13,0.51,0.22,0.11,0.17,9
F,0.55,0.44,0.15,0.89,0.31,0.15,0.32,19
F,0.53,0.38,0.14,0.61,0.19,0.15,0.21,14
M,0.43,0.35,0.11,0.41,0.17,0.08,0.14,10
M,0.49,0.38,0.14,0.54,0.22,0.10,0.19,11
F,0.54,0.41,0.15,0.68,0.27,0.17,0.21,10
F,0.47,0.36,0.10,0.48,0.17,0.08,0.19,10
M,0.50,0.40,0.13,0.66,0.26,0.13,0.24,12
I,0.36,0.28,0.09,0.29,0.10,0.04,0.12,7
F,0.44,0.34,0.10,0.45,0.19,0.09,0.13,10
M,0.37,0.30,0.08,0.26,0.10,0.04,0.10,7
M,0.45,0.32,0.10,0.38,0.17,0.08,0.12,9
M,0.36,0.28,0.10,0.25,0.10,0.06,0.08,11
I,0.38,0.28,0.10,0.23,0.08,0.05,0.09,10
F,0.57,0.44,0.16,0.94,0.43,0.21,0.27,12
F,0.55,0.42,0.14,0.76,0.32,0.21,0.20,9
F,0.62,0.48,0.17,1.16,0.51,0.30,0.31,10
F,0.56,0.44,0.14,0.93,0.38,0.19,0.30,11
F,0.58,0.45,0.19,1.00,0.39,0.27,0.29,11
M,0.59,0.45,0.14,0.93,0.36,0.23,0.28,12
M,0.61,0.48,0.18,0.94,0.39,0.22,0.30,15
M,0.58,0.43,0.14,0.86,0.39,0.23,0.20,11
M,0.58,0.47,0.17,1.00,0.39,0.24,0.33,10
F,0.68,0.56,0.17,1.64,0.61,0.28,0.46,15
M,0.67,0.53,0.17,1.34,0.55,0.36,0.35,18
F,0.68,0.55,0.18,1.80,0.82,0.39,0.46,19
F,0.71,0.55,0.20,1.71,0.63,0.41,0.49,13
M,0.47,0.36,0.11,0.48,0.23,0.12,0.13,8
F,0.54,0.48,0.16,1.22,0.53,0.31,0.34,16
F,0.45,0.36,0.11,0.52,0.24,0.12,0.15,8
F,0.58,0.45,0.14,0.88,0.38,0.20,0.26,11
M,0.36,0.29,0.09,0.33,0.13,0.09,0.09,9
F,0.45,0.34,0.11,0.43,0.19,0.09,0.12,9
F,0.55,0.43,0.14,0.85,0.36,0.20,0.27,14
I,0.24,0.18,0.05,0.07,0.03,0.02,0.02,5
I,0.21,0.15,0.06,0.04,0.03,0.02,0.01,5
I,0.21,0.15,0.05,0.04,0.02,0.01,0.02,4
I,0.39,0.30,0.10,0.20,0.09,0.05,0.08,7
M,0.47,0.37,0.12,0.58,0.29,0.23,0.14,9
F,0.46,0.38,0.12,0.46,0.18,0.11,0.15,7
I,0.33,0.25,0.07,0.16,0.08,0.03,0.05,6
F,0.53,0.43,0.16,0.84,0.35,0.21,0.25,9
I,0.52,0.41,0.12,0.60,0.24,0.11,0.19,8
M,0.40,0.32,0.10,0.30,0.13,0.06,0.10,7
M,0.49,0.36,0.13,0.54,0.26,0.10,0.16,10
F,0.47,0.36,0.12,0.48,0.21,0.11,0.15,10
M,0.41,0.31,0.10,0.39,0.17,0.09,0.11,7
F,0.50,0.40,0.14,0.66,0.26,0.18,0.22,8
M,0.45,0.35,0.12,0.44,0.19,0.10,0.14,8
M,0.47,0.39,0.14,0.59,0.28,0.12,0.17,8
I,0.25,0.19,0.06,0.09,0.04,0.01,0.03,4
F,0.51,0.40,0.13,0.58,0.25,0.13,0.18,7
M,0.45,0.35,0.11,0.41,0.18,0.11,0.14,7
M,0.51,0.41,0.11,0.63,0.31,0.16,0.18,9
F,0.53,0.41,0.13,0.70,0.30,0.19,0.20,10
M,0.43,0.33,0.10,0.38,0.17,0.08,0.10,7
M,0.52,0.40,0.12,0.58,0.23,0.13,0.19,8
M,0.48,0.36,0.12,0.48,0.23,0.10,0.14,8
F,0.57,0.44,0.16,0.92,0.35,0.19,0.32,12
F,0.60,0.50,0.19,1.29,0.42,0.22,0.49,13
F,0.48,0.39,0.12,0.53,0.21,0.12,0.17,10
I,0.31,0.24,0.07,0.15,0.06,0.04,0.05,6
M,0.56,0.43,0.13,0.77,0.26,0.17,0.28,13
F,0.40,0.32,0.11,0.35,0.14,0.10,0.10,8
F,0.60,0.48,0.17,1.25,0.48,0.23,0.43,20
M,0.57,0.48,0.18,1.19,0.47,0.26,0.38,11
F,0.61,0.45,0.20,1.10,0.48,0.29,0.32,13
F,0.60,0.48,0.15,1.01,0.44,0.22,0.28,15
M,0.60,0.48,0.14,0.94,0.36,0.19,0.32,9
F,0.60,0.47,0.15,0.92,0.36,0.19,0.31,10
F,0.56,0.43,0.14,0.79,0.28,0.16,0.29,11
F,0.62,0.48,0.17,1.10,0.47,0.24,0.35,14
F,0.58,0.45,0.14,0.94,0.38,0.25,0.29,9
M,0.62,0.51,0.18,1.62,0.51,0.19,0.68,12
F,0.52,0.43,0.17,0.99,0.40,0.23,0.32,16
M,0.60,0.48,0.16,1.32,0.41,0.23,0.58,21
M,0.58,0.45,0.14,1.01,0.38,0.22,0.36,14
F,0.57,0.47,0.18,1.30,0.34,0.22,0.44,12
M,0.63,0.47,0.14,1.20,0.48,0.21,0.40,13
M,0.56,0.44,0.16,0.86,0.33,0.21,0.26,10
F,0.46,0.36,0.13,0.52,0.22,0.11,0.17,9
F,0.58,0.45,0.16,0.98,0.31,0.23,0.33,12
M,0.57,0.43,0.14,0.81,0.34,0.17,0.26,15
M,0.56,0.44,0.15,0.76,0.31,0.15,0.26,12
M,0.60,0.47,0.18,1.12,0.40,0.25,0.39,13
F,0.63,0.50,0.17,1.26,0.51,0.32,0.39,10
M,0.70,0.56,0.19,1.49,0.59,0.34,0.49,15
M,0.67,0.54,0.20,1.61,0.58,0.39,0.48,14
M,0.54,0.44,0.15,0.73,0.27,0.14,0.25,9
M,0.47,0.38,0.13,0.52,0.21,0.13,0.15,8
M,0.47,0.37,0.13,0.52,0.20,0.13,0.17,7
F,0.48,0.38,0.13,0.58,0.28,0.09,0.16,10
I,0.36,0.27,0.10,0.23,0.11,0.05,0.08,7
M,0.55,0.44,0.15,0.84,0.33,0.19,0.26,15
M,0.53,0.44,0.16,0.88,0.32,0.16,0.34,15
M,0.53,0.42,0.14,0.72,0.31,0.17,0.21,10
M,0.61,0.47,0.16,1.17,0.50,0.24,0.35,12
F,0.52,0.41,0.16,0.73,0.29,0.18,0.24,12
F,0.55,0.43,0.17,0.80,0.29,0.18,0.28,11
F,0.50,0.40,0.13,0.67,0.26,0.13,0.22,10
F,0.51,0.39,0.14,0.63,0.23,0.18,0.20,9
F,0.44,0.40,0.11,0.36,0.14,0.10,0.13,9
M,0.50,0.40,0.13,0.54,0.24,0.13,0.16,9
M,0.47,0.36,0.11,0.43,0.17,0.11,0.18,9
I,0.44,0.32,0.08,0.33,0.15,0.06,0.11,9
M,0.43,0.35,0.11,0.39,0.13,0.06,0.17,9
F,0.55,0.41,0.13,0.69,0.30,0.15,0.21,11
F,0.53,0.42,0.12,0.59,0.23,0.16,0.18,11
F,0.49,0.38,0.14,0.61,0.26,0.10,0.22,11
M,0.44,0.34,0.11,0.40,0.13,0.10,0.17,10
F,0.56,0.43,0.15,0.88,0.35,0.17,0.31,9
M,0.41,0.31,0.09,0.26,0.11,0.06,0.09,8
F,0.47,0.37,0.11,0.42,0.16,0.10,0.14,9
I,0.39,0.30,0.09,0.25,0.10,0.06,0.09,7
F,0.52,0.43,0.14,0.77,0.30,0.17,0.26,14
M,0.37,0.27,0.08,0.21,0.09,0.05,0.07,6
I,0.36,0.28,0.08,0.18,0.08,0.05,0.07,6
I,0.27,0.20,0.06,0.07,0.03,0.02,0.03,5
I,0.38,0.28,0.09,0.24,0.11,0.05,0.07,6
I,0.39,0.29,0.09,0.25,0.11,0.06,0.08,8
M,0.70,0.54,0.16,1.73,0.63,0.26,0.54,19
M,0.71,0.54,0.17,1.96,0.77,0.26,0.78,18
M,0.60,0.48,0.17,1.26,0.48,0.28,0.41,17
F,0.44,0.35,0.13,0.40,0.18,0.06,0.13,9
F,0.33,0.26,0.09,0.19,0.09,0.04,0.06,7
I,0.35,0.26,0.10,0.21,0.09,0.06,0.07,7
I,0.27,0.20,0.07,0.10,0.04,0.02,0.03,7
F,0.43,0.33,0.12,0.41,0.16,0.08,0.14,8
F,0.31,0.23,0.08,0.16,0.07,0.03,0.05,7
M,0.35,0.26,0.09,0.20,0.09,0.03,0.06,9
F,0.41,0.33,0.11,0.36,0.15,0.06,0.12,9
M,0.38,0.29,0.10,0.25,0.10,0.06,0.09,9
F,0.57,0.45,0.16,0.83,0.34,0.21,0.25,10
F,0.55,0.45,0.15,0.74,0.30,0.14,0.27,10
M,0.65,0.52,0.19,1.34,0.52,0.31,0.45,16
M,0.56,0.46,0.16,0.80,0.34,0.19,0.24,11
M,0.48,0.38,0.13,0.52,0.21,0.12,0.17,10
F,0.49,0.38,0.13,0.55,0.25,0.11,0.17,10
M,0.46,0.35,0.12,0.52,0.22,0.11,0.16,10
I,0.28,0.21,0.08,0.13,0.05,0.04,0.04,9
I,0.18,0.13,0.06,0.03,0.01,0.01,0.01,5
I,0.17,0.13,0.10,0.03,0.01,0.01,0.01,4
M,0.59,0.48,0.15,1.05,0.44,0.26,0.33,15
F,0.61,0.50,0.19,1.12,0.47,0.26,0.34,9
F,0.64,0.52,0.19,1.37,0.51,0.31,0.45,10
