mpg,cylinders,displacement,horsepower,weight,acceleration,model year,car name
18,8,307,130,3504,12,70,Chevrolet Chevelle Malibu
15,8,350,165,3693,11.5,70,Buick Skylark 320
18,8,318,150,3436,11,70,Plymouth Satellite
16,8,304,150,3433,12,70,Amc Rebel Sst
17,8,302,140,3449,10.5,70,Ford Torino
15,8,429,198,4341,10,70,Ford Galaxie 500
14,8,454,220,4354,9,70,Chevrolet Impala
14,8,440,215,4312,8.5,70,Plymouth Fury Iii
14,8,455,225,4425,10,70,Pontiac Catalina
15,8,390,190,3850,8.5,70,Amc Ambassador Dpl
15,8,383,170,3563,10,70,Dodge Challenger Se
14,8,340,160,3609,8,70,Plymouth 'Cuda 340
15,8,400,150,3761,9.5,70,Chevrolet Monte Carlo
14,8,455,225,3086,10,70,Buick Estate Wagon (Sw)
24,4,113,95,2372,15,70,Toyota Corona Mark Ii
22,6,198,95,2833,15.5,70,Plymouth Duster
18,6,199,97,2774,15.5,70,Amc Hornet
21,6,200,85,2587,16,70,Ford Maverick
27,4,97,88,2130,14.5,70,Datsun Pl510
26,4,97,46,1835,20.5,70,Volkswagen 1131 Deluxe Sedan
25,4,110,87,2672,17.5,70,Peugeot 504
24,4,107,90,2430,14.5,70,Audi 100 Ls
25,4,104,95,2375,17.5,70,Saab 99E
26,4,121,113,2234,12.5,70,Bmw 2002
21,6,199,90,2648,15,70,Amc Gremlin
10,8,360,215,4615,14,70,Ford F250
10,8,307,200,4376,15,70,Chevy C20
11,8,318,210,4382,13.5,70,Dodge D200
9,8,304,193,4732,18.5,70,Hi 1200D
27,4,97,88,2130,14.5,71,Datsun Pl510
28,4,140,90,2264,15.5,71,Chevrolet Vega 2300
25,4,113,95,2228,14,71,Toyota Corona
19,6,232,100,2634,13,71,Amc Gremlin
16,6,225,105,3439,15.5,71,Plymouth Satellite Custom
17,6,250,100,3329,15.5,71,Chevrolet Chevelle Malibu
19,6,250,88,3302,15.5,71,Ford Torino 500
18,6,232,100,3288,15.5,71,Amc Matador
14,8,350,165,4209,12,71,Chevrolet Impala
14,8,400,175,4464,11.5,71,Pontiac Catalina Brougham
14,8,351,153,4154,13.5,71,Ford Galaxie 500
14,8,318,150,4096,13,71,Plymouth Fury Iii
12,8,383,180,4955,11.5,71,Dodge Monaco (Sw)
13,8,400,170,4746,12,71,Ford Country Squire (Sw)
13,8,400,175,5140,12,71,Pontiac Safari (Sw)
18,6,258,110,2962,13.5,71,Amc Hornet Sportabout (Sw)
22,4,140,72,2408,19,71,Chevrolet Vega (Sw)
19,6,250,100,3282,15,71,Pontiac Firebird
18,6,250,88,3139,14.5,71,Ford Mustang
23,4,122,86,2220,14,71,Mercury Capri 2000
28,4,116,90,2123,14,71,Opel 1900
30,4,79,70,2074,19.5,71,Peugeot 304
30,4,88,76,2065,14.5,71,Fiat 124B
31,4,71,65,1773,19,71,Toyota Corolla 1200
35,4,72,69,1613,18,71,Datsun 1200
27,4,97,60,1834,19,71,Volkswagen Model 111
26,4,91,70,1955,20.5,71,Plymouth Cricket
24,4,113,95,2278,15.5,72,Toyota Corona Hardtop
25,4,97.5,80,2126,17,72,Dodge Colt Hardtop
