Away team alias,Home team alias,Time in seconds,Jersey number,Inches from left baseline,Inches from bottom sideline,Made or miss
FSU,MIZZ,556,10,373,335,miss
FSU,MIZZ,808,15,282,459,miss
FSU,MIZZ,379,15,339,207,miss
FSU,MIZZ,386,11,330,404,miss
FSU,MIZZ,1476,11,759,296,miss
FSU,MIZZ,663,11,354,267,miss
FSU,MIZZ,2182,11,760,327,miss
FSU,MIZZ,757,24,60,569,miss
FSU,MIZZ,83,3,164,44,miss
FSU,MIZZ,868,3,259,75,miss
FSU,MIZZ,1701,13,879,517,miss
FSU,MIZZ,2251,13,823,473,miss
FSU,MIZZ,1198,15,311,452,miss
FSU,MIZZ,137,15,345,238,made
FSU,MIZZ,628,3,402,153,made
FSU,MIZZ,1255,3,762,208,made
FSU,MIZZ,2142,13,759,277,made
FSU,MIZZ,340,13,346,221,miss
FSU,MIZZ,1065,3,374,280,miss
FSU,MIZZ,1563,3,830,482,miss
FSU,MIZZ,1429,3,784,389,made
FSU,MIZZ,1733,3,759,224,made
FSU,MIZZ,1317,3,1031,575,made
FSU,MIZZ,33,3,74,567,made
FSU,MIZZ,776,5,890,527,miss
FSU,MIZZ,930,5,832,98,miss
FSU,MIZZ,1681,5,337,486,miss
FSU,MIZZ,1468,0,75,565,miss
FSU,MIZZ,396,23,1050,565,miss
FSU,MIZZ,2386,20,72,27,miss
FSU,MIZZ,2215,11,63,24,miss
FSU,MIZZ,1571,25,356,317,miss
FSU,MIZZ,1887,5,330,441,made
FSU,MIZZ,447,5,814,490,made
FSU,MIZZ,347,5,762,365,made
FSU,MIZZ,1038,0,794,146,made
FSU,MIZZ,1140,11,851,63,made
FSU,MIZZ,581,11,828,492,made
FSU,MIZZ,1411,25,109,29,made
KU,VILL,2304,5,270,74,miss
KU,VILL,307,5,1048,29,miss
KU,VILL,1080,5,820,420,miss
KU,VILL,2356,5,346,274,miss
KU,VILL,1323,4,347,269,miss
KU,VILL,1826,1,91,41,miss
KU,VILL,468,1,859,458,miss
KU,VILL,75,1,796,348,miss
KU,VILL,1224,1,220,509,miss
KU,VILL,1165,1,773,269,miss
KU,VILL,497,25,885,502,miss
KU,VILL,1198,25,894,514,miss
KU,VILL,1521,25,318,397,miss
KU,VILL,1637,14,144,41,miss
KU,VILL,1995,14,288,428,miss
KU,VILL,55,14,794,322,miss
KU,VILL,262,14,810,384,miss
KU,VILL,1014,14,1071,560,miss
KU,VILL,525,14,1068,34,miss
KU,VILL,755,2,1083,43,miss
KU,VILL,1007,10,937,68,miss
KU,VILL,1798,10,60,552,miss
KU,VILL,1856,14,962,39,miss
KU,VILL,2292,14,790,368,miss
KU,VILL,1125,14,339,356,miss
KU,VILL,1622,2,1076,557,miss
KU,VILL,2243,2,848,109,miss
KU,VILL,1884,0,813,400,miss
KU,VILL,1920,0,1083,46,miss
KU,VILL,1157,4,359,236,miss
KU,VILL,2137,4,808,403,miss
KU,VILL,1528,4,773,336,miss
KU,VILL,796,4,65,41,miss
KU,VILL,987,10,251,85,miss
KU,VILL,1333,10,808,341,miss
KU,VILL,2175,10,841,130,miss
KU,VILL,1261,4,312,116,made
KU,VILL,900,1,897,496,made
KU,VILL,867,1,782,260,made
KU,VILL,720,1,801,249,made
KU,VILL,2163,10,326,399,made
KU,VILL,1489,4,57,552,made
KU,VILL,126,25,870,121,made
KU,VILL,620,5,813,425,made
KU,VILL,975,5,842,442,made
KU,VILL,166,14,817,181,made
KU,VILL,1546,10,240,80,made
KU,VILL,85,4,1086,569,made
KU,VILL,584,4,1086,34,made
KU,VILL,677,25,1081,561,made
KU,VILL,242,14,917,74,made
KU,VILL,417,2,1093,564,made
KU,VILL,348,10,820,411,made
KU,VILL,1581,14,106,561,made
KU,VILL,880,4,336,328,made
KU,VILL,1498,4,838,125,made
KU,VILL,1458,4,838,133,made
KU,VILL,2312,4,880,489,made
KU,VILL,2183,14,1090,29,made
KU,VILL,763,14,181,533,made
KU,VILL,1729,10,1081,37,made
MICH,VILL,2374,23,804,168,miss
MICH,VILL,1057,2,311,441,miss
MICH,VILL,1199,2,596,96,miss
MICH,VILL,687,4,75,32,miss
MICH,VILL,2383,4,814,116,miss
MICH,VILL,808,13,357,279,miss
MICH,VILL,611,13,118,562,miss
MICH,VILL,2299,13,808,190,miss
MICH,VILL,815,3,304,132,miss
MICH,VILL,1786,3,848,490,miss
MICH,VILL,1298,22,1026,36,miss
MICH,VILL,1503,22,993,39,miss
MICH,VILL,1546,22,789,389,miss
MICH,VILL,1103,1,85,564,miss
MICH,VILL,328,1,268,91,miss
MICH,VILL,2222,12,1040,579,miss
MICH,VILL,723,12,302,123,miss
MICH,VILL,191,12,112,567,miss
MICH,VILL,2046,12,830,136,miss
MICH,VILL,429,12,297,96,miss
MICH,VILL,256,5,780,250,miss
MICH,VILL,1689,5,335,136,miss
MICH,VILL,1721,5,278,108,miss
MICH,VILL,214,4,1010,567,miss
MICH,VILL,311,4,782,360,miss
MICH,VILL,677,1,763,351,miss
MICH,VILL,2268,1,249,101,miss
MICH,VILL,1193,1,820,109,miss
MICH,VILL,1237,1,292,122,miss
MICH,VILL,420,25,811,417,miss
MICH,VILL,2100,25,359,320,miss
MICH,VILL,565,25,827,112,miss
MICH,VILL,520,25,1062,565,miss
MICH,VILL,1453,14,75,560,miss
MICH,VILL,1410,14,106,37,miss
MICH,VILL,1676,10,215,528,miss
MICH,VILL,513,10,1035,26,miss
MICH,VILL,1579,12,782,208,made
MICH,VILL,223,13,353,184,made
MICH,VILL,392,12,356,310,made
MICH,VILL,1157,1,770,222,made
MICH,VILL,1871,10,373,351,made
MICH,VILL,911,10,790,413,made
MICH,VILL,1923,10,288,495,made
MICH,VILL,833,10,779,214,made
MICH,VILL,1269,4,267,94,made
MICH,VILL,436,10,827,448,made
MICH,VILL,2025,25,266,512,made
MICH,VILL,1524,25,350,178,made
MICH,VILL,2169,25,319,95,made
L-IL,MICH,2152,4,1054,16,miss
L-IL,MICH,1903,0,776,310,miss
L-IL,MICH,1819,14,825,471,miss
L-IL,MICH,167,13,273,104,miss
L-IL,MICH,213,13,230,70,miss
L-IL,MICH,1924,5,817,479,miss
L-IL,MICH,2379,5,865,89,miss
L-IL,MICH,417,1,316,130,miss
L-IL,MICH,1522,0,856,105,miss
L-IL,MICH,504,2,775,383,miss
L-IL,MICH,2100,2,82,560,miss
L-IL,MICH,660,2,893,54,miss
L-IL,MICH,1914,13,332,305,miss
L-IL,MICH,1307,13,282,449,miss
L-IL,MICH,1003,13,775,270,miss
L-IL,MICH,2139,13,353,294,miss
L-IL,MICH,1774,5,371,315,miss
L-IL,MICH,206,3,1074,564,miss
L-IL,MICH,143,3,794,410,miss
L-IL,MICH,1137,22,827,462,miss
L-IL,MICH,1314,22,343,173,miss
L-IL,MICH,741,22,1090,567,miss
L-IL,MICH,1859,22,316,144,miss
L-IL,MICH,383,1,931,46,miss
L-IL,MICH,1443,3,295,82,miss
L-IL,MICH,817,12,782,366,miss
L-IL,MICH,1062,12,777,185,miss
L-IL,MICH,113,12,797,342,miss
L-IL,MICH,1826,12,361,178,miss
L-IL,MICH,1535,12,349,384,miss
L-IL,MICH,1489,13,792,392,made
L-IL,MICH,1984,13,112,30,made
L-IL,MICH,70,1,947,50,made
L-IL,MICH,232,13,759,270,made
L-IL,MICH,1333,22,57,565,made
L-IL,MICH,1694,5,68,29,made
L-IL,MICH,2221,13,345,296,made
L-IL,MICH,1780,22,361,420,made
HOU,MICH,2043,12,287,466,miss
HOU,MICH,2323,3,394,149,miss
HOU,MICH,725,32,824,164,miss
HOU,MICH,1136,5,784,373,miss
HOU,MICH,1143,12,906,514,miss
HOU,MICH,649,12,897,61,miss
