index,Date,Season,Year,Month,Holiday,Day of Week,Workday,Weather Description,Average Temperature (Celsius),"Average ""Feels Like"" Temperature",Humidity (0 - 1),Wind Speed,Number of Casual Users,Number of Registered Users,Total Users
1,1/1/11,winter,2011,1,No,6,No,Clouds or mist,7.98,7.76,0.81,0.16,331,654,985
2,1/2/11,winter,2011,1,No,0,No,Clouds or mist,8.92,7.10,0.70,0.25,131,670,801
3,1/3/11,winter,2011,1,No,1,Yes,Few clouds,1.40,-3.46,0.44,0.25,120,1229,1349
4,1/4/11,winter,2011,1,No,2,Yes,Few clouds,1.40,-2.14,0.59,0.16,108,1454,1562
5,1/5/11,winter,2011,1,No,3,Yes,Few clouds,2.81,-0.82,0.44,0.19,82,1518,1600
6,1/6/11,winter,2011,1,No,4,Yes,Few clouds,1.40,-0.82,0.52,0.09,88,1518,1606
7,1/7/11,winter,2011,1,No,5,Yes,Clouds or mist,1.40,-2.14,0.50,0.17,148,1362,1510
8,1/8/11,winter,2011,1,No,6,No,Clouds or mist,-0.01,-5.44,0.54,0.27,68,891,959
9,1/9/11,winter,2011,1,No,0,No,Few clouds,-1.42,-8.08,0.43,0.36,54,768,822
10,1/10/11,winter,2011,1,No,1,Yes,Few clouds,-0.95,-6.10,0.48,0.22,41,1280,1321
11,1/11/11,winter,2011,1,No,2,Yes,Clouds or mist,-0.01,-3.46,0.69,0.12,43,1220,1263
12,1/12/11,winter,2011,1,No,3,Yes,Few clouds,-0.01,-5.44,0.60,0.30,25,1137,1162
13,1/13/11,winter,2011,1,No,4,Yes,Few clouds,-0.01,-6.10,0.47,0.30,38,1368,1406
14,1/14/11,winter,2011,1,No,5,Yes,Few clouds,-0.48,-3.46,0.54,0.13,54,1367,1421
15,1/15/11,winter,2011,1,No,6,No,Clouds or mist,2.81,0.50,0.50,0.16,222,1026,1248
16,1/16/11,winter,2011,1,No,0,No,Few clouds,2.81,-0.82,0.48,0.19,251,953,1204
17,1/17/11,winter,2011,1,Yes,1,No,Clouds or mist,0.46,-4.12,0.54,0.19,117,883,1000
18,1/18/11,winter,2011,1,No,2,Yes,Clouds or mist,2.34,-0.82,0.86,0.15,9,674,683
19,1/19/11,winter,2011,1,No,3,Yes,Clouds or mist,5.63,3.80,0.74,0.21,78,1572,1650
20,1/20/11,winter,2011,1,No,4,Yes,Clouds or mist,4.22,1.16,0.54,0.20,83,1844,1927
21,1/21/11,winter,2011,1,No,5,Yes,Few clouds,0.46,-5.44,0.46,0.35,75,1468,1543
22,1/22/11,winter,2011,1,No,6,No,Few clouds,-5.18,-10.72,0.40,0.17,93,888,981
23,1/23/11,winter,2011,1,No,0,No,Few clouds,-3.30,-9.40,0.44,0.25,150,836,986
24,1/24/11,winter,2011,1,No,1,Yes,Few clouds,-3.30,-8.08,0.49,0.16,86,1330,1416
25,1/25/11,winter,2011,1,No,2,Yes,Clouds or mist,2.34,-0.82,0.62,0.13,186,1799,1985
26,1/26/11,winter,2011,1,No,3,Yes,Light snow or rain,2.34,-2.80,0.86,0.29,34,472,506
27,1/27/11,winter,2011,1,No,4,Yes,Few clouds,1.40,-1.48,0.69,0.11,15,416,431
28,1/28/11,winter,2011,1,No,5,Yes,Clouds or mist,1.40,-1.48,0.79,0.12,38,1129,1167
29,1/29/11,winter,2011,1,No,6,No,Few clouds,1.40,-2.14,0.65,0.15,123,975,1098
30,1/30/11,winter,2011,1,No,0,No,Few clouds,2.34,0.50,0.72,0.07,140,956,1096
31,1/31/11,winter,2011,1,No,1,Yes,Clouds or mist,0.46,-3.46,0.60,0.19,42,1459,1501
32,2/1/11,winter,2011,2,No,2,Yes,Clouds or mist,0.93,-0.82,0.83,0.05,47,1313,1360
33,2/2/11,winter,2011,2,No,3,Yes,Clouds or mist,4.22,0.50,0.78,0.26,72,1454,1526
34,2/3/11,winter,2011,2,No,4,Yes,Few clouds,0.93,-4.12,0.44,0.28,61,1489,1550
35,2/4/11,winter,2011,2,No,5,Yes,Clouds or mist,1.87,-0.82,0.59,0.13,88,1620,1708
36,2/5/11,winter,2011,2,No,6,No,Clouds or mist,2.81,-0.16,0.93,0.16,100,905,1005
37,2/6/11,winter,2011,2,No,0,No,Few clouds,5.63,3.14,0.57,0.14,354,1269,1623
38,2/7/11,winter,2011,2,No,1,Yes,Few clouds,4.69,3.80,0.74,0.05,120,1592,1712
39,2/8/11,winter,2011,2,No,2,Yes,Few clouds,2.34,-2.80,0.54,0.36,64,1466,1530
40,2/9/11,winter,2011,2,No,3,Yes,Clouds or mist,-1.89,-6.76,0.49,0.19,53,1552,1605
41,2/10/11,winter,2011,2,No,4,Yes,Few clouds,-1.42,-6.10,0.44,0.22,47,1491,1538
42,2/11/11,winter,2011,2,No,5,Yes,Few clouds,0.93,-2.14,0.51,0.11,149,1597,1746
43,2/12/11,winter,2011,2,No,6,No,Few clouds,2.34,-0.82,0.54,0.20,288,1184,1472
44,2/13/11,winter,2011,2,No,0,No,Few clouds,7.04,5.12,0.46,0.26,397,1192,1589
45,2/14/11,winter,2011,2,No,1,Yes,Few clouds,11.74,10.40,0.38,0.42,208,1705,1913
46,2/15/11,winter,2011,2,No,2,Yes,Few clouds,4.69,0.50,0.31,0.29,140,1675,1815
47,2/16/11,winter,2011,2,No,3,Yes,Few clouds,7.04,5.12,0.42,0.25,218,1897,2115
48,2/17/11,winter,2011,2,No,4,Yes,Few clouds,12.68,12.38,0.51,0.23,259,2216,2475
49,2/18/11,winter,2011,2,No,5,Yes,Few clouds,16.44,17.66,0.52,0.26,579,2348,2927
50,2/19/11,winter,2011,2,No,6,No,Few clouds,10.80,9.74,0.19,0.51,532,1103,1635
51,2/20/11,winter,2011,2,No,0,No,Few clouds,5.63,2.48,0.41,0.22,639,1173,1812
52,2/21/11,winter,2011,2,Yes,1,No,Clouds or mist,6.10,2.48,0.61,0.31,195,912,1107
53,2/22/11,winter,2011,2,No,2,Yes,Few clouds,0.46,-3.46,0.58,0.20,74,1376,1450
54,2/23/11,winter,2011,2,No,3,Yes,Few clouds,2.34,0.50,0.42,0.09,139,1778,1917
55,2/24/11,winter,2011,2,No,4,Yes,Clouds or mist,6.10,3.14,0.70,0.25,100,1707,1807
56,2/25/11,winter,2011,2,No,5,Yes,Clouds or mist,8.92,7.10,0.71,0.35,120,1341,1461
57,2/26/11,winter,2011,2,No,6,No,Few clouds,5.16,2.48,0.54,0.19,424,1545,1969
58,2/27/11,winter,2011,2,No,0,No,Few clouds,7.98,7.10,0.68,0.13,694,1708,2402
