Name,Rank,Year,Company Founding Year,Company Name,Company Relationship,Company Sector,Company Type,Age,Gender,Citizenship,Country of Residence,Region,Type Of Wealth,Net Worth In Billions,Wealth Category,Wealth Industry,Wealth Inherited
Bill Gates,1,1996,1975,Microsoft,founder, Software,new,40,male,United States,USA,North America,founder non-finance,18.5,New Sectors,Technology-Computer,not inherited
Bill Gates,1,2001,1975,Microsoft,founder, Software,new,45,male,United States,USA,North America,founder non-finance,58.7,New Sectors,Technology-Computer,not inherited
Bill Gates,1,2014,1975,Microsoft,founder, Software,new,58,male,United States,USA,North America,founder non-finance,76,New Sectors,Technology-Computer,not inherited
Warren Buffett,2,1996,1962,Berkshire Hathaway,founder, Finance,new,65,male,United States,USA,North America,founder non-finance,15,Traded Sectors,Consumer,not inherited
Warren Buffett,2,2001,1962,Berkshire Hathaway,founder, Finance,new,70,male,United States,USA,North America,founder non-finance,32.3,Traded Sectors,Consumer,not inherited
Carlos Slim Helu,2,2014,1990,Telmex,founder, Communications,privatization,74,male,Mexico,MEX,Latin America,privatized and resources,72,Non-Traded Sectors,Media,not inherited
Oeri Hoffman and Sacher,3,1996,1896,F. Hoffmann-La Roche,Unknown,pharmaceuticals,new,Unknown,Unknown,Switzerland,CHE,Europe,inherited,13.1,New Sectors,Technology-Medical,3rd generation
Paul Allen,3,2001,1975,Microsoft,founder,technology,new,48,male,United States,USA,North America,founder non-finance,30.4,New Sectors,Technology-Computer,not inherited
Amancio Ortega,3,2014,1975,Zara,founder,Fashion,new,77,male,Spain,ESP,Europe,founder non-finance,64,Non-Traded Sectors,"Retail, Restaurant",not inherited
Lee Shau Kee,4,1996,1976,Henderson Land Development,founder/chairman,real estate,new,68,male,Hong Kong,HKG,East Asia,self-made finance,12.7,Financial,Real Estate,not inherited
Larry Ellison,4,2001,1977,Oracle,founder, software, new,56,male,United States,USA,North America,founder non-finance,26,New Sectors,Technology-Computer,not inherited
Warren Buffett,4,2014,1839,Berkshire Hathaway,founder, Finance,aquired,83,male,United States,USA,North America,founder non-finance,58.2,Traded Sectors,Consumer,not inherited
Tsai Wan-lin,5,1996,1962,Lin Yuan Group,founder,banking and insurance,new,71,male,Taiwan,Taiwan,East Asia,self-made finance,12.2,Financial,Hedge funds,not inherited
Theo and Karl Albrecht,5,2001,1913,Aldi,founder,groceries,new,Unknown,male,Germany,DEU,Europe,founder non-finance,25,Non-Traded Sectors,"Retail, Restaurant",not inherited
Larry Ellison,5,2014,1977,Oracle,founder, software, new,69,male,United States,USA,North America,founder non-finance,48,New Sectors,Technology-Computer,not inherited
Walter Thomas and Raymond Kwok,6,1996,1963,Sun Hung Kai Properties,Relation,real estate,new,Unknown,male,Hong Kong,HKG,East Asia,inherited,11.2,Financial,Real Estate,father
Prince Alwaleed Bin Talal Alsaud,6,2001,1980,Kingdom Holding Company,founder,construction/real estate/banking,new,44,male,Saudi Arabia,SAU,Middle East/North Africa,privatized and resources,20,Financial,Money Management,not inherited
Charles Koch,6,2014,1940,Koch industries,relation,  Oil refining,new,78,male,United States,USA,North America,inherited,40,Financial,Diversified financial,father
David Koch,6,2014,1940,Koch industries,relation, Oil refining,new,73,male,United States,USA,North America,inherited,40,Financial,Diversified financial,father
Li Ka-shing,7,1996,1971,Cheung king,founder,real estate,new,67,male,Hong Kong,HKG,East Asia,self-made finance,10.6,Financial,Real Estate,not inherited
Jim Walton,7,2001,1962,Walmart,relation,retail, new,53,male,United States,USA,North America,inherited,18.8,Non-Traded Sectors,"Retail, Restaurant",father
Yoshiaki Tsutsumi,8,1996,1894,Seibu Corporation,relation,real estate,aquired,61,male,Japan,JPN,East Asia,inherited,9.2,Financial,Real Estate,father
John Walton,8,2001,1962,Walmart,relation, retail, new,55,male,United States,USA,North America,inherited,18.7,Traded Sectors,Consumer,father
Sheldon Adelson,8,2014,1952,Las Vegas Sands,founder, casinos, acquired,80,male,United States,USA,North America,self-made finance,38,Financial,Real Estate,not inherited
Theo and Karl Albrecht,9,1996,1913,Aldi Nord,Relation,groceries,new,Unknown,male,Germany,DEU,Europe,inherited,9,Non-Traded Sectors,"Retail, Restaurant",father
S Robson Walton,9,2001,1962,Walmart,relation,retail, new,57,male,United States,USA,North America,inherited,18.6,Non-Traded Sectors,"Retail, Restaurant",father
Christy Walton,9,2014,1962,Walmart,relation, retail, new,59,female,United States,USA,North America,inherited,36.7,Non-Traded Sectors,"Retail, Restaurant",spouse/widow
Hans and Gad Rausing,10,1996,1951,Tetra Pak,relation,food packaging,new,Unknown,male,Sweden,SWE,Europe,inherited,9,Traded Sectors,Consumer,father
Alice Walton,10,2001,1962,Walmart,relation,retail, new,52,female,United States,USA,North America,inherited,18.5,Non-Traded Sectors,"Retail, Restaurant",father
Helen Walton,10,2001,1962,Walmart,relation,retail, new,81,female,United States,USA,North America,inherited,18.5,Traded Sectors,Consumer,spouse/widow
Jim Walton,10,2014,1962,Walmart,relation,retail, new,66,male,United States,USA,North America,inherited,34.7,Non-Traded Sectors,"Retail, Restaurant",father
Johanna Quandt,11,1996,1916,BMW,relation,cars,new,68,female,Germany,DEU,Europe,inherited,8.1,Traded Sectors,Consumer,spouse/widow
Liliane Bettencourt,11,2014,1909,L'Oreal,relation,cosmetics,new,91,female,France,FRA,Europe,inherited,34.5,Traded Sectors,Consumer,father
