Buying Price,Maintenance Cost,Number Of Doors,Number of Passengers,Boot Size,Safety Rating,Car Acceptability
Very High,Very High,2,2,Small,Medium,Unacceptable
Very High,Very High,2,2,Small,High,Unacceptable
Very High,Very High,2,2,Medium,Low,Unacceptable
Very High,Very High,2,2,Medium,Medium,Unacceptable
Very High,Very High,2,2,Medium,High,Unacceptable
Very High,Very High,2,2,Big,Low,Unacceptable
Very High,Very High,2,2,Big,Medium,Unacceptable
Very High,Very High,2,2,Big,High,Unacceptable
Very High,Very High,2,4,Small,Low,Unacceptable
Very High,Very High,2,4,Small,Medium,Unacceptable
Very High,Very High,2,4,Small,High,Unacceptable
Very High,Very High,2,4,Medium,Low,Unacceptable
Very High,Very High,2,4,Medium,Medium,Unacceptable
Very High,Very High,2,4,Medium,High,Unacceptable
Very High,Very High,2,4,Big,Low,Unacceptable
Very High,Very High,2,4,Big,Medium,Unacceptable
Very High,Very High,2,4,Big,High,Unacceptable
Very High,Very High,2,More,Small,Low,Unacceptable
Very High,Very High,2,More,Small,Medium,Unacceptable
Very High,Very High,2,More,Small,High,Unacceptable
Very High,Very High,2,More,Medium,Low,Unacceptable
Very High,Very High,2,More,Medium,Medium,Unacceptable
Very High,Very High,2,More,Medium,High,Unacceptable
Very High,Very High,2,More,Big,Low,Unacceptable
Very High,Very High,2,More,Big,Medium,Unacceptable
Very High,Very High,2,More,Big,High,Unacceptable
Very High,Very High,3,2,Small,Low,Unacceptable
Very High,Very High,3,2,Small,Medium,Unacceptable
Very High,Very High,3,2,Small,High,Unacceptable
Very High,Very High,3,2,Medium,Low,Unacceptable
Very High,Very High,3,2,Medium,Medium,Unacceptable
Very High,Very High,3,2,Medium,High,Unacceptable
Very High,Very High,3,2,Big,Low,Unacceptable
Very High,Very High,3,2,Big,Medium,Unacceptable
Very High,Very High,3,2,Big,High,Unacceptable
Very High,Very High,3,4,Small,Low,Unacceptable
Very High,Very High,3,4,Small,Medium,Unacceptable
Very High,Very High,3,4,Small,High,Unacceptable
Very High,Very High,3,4,Medium,Low,Unacceptable
Very High,Very High,3,4,Medium,Medium,Unacceptable
Very High,Very High,3,4,Medium,High,Unacceptable
Very High,Very High,3,4,Big,Low,Unacceptable
Very High,Very High,3,4,Big,Medium,Unacceptable
Very High,Very High,3,4,Big,High,Unacceptable
Very High,Very High,3,More,Small,Low,Unacceptable
Very High,Very High,3,More,Small,Medium,Unacceptable
Very High,Very High,3,More,Small,High,Unacceptable
Very High,Very High,3,More,Medium,Low,Unacceptable
Very High,Very High,3,More,Medium,Medium,Unacceptable
Very High,Very High,3,More,Medium,High,Unacceptable
Very High,Very High,3,More,Big,Low,Unacceptable
Very High,Very High,3,More,Big,Medium,Unacceptable
Very High,Very High,3,More,Big,High,Unacceptable
Very High,Very High,4,2,Small,Low,Unacceptable
Very High,Very High,4,2,Small,Medium,Unacceptable
Very High,Very High,4,2,Small,High,Unacceptable
Very High,Very High,4,2,Medium,Low,Unacceptable
Very High,Very High,4,2,Medium,Medium,Unacceptable
Very High,Very High,4,2,Medium,High,Unacceptable
Very High,Very High,4,2,Big,Low,Unacceptable
Very High,Very High,4,2,Big,Medium,Unacceptable
Very High,Very High,4,2,Big,High,Unacceptable
Very High,Very High,4,4,Small,Low,Unacceptable
Very High,Very High,4,4,Small,Medium,Unacceptable
Very High,Very High,4,4,Small,High,Unacceptable
Very High,Very High,4,4,Medium,Low,Unacceptable
Very High,Very High,4,4,Medium,Medium,Unacceptable
Very High,Very High,4,4,Medium,High,Unacceptable
Very High,Very High,4,4,Big,Low,Unacceptable
Very High,Very High,4,4,Big,Medium,Unacceptable
