activity,free time,personality,element,school minutes,make build,meet people,club
Draw a picture or doodle,20,Keep to myself,Metal,11,Strongly Agree,Neutral,Band Club
Go for a walk,45,Keep to myself,Earth,24,Disagree,Strongly Disagree,Band Club
Go for a walk,20,Hang out with others,Earth,20,Disagree,Disagree,Band Club
Cook something from a new recipe,50,Keep to myself,Water,12,Disagree,Agree,Band Club
Cook something from a new recipe,101,Keep to myself,Wind,14,Disagree,Disagree,Band Club
Cook something from a new recipe,98,Hang out with others,Earth,30,Disagree,Neutral,Band Club
Go for a walk,125,Keep to myself,Fire,56,Strongly Disagree,Strongly Disagree,Band Club
[science thing],24,Hang out with others,Water,31,Neutral,Strongly Agree,Art Club
Play an instrument,162,Keep to myself,Metal,57,Disagree,Neutral,Band Club
Draw a picture or doodle,71,Hang out with others,Wind,33,Strongly Agree,Neutral,Band Club
[science thing],76,Hang out with others,Fire,42,Disagree,Disagree,Band Club
Go for a walk,170,Hang out with others,Metal,14,Strongly Disagree,Agree,Hiking Club
Go for a walk,59,Hang out with others,Metal,46,Strongly Agree,Disagree,Science and Technology Club
Play an instrument,179,Keep to myself,Fire,14,Strongly Agree,Disagree,Band Club
Go for a walk,68,Hang out with others,Wind,22,Neutral,Disagree,Band Club
Cook something from a new recipe,83,Keep to myself,Earth,23,Disagree,Disagree,Band Club
Draw a picture or doodle,174,Keep to myself,Earth,30,Disagree,Strongly Agree,Science and Technology Club
Go for a walk,89,Hang out with others,Water,52,Disagree,Strongly Disagree,Band Club
Draw a picture or doodle,132,Keep to myself,Wind,17,Agree,Strongly Disagree,Band Club
Play an instrument,45,Hang out with others,Earth,48,Strongly Agree,Strongly Disagree,Band Club
Play an instrument,49,Hang out with others,Fire,21,Disagree,Strongly Agree,Band Club
Draw a picture or doodle,92,Keep to myself,Wind,47,Strongly Disagree,Strongly Agree,Band Club
[science thing],171,Keep to myself,Water,57,Strongly Disagree,Agree,Band Club
Cook something from a new recipe,68,Hang out with others,Fire,52,Strongly Disagree,Strongly Disagree,Art Club
Play an instrument,131,Keep to myself,Wind,35,Neutral,Agree,Hiking Club
Go for a walk,169,Keep to myself,Water,32,Agree,Strongly Agree,Band Club
Play an instrument,68,Keep to myself,Wind,30,Strongly Disagree,Disagree,Band Club
Draw a picture or doodle,55,Hang out with others,Earth,39,Neutral,Strongly Agree,Band Club
Go for a walk,169,Keep to myself,Wind,23,Agree,Agree,Art Club
Draw a picture or doodle,32,Hang out with others,Fire,49,Disagree,Strongly Agree,Band Club
Draw a picture or doodle,77,Keep to myself,Wind,50,Agree,Agree,Science and Technology Club
[science thing],130,Hang out with others,Metal,37,Agree,Strongly Agree,Band Club
Draw a picture or doodle,141,Hang out with others,Wind,39,Neutral,Strongly Agree,Band Club
Go for a walk,129,Hang out with others,Water,11,Strongly Agree,Strongly Agree,Band Club
Cook something from a new recipe,34,Hang out with others,Metal,40,Neutral,Strongly Disagree,Band Club
Play an instrument,96,Keep to myself,Metal,50,Neutral,Agree,Band Club
Play an instrument,180,Keep to myself,Water,10,Neutral,Neutral,Band Club
Cook something from a new recipe,93,Hang out with others,Earth,18,Neutral,Strongly Agree,Band Club
Cook something from a new recipe,49,Hang out with others,Water,52,Disagree,Disagree,Science and Technology Club
