Chocolate Chips,Raisins,Frosting,Sprinkles,Verdict
yes,yes,no,yes,Dislike
no,yes,yes,yes,Dislike
no,yes,yes,yes,Dislike
yes,no,no,no,Dislike
yes,yes,yes,yes,Dislike
no,yes,no,yes,Like
no,no,no,no,Dislike
no,no,no,no,Dislike
no,no,yes,yes,Dislike
yes,no,no,yes,Like
yes,yes,yes,yes,Dislike
yes,yes,no,yes,Dislike
yes,no,yes,no,Like
yes,no,no,no,Dislike
no,no,yes,yes,Dislike
no,no,yes,yes,Dislike
yes,yes,no,yes,Dislike
no,no,no,yes,Dislike
no,no,yes,no,Dislike
yes,no,yes,yes,Dislike
no,no,no,no,Like
no,no,yes,yes,Dislike
no,no,no,no,Dislike
no,no,no,no,Dislike
yes,yes,yes,no,Dislike
no,yes,yes,no,Like
yes,no,no,yes,Like
yes,no,yes,yes,Dislike
yes,yes,no,no,Dislike
no,yes,no,yes,Like
yes,no,no,yes,Like
yes,yes,yes,yes,Dislike
no,yes,yes,yes,Dislike
yes,yes,no,no,Dislike
no,no,yes,yes,Dislike
yes,yes,no,no,Dislike
no,no,yes,no,Like
no,no,yes,no,Dislike
yes,no,yes,no,Like
yes,no,yes,no,Like
no,yes,no,no,Dislike
yes,no,yes,yes,Dislike
no,no,yes,no,Dislike
no,no,no,no,Dislike
no,yes,no,no,Dislike
no,no,no,yes,Dislike
no,yes,no,yes,Dislike
yes,yes,no,no,Dislike
no,yes,yes,no,Like
no,yes,yes,yes,Dislike
no,yes,no,no,Dislike
no,no,no,yes,Dislike
no,yes,no,yes,Like
no,no,yes,no,Dislike
yes,no,yes,yes,Dislike
no,yes,no,yes,Like
no,yes,yes,no,Like
yes,yes,yes,no,Dislike
no,no,yes,yes,Dislike
yes,yes,yes,no,Dislike
yes,yes,yes,yes,Dislike
no,no,no,yes,Like
yes,no,yes,yes,Dislike
yes,yes,yes,no,Dislike
yes,yes,no,no,Like
yes,no,no,no,Like
yes,no,yes,no,Like
yes,no,no,yes,Dislike
yes,yes,no,no,Dislike
no,yes,no,no,Dislike
no,yes,no,no,Dislike
yes,yes,no,yes,Dislike
yes,no,no,no,Dislike
yes,no,no,no,Dislike
yes,yes,yes,no,Dislike
no,yes,yes,no,Like
yes,no,no,no,Dislike
yes,no,yes,yes,Dislike
yes,no,yes,no,Like
no,no,no,yes,Like
no,yes,yes,yes,Dislike
no,yes,no,yes,Like
yes,yes,yes,yes,Dislike
yes,no,yes,no,Like
no,yes,no,yes,Like
yes,no,yes,no,Like
yes,yes,yes,yes,Dislike
yes,yes,yes,no,Dislike
no,yes,no,no,Dislike
yes,yes,yes,no,Dislike
yes,yes,yes,yes,Dislike
yes,no,no,yes,Like
yes,yes,no,no,Dislike
no,yes,yes,yes,Dislike
yes,yes,no,yes,Dislike
yes,no,no,yes,Like
yes,no,no,yes,Like
no,no,yes,no,Dislike
no,no,no,no,Dislike
no,no,yes,no,Dislike
no,no,yes,yes,Like
no,no,no,yes,Dislike
yes,yes,no,yes,Dislike
no,no,no,no,Dislike
yes,no,no,yes,Like
yes,yes,yes,no,Dislike
yes,no,yes,yes,Like
no,yes,yes,yes,Dislike
no,no,no,yes,Like
no,yes,yes,no,Like
yes,yes,no,yes,Dislike
no,yes,yes,no,Like
yes,no,no,no,Dislike
yes,yes,no,no,Dislike
no,yes,yes,yes,Dislike
yes,yes,no,yes,Dislike
no,yes,no,no,Dislike
no,yes,no,no,Dislike
yes,no,no,no,Dislike
no,no,yes,no,Dislike
no,no,no,yes,Dislike
no,no,yes,yes,Dislike
no,yes,yes,no,Like
no,yes,yes,no,Like
no,yes,no,yes,Like
yes,no,yes,no,Like
yes,yes,yes,yes,Dislike
yes,no,yes,yes,Dislike
