jurisdiction,includes_jails,year,prisoner_count,crime_reporting_change,crimes_estimated,state_population,violent_crime_total,murder_manslaughter,rape_legacy,robbery,agg_assault,property_crime_total,burglary,larceny,vehicle_theft
ALABAMA,FALSE,2001,24741,FALSE,FALSE,4468912,19582,379,1369,5584,12250,173253,40642,119992,12619
ALASKA,TRUE,2001,4570,FALSE,FALSE,633630,3735,39,501,514,2681,23160,3847,16695,2618
ARIZONA,FALSE,2001,27710,FALSE,FALSE,5306966,28675,400,1518,8868,17889,293874,54821,186850,52203
ARKANSAS,FALSE,2001,11489,FALSE,FALSE,2694698,12190,148,892,2181,8969,99106,22196,69590,7320
CALIFORNIA,FALSE,2001,157142,FALSE,FALSE,34600463,212867,2206,9960,64614,136087,1134189,232273,697739,204177
COLORADO,FALSE,2001,17278,FALSE,FALSE,4430989,15492,158,1930,3555,9849,170887,28533,121360,20994
CONNECTICUT,TRUE,2001,17507,FALSE,FALSE,3434602,11492,105,639,4183,6565,95299,17159,65762,12378
DELAWARE,TRUE,2001,6841,FALSE,FALSE,796599,4868,23,420,1156,3269,27399,5144,19476,2779
FLORIDA,FALSE,2001,72404,FALSE,FALSE,16373330,130713,874,6641,32867,90331,782517,176052,516548,89917
GEORGIA,FALSE,2001,45937,FALSE,FALSE,8405677,41671,598,2180,14402,24491,347872,71799,238484,37589
HAWAII,TRUE,2001,5116,FALSE,FALSE,1227024,3117,32,409,1142,1534,62830,11162,44925,6743
IDAHO,FALSE,2001,5270,FALSE,FALSE,1320585,3211,30,425,245,2511,38181,7507,28285,2389
ILLINOIS,FALSE,2001,44348,FALSE,TRUE,12520227,79270,982,4010,24931,49347,434648,79158,306757,48733
INDIANA,FALSE,2001,19646,FALSE,FALSE,6126743,22734,413,1716,7171,13434,211548,42758,147291,21499
IOWA,FALSE,2001,7962,FALSE,FALSE,2931967,7865,50,649,1154,6012,88634,16885,66244,5505
KANSAS,FALSE,2001,8574,FALSE,FALSE,2702125,10909,92,945,2423,7449,105537,20514,77038,7985
KENTUCKY,FALSE,2001,10720,FALSE,TRUE,4068816,10510,181,1051,3269,6009,107356,26964,71448,8944
LOUISIANA,FALSE,2001,19660,FALSE,FALSE,4470368,30678,501,1403,7864,20910,207693,46451,139555,21687
MAINE,FALSE,2001,1675,FALSE,FALSE,1284470,1435,19,326,264,826,33154,6898,24585,1671
MARYLAND,FALSE,2001,23739,FALSE,FALSE,5386079,42088,446,1449,13525,26668,219512,41553,145934,32025
MASSACHUSETTS,FALSE,2001,10203,FALSE,FALSE,6401164,30585,143,1856,6476,22110,167079,32430,106821,27828
MICHIGAN,FALSE,2001,48849,FALSE,FALSE,10006266,55424,672,5264,12937,36551,352353,72038,226708,53607
MINNESOTA,FALSE,2001,6406,FALSE,FALSE,4984535,13145,119,2236,3758,7032,165046,25496,124519,15031
MISSISSIPPI,FALSE,2001,15131,FALSE,FALSE,2859733,10006,282,1147,3294,5283,109609,29821,70315,9473
MISSOURI,FALSE,2001,28575,FALSE,FALSE,5637309,30472,372,1383,7771,20946,238411,42977,167420,28014
MONTANA,FALSE,2001,2795,FALSE,FALSE,905382,3187,34,188,230,2735,30175,3670,24684,1821
NEBRASKA,FALSE,2001,3915,FALSE,FALSE,1720039,5214,43,431,1128,3612,68963,9760,52713,6490
NEVADA,FALSE,2001,9862,FALSE,FALSE,2097722,12359,180,883,4932,6364,77486,17711,45073,14702
NEW HAMPSHIRE,FALSE,2001,2419,FALSE,FALSE,1259359,2144,17,458,445,1224,27089,4889,20060,2140
NEW JERSEY,FALSE,2001,26052,FALSE,FALSE,8511116,33094,336,1278,14110,17370,240551,46812,156031,37708
NEW MEXICO,FALSE,2001,5668,FALSE,FALSE,1830935,14288,99,850,2695,10644,83095,19552,56406,7137
NEW YORK,FALSE,2001,67554,FALSE,FALSE,19084350,98022,960,3546,36555,56961,458003,80400,329316,48287
NORTH CAROLINA,FALSE,2001,32203,FALSE,FALSE,8206105,40465,505,2083,13304,24573,363777,101889,237241,24647
NORTH DAKOTA,FALSE,2001,1088,FALSE,FALSE,636550,505,7,164,60,274,14834,2165,11583,1086
OHIO,FALSE,2001,44868,FALSE,FALSE,11389785,40023,452,4466,17199,17906,435115,96910,295976,42229
OKLAHOMA,FALSE,2001,21719,FALSE,FALSE,3469577,17726,185,1486,2746,13309,141679,34573,94537,12569
OREGON,FALSE,2001,10950,FALSE,FALSE,3473441,10650,84,1174,2749,6643,164524,26648,123034,14842
PENNSYLVANIA,FALSE,2001,37641,FALSE,FALSE,12303104,50432,651,3467,17500,28814,313408,54345,223350,35713
RHODE ISLAND,TRUE,2001,3364,FALSE,FALSE,1059659,3278,39,416,986,1837,35742,6824,23875,5043
SOUTH CAROLINA,FALSE,2001,21719,FALSE,FALSE,4062125,33114,330,1769,5987,25028,186054,42611,126742,16701
SOUTH DAKOTA,FALSE,2001,2799,FALSE,FALSE,758324,1171,7,351,103,710,16473,3087,12571,815
TENNESSEE,FALSE,2001,17466,FALSE,FALSE,5749398,42776,423,2196,10219,29938,252992,59705,165015,28272
TEXAS,FALSE,2001,148480,FALSE,FALSE,21370983,122155,1332,8169,35348,77306,976654,204362,669625,102667
UTAH,FALSE,2001,4145,FALSE,FALSE,2278712,5314,67,896,1197,3154,90993,13804,70676,6513
VERMONT,TRUE,2001,1400,FALSE,FALSE,612978,644,7,107,107,423,16334,3150,12426,758
VIRGINIA,FALSE,2001,31472,FALSE,FALSE,7196750,20939,364,1770,6860,11945,207506,31604,157060,18842
WASHINGTON,FALSE,2001,15226,FALSE,FALSE,5993390,21258,179,2600,5934,12545,287234,53024,195133,39077
WEST VIRGINIA,FALSE,2001,3403,FALSE,FALSE,1800975,5035,40,320,707,3968,41085,9601,28268,3216
WISCONSIN,FALSE,2001,20766,FALSE,FALSE,5405947,12486,192,1142,4444,6708,166924,26927,125275,14722
WYOMING,FALSE,2001,1487,FALSE,FALSE,493754,1272,9,153,84,1026,16120,2481,12943,696
ALABAMA,FALSE,2002,25100,FALSE,FALSE,4478896,19931,303,1664,5962,12002,180400,42578,123932,13890
ALASKA,TRUE,2002,4351,FALSE,FALSE,641482,3627,33,511,489,2594,24118,3908,17739,2471
ARIZONA,FALSE,2002,29359,FALSE,FALSE,5441125,30171,387,1608,8000,20176,318296,59087,201541,57668
ARKANSAS,FALSE,2002,11849,FALSE,FALSE,2706268,11501,142,754,2524,8081,101171,23229,71129,6813
CALIFORNIA,FALSE,2002,159695,FALSE,FALSE,35001986,208388,2395,10198,64968,130827,1176484,238428,715692,222364
COLORADO,FALSE,2002,18636,FALSE,FALSE,4501051,15882,179,2066,3579,10058,180054,31678,125193,23183
CONNECTICUT,TRUE,2002,18716,FALSE,FALSE,3458587,10807,84,740,4069,5914,93426,17111,64735,11580
DELAWARE,TRUE,2002,6637,FALSE,FALSE,805945,4836,26,358,1154,3298,26967,5355,18555,3057
FLORIDA,FALSE,2002,75210,FALSE,FALSE,16691701,128721,911,6753,32581,88476,777236,177242,511478,88516
GEORGIA,FALSE,2002,47445,FALSE,FALSE,8544005,39271,606,2108,13432,23125,346559,73932,234591,38036
HAWAII,TRUE,2002,5069,FALSE,FALSE,1240663,3262,24,372,1210,1656,71976,12722,49344,9910
IDAHO,FALSE,2002,5451,FALSE,FALSE,1343124,3419,36,497,240,2646,39128,7441,29060,2627
ILLINOIS,FALSE,2002,42693,FALSE,TRUE,12586447,75759,961,4370,25314,45114,430479,81440,304227,44812
INDIANA,FALSE,2002,20349,FALSE,FALSE,6156913,22001,362,1843,6612,13184,208965,42605,146073,20287
IOWA,FALSE,2002,8398,FALSE,FALSE,2935840,8388,44,797,1169,6378,92877,18643,68411,5823
KANSAS,FALSE,2002,8967,FALSE,FALSE,2711769,10229,78,1035,2165,6951,100768,19679,73877,7212
KENTUCKY,FALSE,2002,11583,FALSE,TRUE,4089822,11101,191,1087,3131,6692,108590,26891,72378,9321
LOUISIANA,FALSE,2002,20010,FALSE,FALSE,4476192,29690,593,1529,7123,20445,198838,45350,133302,20186
MAINE,FALSE,2002,1855,FALSE,FALSE,1294894,1396,14,377,270,735,32985,6965,24591,1429
MARYLAND,FALSE,2002,24114,FALSE,FALSE,5450525,42015,513,1370,13417,26715,217105,39765,143320,34020
MASSACHUSETTS,FALSE,2002,9879,FALSE,FALSE,6421800,31137,173,1777,7169,22018,167753,33243,107922,26588
MICHIGAN,FALSE,2002,50591,FALSE,FALSE,10043221,54306,678,5364,11847,36417,335060,70970,214367,49723
MINNESOTA,FALSE,2002,6855,FALSE,FALSE,5024791,13428,112,2273,3937,7106,164026,28034,122150,13842
MISSISSIPPI,FALSE,2002,15355,FALSE,FALSE,2866733,9858,264,1127,3356,5111,109584,29593,70468,9523
MISSOURI,FALSE,2002,29795,FALSE,FALSE,5669544,30557,331,1465,7024,21737,230520,42721,159921,27878
MONTANA,FALSE,2002,2870,FALSE,FALSE,910372,3197,16,237,283,2661,28751,3289,23679,1783
NEBRASKA,FALSE,2002,4048,FALSE,FALSE,1727564,5428,48,464,1359,3557,68178,10329,51440,6409
NEVADA,FALSE,2002,10101,FALSE,FALSE,2167455,13856,181,928,5118,7629,83896,18951,47459,17486
NEW HAMPSHIRE,FALSE,2002,2475,FALSE,FALSE,1274405,2056,12,446,413,1185,26250,4838,19468,1944
NEW JERSEY,FALSE,2002,26301,FALSE,FALSE,8575252,32252,339,1365,13955,16593,227715,43899,148061,35755
NEW MEXICO,FALSE,2002,5991,FALSE,FALSE,1852044,13719,152,1027,2206,10334,80477,19634,53406,7437
NEW YORK,FALSE,2002,66925,FALSE,FALSE,19134293,95030,909,3885,36653,53583,442091,76700,318025,47366
NORTH CAROLINA,FALSE,2002,32918,FALSE,FALSE,8305820,39118,548,2196,12205,24169,353708,99535,229307,24866
NORTH DAKOTA,FALSE,2002,1117,FALSE,FALSE,633911,496,5,163,58,270,14762,2243,11501,1018
OHIO,FALSE,2002,45284,FALSE,FALSE,11408699,40128,526,4809,17871,16922,428976,99164,287045,42767
OKLAHOMA,FALSE,2002,21996,FALSE,FALSE,3489700,17587,163,1573,2966,12885,148128,35171,100185,12772
OREGON,FALSE,2002,11650,FALSE,FALSE,3520355,10298,72,1238,2742,6246,161145,25696,118925,16524
PENNSYLVANIA,FALSE,2002,39724,FALSE,FALSE,12328827,49578,624,3731,17163,28060,300868,55610,212441,32817
RHODE ISLAND,TRUE,2002,3473,FALSE,FALSE,1068326,3051,41,395,916,1699,35342,6415,24051,4876
SOUTH CAROLINA,FALSE,2002,22896,FALSE,FALSE,4103770,33761,298,1959,5774,25730,183808,43745,123196,16867
SOUTH DAKOTA,FALSE,2002,2943,FALSE,FALSE,760437,1350,11,361,117,861,15992,3034,12139,819
TENNESSEE,FALSE,2002,18297,FALSE,FALSE,5789796,41562,420,2290,9413,29439,249399,61248,161610,26541
TEXAS,FALSE,2002,152446,FALSE,FALSE,21736925,126018,1302,8508,37580,78628,1004274,212602,688992,102680
