Star host name,Number of stars,Number of planets,Discovery year,Orbit length in earth days,Size in earths,Mass in earths,Star temperature in kelvin,Star size in suns,Star mass in suns,Star age in billions of years
CoRoT-10,1,1,2010,13.24,10.87,874.00,5075,0.79,0.89,3.00
CoRoT-11,1,1,2010,2.99,16.03,740.51,6440,1.37,1.27,2.00
CoRoT-12,1,1,2010,2.83,16.14,291.44,5675,1.12,1.08,6.30
CoRoT-13,1,1,2010,4.04,9.92,415.70,5945,1.01,1.09,1.64
CoRoT-14,1,1,2010,1.51,12.22,"2,415.40",6035,1.21,1.13,4.20
CoRoT-16,1,1,2011,5.35,13.11,170.03,5650,1.19,1.10,6.73
CoRoT-17,1,1,2011,3.77,11.43,772.29,5740,1.59,1.04,10.70
CoRoT-19,1,1,2011,3.90,14.46,352.78,6090,1.65,1.21,5.00
CoRoT-2,2,1,2008,1.74,16.43,"1,102.82",5625,0.91,0.96,2.70
CoRoT-21,1,1,2012,2.72,14.57,718.30,6200,1.95,1.29,4.10
CoRoT-22,1,1,2014,9.76,4.88,12.20,5939,1.14,1.10,3.30
CoRoT-23,1,1,2011,3.63,11.77,889.90,5900,1.61,1.14,7.20
CoRoT-24,1,2,2014,5.11,3.70,5.70,4950,0.86,0.91,11.00
CoRoT-24,1,2,2014,11.76,5.00,28.00,4950,0.86,0.91,11.00
CoRoT-25,1,1,2013,4.86,12.11,85.81,6040,1.19,1.09,4.50
CoRoT-26,1,1,2013,4.20,14.12,165.26,5590,1.79,1.09,8.60
CoRoT-27,1,1,2014,3.58,11.29,"3,302.11",5900,1.08,1.05,4.21
CoRoT-28,1,1,2015,5.21,10.71,153.83,5150,1.78,1.01,12.00
CoRoT-29,1,1,2015,2.85,10.09,270.16,5260,0.90,0.97,4.50
CoRoT-3,1,1,2008,4.26,11.32,"6,883.91",6740,1.56,1.37,2.20
CoRoT-30,1,1,2020,9.06,11.31,921.71,5650,0.91,0.98,3.00
CoRoT-31,1,1,2020,4.63,16.37,266.98,5700,2.15,1.25,4.70
CoRoT-4,1,1,2008,9.20,13.34,228.83,6190,1.17,1.16,1.00
CoRoT-5,1,1,2009,4.04,15.56,148.42,6100,1.19,1.00,6.90
CoRoT-8,1,1,2010,6.21,6.39,69.92,5080,0.77,0.88,3.00
CoRoT-9,2,1,2009,95.27,11.95,266.98,5625,0.96,0.96,6.00
EPIC 246851721,2,1,2018,6.18,11.78,953.49,6202,1.59,1.32,3.02
EPIC 249893012,1,3,2020,3.60,1.95,8.75,5430,1.71,1.05,9.00
EPIC 249893012,1,3,2020,15.62,3.67,14.67,5430,1.71,1.05,9.00
EPIC 249893012,1,3,2020,35.75,3.94,10.18,5430,1.71,1.05,9.00
GJ 143,1,2,2019,35.61,2.61,22.70,4640,0.69,0.73,3.80
GJ 9827,1,3,2017,1.21,1.58,4.91,4340,0.60,0.61,10.00
GJ 9827,1,3,2017,3.65,1.24,0.84,4340,0.60,0.61,10.00
GJ 9827,1,3,2017,6.20,2.02,4.04,4340,0.60,0.61,10.00
HAT-P-12,1,1,2009,3.21,10.75,67.06,4650,0.70,0.73,2.50
HAT-P-16,3,1,2010,2.78,14.45,"1,332.61",6158,1.24,1.22,2.00
HAT-P-18,1,1,2010,5.51,11.15,62.61,4803,0.75,0.77,12.40
HAT-P-19,1,1,2010,4.01,12.69,92.80,4990,0.82,0.84,8.80
HAT-P-20,1,1,2010,2.88,9.72,"2,302.90",4595,0.69,0.76,6.70
HAT-P-28,1,1,2011,3.26,13.59,198.95,5680,1.10,1.02,6.10
HAT-P-34,1,1,2011,5.45,13.42,"1,058.37",6442,1.53,1.39,1.70
HAT-P-35,3,1,2011,3.65,14.93,335.63,6096,1.44,1.24,3.50
HAT-P-42,1,1,2012,4.64,14.35,331.80,5743,1.53,1.18,5.20
HAT-P-43,1,1,2012,3.33,14.36,210.40,5645,1.10,1.05,5.70
HAT-P-44,1,2,2014,4.30,13.92,111.87,5295,0.95,0.94,7.50
HAT-P-45,1,1,2014,3.13,15.98,283.49,6330,1.32,1.26,2.00
