Month,DayofMonth,DayOfWeek,DepTime,TimeOfDay,UniqueCarrier,Origin,Dest,Distance,dep_delayed_15min
August,21,Sunday,1934,Evening,AA,ATL,DFW,732,N
April,20,Tuesday,1548,Afternoon,US,PIT,MCO,834,N
September,2,Thursday,1422,Afternoon,XE,RDU,CLE,416,N
January,25,Friday,1015,Morning,OO,DEN,MEM,872,N
October,7,Friday,1828,Evening,WN,MDW,OMA,423,Y
August,3,Wednesday,1918,Evening,NW,MEM,MCO,683,N
January,27,Wednesday,754,Morning,DL,PBI,LGA,1035,N
April,29,Friday,635,Morning,OH,MSP,CVG,596,N
July,28,Thursday,735,Morning,AA,ONT,DFW,1189,N
June,20,Monday,2029,Evening,OO,DEN,PSC,853,N
May,21,Friday,1736,Afternoon,DL,BDL,CVG,661,N
March,5,Sunday,1205,Afternoon,WN,PHX,STL,1262,N
October,6,Wednesday,2124,Evening,AS,LAS,SEA,866,N
August,20,Friday,737,Morning,AA,DFW,SJC,1438,N
November,10,Wednesday,1447,Afternoon,UA,DEN,SJC,948,N
September,20,Monday,1642,Afternoon,MQ,DSM,ORD,299,N
September,19,Monday,1801,Evening,CO,CMH,IAH,986,N
July,26,Monday,620,Morning,DL,ORF,ATL,516,N
October,14,Thursday,1704,Afternoon,OO,SLC,SEA,689,Y
October,5,Wednesday,1205,Afternoon,US,PHX,CMH,1671,N
August,22,Monday,1521,Afternoon,AA,CLT,DFW,936,N
June,21,Tuesday,1519,Afternoon,EV,ATL,ILM,377,Y
November,26,Friday,1417,Afternoon,DL,GSO,ATL,306,N
November,9,Tuesday,918,Morning,DH,IAD,CMH,299,N
December,31,Friday,1837,Evening,DL,ATL,MSP,906,N
April,4,Sunday,635,Morning,WN,SMF,PHX,647,N
July,3,Sunday,1350,Afternoon,AA,FLL,LGA,1076,N
April,16,Sunday,1235,Afternoon,WN,DAL,AUS,189,N
May,31,Tuesday,1513,Afternoon,MQ,ORD,SYR,607,N
April,18,Sunday,619,Morning,AA,ORD,LAX,1745,N
August,30,Tuesday,610,Morning,YV,ITO,HNL,216,N
May,9,Sunday,1327,Afternoon,AA,DFW,ORF,1213,N
January,20,Thursday,1130,Morning,DL,ORD,CVG,264,N
December,3,Sunday,1653,Afternoon,EV,ATL,MYR,317,Y
October,1,Friday,1454,Afternoon,DL,SLC,PDX,630,N
March,24,Wednesday,2303,Evening,US,CLT,CHS,168,Y
May,6,Thursday,1728,Afternoon,WN,SAN,SMF,480,Y
May,5,Wednesday,650,Morning,EV,ROA,ATL,357,N
January,28,Thursday,2046,Evening,MQ,LGA,DTW,501,N
July,9,Friday,747,Morning,MQ,ORD,MEM,491,N
September,20,Monday,707,Morning,MQ,SFO,SNA,372,N
July,15,Thursday,1144,Morning,F9,DEN,PHL,1557,N
March,17,Wednesday,823,Morning,DH,GSP,IAD,383,N
April,18,Sunday,1200,Afternoon,WN,SEA,PHX,1107,N
September,8,Thursday,809,Morning,DL,DAB,ATL,366,N
November,10,Wednesday,1825,Evening,WN,SJC,LAX,308,N
March,10,Wednesday,742,Morning,UA,DFW,ORD,802,N
April,12,Monday,1913,Evening,MQ,LIT,DFW,304,N
October,3,Monday,716,Morning,UA,LAX,SEA,954,N
October,20,Thursday,2312,Evening,AQ,OAK,LAS,407,Y
September,9,Friday,1520,Afternoon,YV,SEA,PHX,1107,Y
February,21,Monday,555,Night,YV,COS,PHX,551,N
July,24,Sunday,1050,Morning,OH,OKC,CVG,756,N
August,14,Sunday,1519,Afternoon,TZ,PHX,OGG,2845,N
February,15,Monday,1527,Afternoon,MQ,DFW,ABI,158,N
March,17,Wednesday,551,Night,UA,GRR,ORD,137,N
July,21,Wednesday,1405,Afternoon,HP,SJC,LAS,386,N
December,1,Wednesday,1854,Evening,B6,JFK,PHX,2153,N
September,5,Monday,1831,Evening,FL,ATL,MSP,906,Y
June,7,Tuesday,1020,Morning,WN,BOI,SLC,291,N
October,28,Thursday,658,Morning,CO,ORD,EWR,719,N
January,18,Tuesday,1830,Evening,DL,ATL,MEM,332,N
April,19,Monday,1519,Afternoon,DL,MCI,ATL,692,N
January,27,Thursday,1435,Afternoon,WN,BWI,PVD,328,N
March,26,Friday,1310,Afternoon,AA,BHM,DFW,597,N
April,29,Thursday,1928,Evening,MQ,CRP,DFW,354,N
October,3,Monday,827,Morning,F9,DEN,SFO,967,N
July,22,Thursday,1955,Evening,OH,BOS,RDU,612,N
July,25,Monday,1723,Afternoon,WN,DEN,MDW,895,N
September,4,Sunday,1645,Afternoon,WN,SAT,DAL,248,N
April,8,Friday,631,Morning,XE,PHL,CLE,363,N
June,5,Sunday,1436,Afternoon,US,ORF,PHL,211,N
June,6,Monday,1932,Evening,UA,DEN,DTW,1123,Y
July,2,Sunday,700,Morning,NW,MSP,LAS,1300,N
December,10,Sunday,813,Morning,WN,DAL,SAT,248,N
December,14,Wednesday,1809,Evening,WN,STL,SLC,1156,N
December,15,Wednesday,1230,Afternoon,WN,BOI,RNO,335,N
October,6,Thursday,2010,Evening,OH,LGA,JAX,834,Y
May,15,Sunday,1430,Afternoon,OO,CIC,SFO,153,N
