cook,eating_out,fav_cuisine_coded,fav_food,comfort_food_reasons_coded,healthy_feeling,life_rewarding,fruit_day,veggies_day,sports,type_sports,indian_food,italian_food,Greek_food,thai_food,persian_food
2,3,Arabic/Turkish,home,none,2,1,5,5,yes,car racing,5,5,5,1,5
3,2,Italian/French/Greek,home,stress,5,1,4,4,yes,basketball,4,4,4,2,4
1,2,Italian/French/Greek,both,stress,6,7,5,5,no,none,5,5,5,5,5
2,2,Arabic/Turkish,home,boredom,7,2,4,3,no,none,5,5,5,5,5
1,2,Italian/French/Greek,both,stress,6,1,4,4,yes,softball,2,5,4,4,2
3,1,African,both,hunger,4,4,2,1,no,none,5,5,2,4,5
2,2,Asian/Chinese/Thai,home,stress,4,8,4,4,yes,soccer,5,5,5,5,5
3,2,American,home,stress,3,3,5,4,no,none,1,3,3,1,1
3,5,Italian/French/Greek,both,boredom,7,8,4,3,no,none,5,5,5,5,5
3,3,Italian/French/Greek,home,stress,3,3,5,5,yes,field hockey,4,5,5,4,4
1,2,Asian/Chinese/Thai,home,boredom,9,8,5,5,yes,soccer,1,5,1,2,2
3,1,Italian/French/Greek,home,depression/sadness,1,1,5,5,yes,running,5,5,5,5,5
5,1,Asian/Chinese/Thai,both,depression/sadness,9,9,4,3,yes,soccer,3,4,3,3,3
2,4,Italian/French/Greek,home,stress,8,10,5,5,yes,volleyball,3,5,4,5,3
3,2,Asian/Chinese/Thai,both,boredom,2,1,5,5,yes,hockey,2,3,4,4,1
3,1,Jamaican,home,stress,7,9,5,5,no,none,5,3,2,1,2
3,2,American,both,boredom,8,7,3,4,yes,hockey,3,5,3,3,2
3,3,American,both,depression/sadness,6,9,5,5,no,dancing,1,5,3,1,1
5,4,Spanish/Mexican,both,happiness,5,2,2,3,yes,soccer,1,4,2,1,1
3,1,Indian,store,boredom,8,7,3,2,yes,tennis,5,5,5,5,5
5,1,Italian/French/Greek,home,depression/sadness,2,5,4,3,yes,tennis,5,5,4,4,2
4,2,Asian/Chinese/Thai,home,stress,4,5,3,4,yes,football,4,5,2,4,2
1,4,Asian/Chinese/Thai,home,cold weather,5,2,4,4,no,none,3,5,5,4,3
3,2,None,both,boredom,8,5,4,3,yes,hockey,3,3,3,3,3
3,2,Italian/French/Greek,home,boredom,9,9,3,3,yes,hockey,1,5,1,2,1
4,2,Spanish/Mexican,home,boredom,9,9,5,5,yes,lacrosse,3,4,3,3,2
2,2,Italian/French/Greek,home,boredom,4,3,3,2,no,none,1,5,1,1,2
3,5,Indian,home,boredom,9,10,5,4,no,none,5,5,3,5,5
3,3,Spanish/Mexican,store,stress,7,8,3,5,yes,snowboarding,3,4,2,3,2
2,2,Italian/French/Greek,home,stress,5,3,5,5,no,none,4,5,5,4,3
5,3,Spanish/Mexican,home,hunger,5,8,4,5,yes,soccer,5,5,5,5,5
4,2,Italian/French/Greek,home,boredom,7,3,3,3,no,none,2,5,5,1,2
4,3,Italian/French/Greek,both,boredom,1,3,5,4,yes,softball,1,5,3,3,1
1,2,American,home,boredom,2,3,5,5,yes,lacrosse,1,5,3,2,2
3,4,Italian/French/Greek,both,boredom,7,7,5,5,yes,softball,2,5,3,2,1
2,2,Italian/French/Greek,home,stress,4,2,3,4,yes,dancing,3,5,5,5,3
