Loneliness,Music,Slow songs or fast songs,Dance,Folk,Country,Classical music,Musical,Pop,Rock,Metal or Hardrock,Punk,"Hiphop, Rap","Reggae, Ska","Swing, Jazz",Rock n roll,Alternative,Latino,"Techno, Trance",Opera
Neutral,Strongly Agree,Neutral,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
Disagree,Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Neutral,Strongly Agree,Agree,Agree,Strongly Disagree,Neutral,Strongly Disagree,Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree
Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Neutral,Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Agree,Strongly Disagree,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral
Neutral,Strongly Agree,Neutral,Agree,Neutral,Disagree,Agree,Neutral,Strongly Agree,Neutral,Strongly Disagree,Disagree,Strongly Agree,Neutral,Disagree,Strongly Disagree,Disagree,Agree,Disagree,Disagree
Disagree,Strongly Agree,Neutral,Disagree,Neutral,Disagree,Neutral,Neutral,Disagree,Strongly Agree,Strongly Agree,Neutral,Agree,Neutral,Agree,Agree,Strongly Agree,Neutral,Strongly Disagree,Neutral
Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Disagree,Disagree,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Neutral,Neutral,Strongly Agree,Disagree
Disagree,Strongly Agree,Neutral,Neutral,Disagree,Strongly Disagree,Disagree,Disagree,Agree,Strongly Agree,Strongly Disagree,Disagree,Neutral,Disagree,Disagree,Neutral,Strongly Disagree,Disagree,Neutral,Disagree
Disagree,Strongly Agree,Neutral,Disagree,Strongly Agree,Disagree,Disagree,Strongly Agree,Neutral,Strongly Agree,Disagree,Neutral,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Disagree
Disagree,Strongly Agree,Neutral,Neutral,Disagree,Strongly Disagree,Disagree,Neutral,Agree,Neutral,Disagree,Strongly Disagree,Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,Agree,Disagree
Agree,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Disagree
Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Disagree,Strongly Disagree,Agree,Neutral,Neutral,Strongly Agree,Agree,Disagree,Neutral,Strongly Disagree,Strongly Disagree,Agree,Neutral,Disagree,Strongly Disagree,Disagree
Disagree,Strongly Agree,Neutral,Strongly Agree,Neutral,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Neutral,Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree
Disagree,Strongly Agree,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree,Disagree,Strongly Agree,Neutral,Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree
Disagree,Strongly Agree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Agree,Strongly Disagree,Neutral,Disagree,Neutral,Disagree,Neutral,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree
Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral
Disagree,Strongly Agree,Agree,Neutral,Neutral,Disagree,Agree,Disagree,Disagree,Agree,Strongly Agree,Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Neutral,Agree,Neutral,Disagree
Disagree,Strongly Agree,Neutral,Neutral,Disagree,Neutral,Agree,Neutral,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Neutral,Neutral,Agree
Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Neutral,Disagree,Strongly Disagree,Disagree
Neutral,Strongly Agree,Neutral,Agree,Disagree,Disagree,Disagree,Agree,Agree,Strongly Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree
Agree,Strongly Agree,Disagree,Neutral,Strongly Disagree,Strongly Disagree,Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Neutral,Disagree,Neutral,Agree
Disagree,Strongly Agree,Neutral,Agree,Disagree,Strongly Disagree,Disagree,Neutral,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree
Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Agree,Neutral,Disagree,Disagree,Strongly Disagree,Neutral,Strongly Agree,Neutral,Strongly Agree,Disagree,Disagree
Neutral,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Strongly Disagree,Neutral,Strongly Agree,Disagree,Strongly Disagree,Agree,Neutral,Disagree,Neutral,Strongly Disagree
Neutral,Strongly Agree,Agree,Neutral,Agree,Disagree,Neutral,Neutral,Neutral,Agree,Strongly Disagree,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Agree,Neutral,Disagree
Disagree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Disagree,Disagree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral
Disagree,Agree,Neutral,Agree,Strongly Disagree,Neutral,Disagree,Neutral,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree
Strongly Disagree,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Neutral,Disagree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Neutral,Strongly Disagree
Neutral,Strongly Agree,Agree,Disagree,Disagree,Neutral,Agree,Strongly Agree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Agree,Neutral,Disagree,Strongly Disagree,Strongly Agree
Disagree,Strongly Agree,Agree,Neutral,Disagree,Strongly Disagree,Neutral,Agree,Agree,Strongly Agree,Neutral,Agree,Disagree,Neutral,Neutral,Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree
