Class,Cap Shape,Cap Surface,Cap Color,Bruises?,Odor,Gill Attachment,Gill Spacing,Gill Size,Gill Color,Stalk Shape,Stalk Root,Stalk Surface Above Ring,Stalk Surface Below Ring,Stalk Color Above Ring,Stalk Color Below Ring,Veil Color,Ring Number,Ring Type,Spore Print Color,Population,Habitat
Poisonous,Convex,Smooth,Brown,Yes,Pungent,Free,Close,Narrow,Black,Enlarging,Equal,Smooth,Smooth,White,White,White,One,Pendant,Black,Scattered,Urban
Edible,Convex,Smooth,Yellow,Yes,Almond,Free,Close,Broad,Black,Enlarging,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Numerous,Grasses
Edible,Bell,Smooth,White,Yes,Anise,Free,Close,Broad,Brown,Enlarging,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Numerous,Meadows
Poisonous,Convex,Scaly,White,Yes,Pungent,Free,Close,Narrow,Brown,Enlarging,Equal,Smooth,Smooth,White,White,White,One,Pendant,Black,Scattered,Urban
Edible,Convex,Smooth,Gray,No,None,Free,Crowded,Broad,Black,Tapering,Equal,Smooth,Smooth,White,White,White,One,Evanescent,Brown,Abundant,Grasses
Edible,Convex,Scaly,Yellow,Yes,Almond,Free,Close,Broad,Brown,Enlarging,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Numerous,Grasses
Edible,Bell,Smooth,White,Yes,Almond,Free,Close,Broad,Gray,Enlarging,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Numerous,Meadows
Edible,Bell,Scaly,White,Yes,Anise,Free,Close,Broad,Brown,Enlarging,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Scattered,Meadows
Poisonous,Convex,Scaly,White,Yes,Pungent,Free,Close,Narrow,Pink,Enlarging,Equal,Smooth,Smooth,White,White,White,One,Pendant,Black,Several,Grasses
Edible,Bell,Smooth,Yellow,Yes,Almond,Free,Close,Broad,Gray,Enlarging,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Scattered,Meadows
Edible,Convex,Scaly,Yellow,Yes,Anise,Free,Close,Broad,Gray,Enlarging,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Numerous,Grasses
Edible,Convex,Scaly,Yellow,Yes,Almond,Free,Close,Broad,Brown,Enlarging,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Scattered,Meadows
Edible,Bell,Smooth,Yellow,Yes,Almond,Free,Close,Broad,White,Enlarging,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Scattered,Grasses
Poisonous,Convex,Scaly,White,Yes,Pungent,Free,Close,Narrow,Black,Enlarging,Equal,Smooth,Smooth,White,White,White,One,Pendant,Brown,Several,Urban
Edible,Convex,Fibrous,Brown,No,None,Free,Crowded,Broad,Brown,Tapering,Equal,Smooth,Fibrous,White,White,White,One,Evanescent,Black,Abundant,Grasses
Edible,Sunken,Fibrous,Gray,No,None,Free,Close,Narrow,Black,Enlarging,Equal,Smooth,Smooth,White,White,White,One,Pendant,Brown,Solitary,Urban
Edible,Flat,Fibrous,White,No,None,Free,Crowded,Broad,Black,Tapering,Equal,Smooth,Smooth,White,White,White,One,Evanescent,Brown,Abundant,Grasses
Poisonous,Convex,Smooth,Brown,Yes,Pungent,Free,Close,Narrow,Brown,Enlarging,Equal,Smooth,Smooth,White,White,White,One,Pendant,Black,Scattered,Grasses
Poisonous,Convex,Scaly,White,Yes,Pungent,Free,Close,Narrow,Brown,Enlarging,Equal,Smooth,Smooth,White,White,White,One,Pendant,Brown,Scattered,Urban
Poisonous,Convex,Smooth,Brown,Yes,Pungent,Free,Close,Narrow,Black,Enlarging,Equal,Smooth,Smooth,White,White,White,One,Pendant,Brown,Scattered,Urban
Edible,Bell,Smooth,Yellow,Yes,Almond,Free,Close,Broad,Black,Enlarging,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Scattered,Meadows
Poisonous,Convex,Scaly,Brown,Yes,Pungent,Free,Close,Narrow,Brown,Enlarging,Equal,Smooth,Smooth,White,White,White,One,Pendant,Brown,Several,Grasses
Edible,Bell,Scaly,Yellow,Yes,Anise,Free,Close,Broad,Black,Enlarging,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Scattered,Meadows
Edible,Bell,Scaly,White,Yes,Almond,Free,Close,Broad,White,Enlarging,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Numerous,Meadows
Edible,Bell,Smooth,White,Yes,Anise,Free,Close,Broad,Gray,Enlarging,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Scattered,Meadows
Poisonous,Flat,Smooth,White,Yes,Pungent,Free,Close,Narrow,Brown,Enlarging,Equal,Smooth,Smooth,White,White,White,One,Pendant,Brown,Several,Grasses
Edible,Convex,Scaly,Yellow,Yes,Almond,Free,Close,Broad,Brown,Enlarging,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Numerous,Meadows
Edible,Convex,Scaly,White,Yes,Anise,Free,Close,Broad,White,Enlarging,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Numerous,Meadows
Edible,Flat,Fibrous,Brown,No,None,Free,Close,Narrow,Black,Enlarging,Equal,Smooth,Smooth,White,White,White,One,Pendant,Black,Solitary,Urban
Edible,Convex,Smooth,Yellow,Yes,Almond,Free,Crowded,Narrow,Brown,Tapering,Bulbous,Smooth,Smooth,White,White,White,One,Pendant,Brown,Several,Woods
Edible,Bell,Smooth,Yellow,Yes,Anise,Free,Close,Broad,Gray,Enlarging,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Numerous,Meadows
Poisonous,Convex,Scaly,White,Yes,Pungent,Free,Close,Narrow,Black,Enlarging,Equal,Smooth,Smooth,White,White,White,One,Pendant,Brown,Scattered,Urban
Edible,Convex,Scaly,Yellow,Yes,Anise,Free,Close,Broad,Brown,Enlarging,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Numerous,Meadows
Edible,Convex,Scaly,Brown,Yes,Anise,Free,Close,Broad,Pink,Enlarging,Rooted,Smooth,Scaly,White,White,White,One,Pendant,Brown,Solitary,Paths
Edible,Bell,Scaly,Yellow,Yes,Anise,Free,Close,Broad,Brown,Enlarging,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Scattered,Meadows
Edible,Convex,Fibrous,Yellow,Yes,Anise,Free,Crowded,Narrow,White,Tapering,Bulbous,Smooth,Smooth,White,White,White,One,Pendant,Brown,Several,Woods
Edible,Sunken,Fibrous,Gray,No,None,Free,Close,Narrow,Black,Enlarging,Equal,Smooth,Smooth,White,White,White,One,Pendant,Black,Several,Urban
Poisonous,Convex,Scaly,Brown,Yes,Pungent,Free,Close,Narrow,White,Enlarging,Equal,Smooth,Smooth,White,White,White,One,Pendant,Brown,Scattered,Urban
Edible,Convex,Fibrous,Yellow,Yes,Almond,Free,Crowded,Narrow,Pink,Tapering,Bulbous,Smooth,Smooth,White,White,White,One,Pendant,Brown,Several,Woods
Edible,Bell,Smooth,Yellow,Yes,Anise,Free,Close,Broad,Black,Enlarging,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Scattered,Meadows
Edible,Bell,Scaly,Yellow,Yes,Almond,Free,Close,Broad,Brown,Enlarging,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Scattered,Grasses
Edible,Convex,Scaly,Yellow,Yes,Anise,Free,Close,Broad,Brown,Enlarging,Rooted,Smooth,Scaly,White,White,White,One,Pendant,Black,Solitary,Paths
Edible,Convex,Fibrous,Brown,No,None,Free,Close,Narrow,Gray,Enlarging,Equal,Smooth,Smooth,White,White,White,One,Pendant,Black,Solitary,Urban
Poisonous,Convex,Scaly,White,Yes,Pungent,Free,Close,Narrow,Pink,Enlarging,Equal,Smooth,Smooth,White,White,White,One,Pendant,Brown,Several,Grasses
Edible,Convex,Smooth,Yellow,Yes,Almond,Free,Close,Broad,White,Enlarging,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Numerous,Meadows
Edible,Convex,Scaly,White,Yes,Almond,Free,Close,Broad,Brown,Enlarging,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Numerous,Grasses
Edible,Convex,Scaly,Yellow,Yes,Anise,Free,Close,Broad,Black,Enlarging,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Scattered,Meadows
Edible,Convex,Smooth,White,Yes,Anise,Free,Close,Broad,White,Enlarging,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Numerous,Meadows
Edible,Convex,Scaly,Yellow,Yes,Anise,Free,Close,Broad,Brown,Enlarging,Rooted,Smooth,Scaly,White,White,White,One,Pendant,Brown,Scattered,Paths
Edible,Flat,Scaly,Yellow,Yes,Anise,Free,Close,Broad,White,Enlarging,Rooted,Smooth,Scaly,White,White,White,One,Pendant,Black,Scattered,Paths
Edible,Convex,Scaly,Brown,Yes,Almond,Free,Close,Broad,White,Enlarging,Rooted,Smooth,Scaly,White,White,White,One,Pendant,Black,Scattered,Grasses
Edible,Convex,Smooth,White,Yes,Anise,Free,Close,Broad,Black,Enlarging,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Scattered,Grasses
Edible,Bell,Smooth,White,Yes,Anise,Free,Close,Broad,Black,Enlarging,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Numerous,Meadows
Poisonous,Convex,Scaly,Brown,Yes,Pungent,Free,Close,Narrow,Black,Enlarging,Equal,Smooth,Smooth,White,White,White,One,Pendant,Brown,Several,Urban
Poisonous,Convex,Smooth,White,Yes,Pungent,Free,Close,Narrow,Black,Enlarging,Equal,Smooth,Smooth,White,White,White,One,Pendant,Black,Several,Urban
Edible,Bell,Scaly,Yellow,Yes,Almond,Free,Close,Broad,White,Enlarging,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Scattered,Meadows
Edible,Flat,Fibrous,Gray,No,None,Free,Crowded,Broad,Brown,Tapering,Equal,Smooth,Smooth,White,White,White,One,Evanescent,Brown,Abundant,Grasses
Edible,Bell,Smooth,White,Yes,Almond,Free,Close,Broad,White,Enlarging,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Numerous,Grasses
Edible,Convex,Smooth,Yellow,Yes,Anise,Free,Close,Broad,Black,Enlarging,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Numerous,Grasses
Edible,Convex,Scaly,Brown,Yes,Almond,Free,Close,Broad,Pink,Enlarging,Rooted,Smooth,Scaly,White,White,White,One,Pendant,Black,Solitary,Paths
Edible,Sunken,Fibrous,Gray,No,None,Free,Close,Narrow,Black,Enlarging,Equal,Smooth,Smooth,White,White,White,One,Pendant,Brown,Several,Urban
Edible,Bell,Scaly,Yellow,Yes,Almond,Free,Close,Broad,Black,Enlarging,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Scattered,Meadows
Edible,Bell,Smooth,Yellow,Yes,Anise,Free,Close,Broad,Gray,Enlarging,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Scattered,Meadows
Edible,Bell,Scaly,Yellow,Yes,Anise,Free,Close,Broad,Gray,Enlarging,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Numerous,Meadows
Edible,Bell,Scaly,White,Yes,Anise,Free,Close,Broad,Brown,Enlarging,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Scattered,Grasses
Edible,Flat,Smooth,Brown,No,None,Free,Crowded,Broad,Black,Tapering,Equal,Smooth,Smooth,White,White,White,One,Evanescent,Black,Abundant,Grasses
Edible,Convex,Smooth,White,Yes,Anise,Free,Close,Broad,Brown,Enlarging,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Scattered,Grasses
Edible,Flat,Scaly,Yellow,Yes,Almond,Free,Close,Broad,White,Enlarging,Rooted,Smooth,Scaly,White,White,White,One,Pendant,Brown,Scattered,Grasses
Edible,Convex,Scaly,Yellow,Yes,Almond,Free,Close,Broad,White,Enlarging,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Numerous,Grasses
Edible,Convex,Fibrous,Gray,No,None,Free,Close,Narrow,Pink,Enlarging,Equal,Smooth,Smooth,White,White,White,One,Pendant,Brown,Several,Urban
Edible,Flat,Fibrous,Yellow,Yes,Anise,Free,Crowded,Narrow,Pink,Tapering,Bulbous,Smooth,Smooth,White,White,White,One,Pendant,Brown,Several,Woods
Edible,Bell,Scaly,White,Yes,Anise,Free,Close,Broad,Gray,Enlarging,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Scattered,Meadows
Edible,Flat,Fibrous,Yellow,Yes,Anise,Free,Crowded,Narrow,White,Tapering,Bulbous,Smooth,Smooth,White,White,White,One,Pendant,Brown,Several,Woods
Edible,Convex,Scaly,Brown,Yes,Almond,Free,Close,Broad,Pink,Enlarging,Rooted,Smooth,Scaly,White,White,White,One,Pendant,Black,Scattered,Paths
Edible,Bell,Smooth,Yellow,Yes,Almond,Free,Close,Broad,Black,Enlarging,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Scattered,Grasses
Edible,Flat,Smooth,Yellow,Yes,Anise,Free,Crowded,Narrow,Pink,Tapering,Bulbous,Smooth,Smooth,White,White,White,One,Pendant,Brown,Several,Woods
Edible,Convex,Smooth,White,Yes,Anise,Free,Crowded,Narrow,Brown,Tapering,Bulbous,Smooth,Smooth,White,White,White,One,Pendant,Purple,Several,Woods
Edible,Flat,Scaly,Brown,Yes,Anise,Free,Close,Broad,Pink,Enlarging,Rooted,Smooth,Scaly,White,White,White,One,Pendant,Brown,Solitary,Paths
Poisonous,Convex,Scaly,Brown,Yes,Pungent,Free,Close,Narrow,White,Enlarging,Equal,Smooth,Smooth,White,White,White,One,Pendant,Brown,Several,Urban
Edible,Flat,Scaly,Brown,Yes,Almond,Free,Close,Broad,Brown,Enlarging,Rooted,Smooth,Scaly,White,White,White,One,Pendant,Brown,Solitary,Grasses
Edible,Convex,Smooth,Brown,No,None,Free,Crowded,Broad,Black,Tapering,Equal,Fibrous,Smooth,White,White,White,One,Evanescent,Brown,Scattered,Grasses
Poisonous,Convex,Scaly,White,Yes,Pungent,Free,Close,Narrow,White,Enlarging,Equal,Smooth,Smooth,White,White,White,One,Pendant,Black,Scattered,Grasses
Edible,Flat,Fibrous,Gray,No,None,Free,Close,Narrow,Brown,Enlarging,Equal,Smooth,Smooth,White,White,White,One,Pendant,Brown,Solitary,Urban
Edible,Convex,Fibrous,Gray,No,None,Free,Crowded,Broad,Brown,Tapering,Equal,Smooth,Smooth,White,White,White,One,Evanescent,Brown,Scattered,Grasses
Edible,Convex,Scaly,Yellow,Yes,Anise,Free,Close,Broad,White,Enlarging,Rooted,Smooth,Scaly,White,White,White,One,Pendant,Black,Scattered,Grasses
Edible,Convex,Smooth,Brown,No,None,Free,Crowded,Broad,Black,Tapering,Equal,Smooth,Smooth,White,White,White,One,Evanescent,Black,Scattered,Grasses
Edible,Bell,Smooth,White,Yes,Almond,Free,Close,Broad,White,Enlarging,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Scattered,Grasses
Edible,Convex,Smooth,White,Yes,Anise,Free,Close,Broad,Brown,Enlarging,Club,Smooth,Smooth,White,White,White,One,Pendant,Brown,Scattered,Grasses
Edible,Flat,Scaly,Brown,Yes,Anise,Free,Close,Broad,White,Enlarging,Rooted,Smooth,Scaly,White,White,White,One,Pendant,Black,Solitary,Grasses
Edible,Sunken,Fibrous,Brown,No,None,Free,Close,Narrow,Brown,Enlarging,Equal,Smooth,Smooth,White,White,White,One,Pendant,Brown,Several,Urban
Edible,Convex,Fibrous,Brown,No,None,Free,Close,Narrow,Brown,Enlarging,Equal,Smooth,Smooth,White,White,White,One,Pendant,Brown,Solitary,Urban
Edible,Bell,Smooth,White,Yes,Anise,Free,Close,Broad,Black,Enlarging,Club,Smooth,Smooth,White,White,White,One,Pendant,Black,Scattered,Grasses
