Sky,Temperature,Ground,Wind,Recess
sunny,hot,dry,calm,Outside
sunny,hot,dry,windy,Outside
sunny,hot,wet,calm,Outside
sunny,hot,wet,windy,Outside
sunny,hot,icy,calm,Inside
sunny,hot,icy,windy,Inside
sunny,mild,dry,calm,Outside
sunny,mild,dry,windy,Outside
sunny,mild,wet,calm,Outside
sunny,mild,wet,windy,Outside
sunny,mild,icy,calm,Inside
sunny,mild,icy,windy,Inside
sunny,cold,dry,calm,Outside
sunny,cold,dry,windy,Inside
sunny,cold,wet,calm,Outside
sunny,cold,wet,windy,Inside
sunny,cold,icy,calm,Inside
sunny,cold,icy,windy,Inside
cloudy,hot,dry,calm,Outside
cloudy,hot,dry,windy,Outside
cloudy,hot,wet,calm,Outside
cloudy,hot,wet,windy,Outside
cloudy,hot,icy,calm,Inside
cloudy,hot,icy,windy,Inside
cloudy,mild,dry,calm,Outside
cloudy,mild,dry,windy,Outside
cloudy,mild,wet,calm,Outside
cloudy,mild,wet,windy,Outside
cloudy,mild,icy,calm,Inside
cloudy,mild,icy,windy,Inside
cloudy,cold,dry,calm,Outside
cloudy,cold,dry,windy,Inside
cloudy,cold,wet,calm,Outside
cloudy,cold,wet,windy,Inside
cloudy,cold,icy,calm,Inside
cloudy,cold,icy,windy,Inside
rainy,hot,dry,calm,Inside
rainy,hot,dry,windy,Inside
rainy,hot,wet,calm,Inside
rainy,hot,wet,windy,Inside
rainy,hot,icy,calm,Inside
rainy,hot,icy,windy,Inside
rainy,mild,dry,calm,Inside
rainy,mild,dry,windy,Inside
rainy,mild,wet,calm,Inside
rainy,mild,wet,windy,Inside
rainy,mild,icy,calm,Inside
rainy,mild,icy,windy,Inside
rainy,cold,dry,calm,Inside
rainy,cold,dry,windy,Inside
rainy,cold,wet,calm,Inside
rainy,cold,wet,windy,Inside
rainy,cold,icy,calm,Inside
rainy,cold,icy,windy,Inside
