Material,Condition,Flexible,Where It Goes
plastic,clean,no,Recycle
plastic,clean,no,Recycle
plastic,clean,no,Recycle
plastic,clean,yes,Trash
plastic,clean,yes,Trash
plastic,clean,yes,Trash
plastic,dirty,no,Trash
plastic,dirty,no,Trash
plastic,dirty,no,Trash
plastic,dirty,yes,Trash
plastic,dirty,yes,Trash
plastic,dirty,yes,Trash
paper,clean,no,Recycle
paper,clean,no,Recycle
paper,clean,no,Recycle
paper,clean,yes,Recycle
paper,clean,yes,Recycle
paper,clean,yes,Recycle
paper,dirty,no,Compost
paper,dirty,no,Compost
paper,dirty,no,Compost
paper,dirty,yes,Compost
paper,dirty,yes,Compost
paper,dirty,yes,Compost
metal,clean,no,Recycle
metal,clean,no,Recycle
metal,clean,no,Recycle
metal,clean,yes,Recycle
metal,clean,yes,Recycle
metal,clean,yes,Recycle
metal,dirty,no,Trash
metal,dirty,no,Trash
metal,dirty,no,Trash
metal,dirty,yes,Trash
metal,dirty,yes,Trash
metal,dirty,yes,Trash
glass,clean,no,Recycle
glass,clean,no,Recycle
glass,clean,no,Recycle
glass,dirty,no,Recycle
glass,dirty,no,Recycle
glass,dirty,no,Recycle
food,clean,no,Compost
food,clean,no,Compost
food,clean,no,Compost
food,clean,yes,Compost
food,clean,yes,Compost
food,clean,yes,Compost
food,dirty,no,Compost
food,dirty,no,Compost
food,dirty,no,Compost
food,dirty,yes,Compost
food,dirty,yes,Compost
food,dirty,yes,Compost
