sides,border color,fill color,background color,size,shape
0,black,pink,white,big,circle
4,black,pink,white,big,square
0,black,yellow,white,big,circle
0,red,yellow,white,big,circle
0,black,yellow,white,big,circle
4,orange,pink,white,big,square
0,red,yellow,white,small,circle
0,red,yellow,white,big,circle
4,black,brown,white,small,square
3,red,white,white,small,triangle
0,red,yellow,white,big,circle
4,orange,white,white,big,square
0,black,yellow,white,big,circle
3,red,white,white,big,triangle
4,black,brown,white,small,square
3,red,purple,white,small,triangle
3,green,white,white,big,triangle
0,blue,yellow,white,big,circle
4,black,brown,white,big,square
4,black,pink,white,big,square
3,green,brown,white,big,triangle
4,black,brown,white,big,square
4,green,yellow,white,big,square
3,green,yellow,white,small,triangle
3,green,purple,white,small,triangle
4,black,purple,white,small,square
4,black,brown,white,big,square
3,green,white,white,small,triangle
4,green,white,white,big,square
3,red,yellow,white,small,triangle
0,black,yellow,white,small,circle
3,orange,brown,white,small,triangle
3,red,yellow,white,small,triangle
3,black,white,white,small,triangle
4,orange,pink,white,small,square
0,red,yellow,white,small,circle
3,green,white,white,small,triangle
3,green,yellow,white,small,triangle
0,orange,yellow,white,big,circle
3,red,purple,white,big,triangle
4,black,yellow,white,big,square
3,blue,yellow,white,small,triangle
4,black,white,white,big,square
3,green,brown,white,small,triangle
3,red,brown,white,small,triangle
3,red,pink,white,big,triangle
0,blue,yellow,white,small,circle
0,blue,brown,white,small,circle
4,black,pink,white,big,square
4,orange,pink,white,big,square
3,red,white,white,small,triangle
4,black,pink,white,big,square
3,red,white,white,small,triangle
4,black,purple,white,big,square
0,red,yellow,white,big,circle
4,black,brown,white,big,square
3,red,yellow,white,big,triangle
3,green,pink,white,small,triangle
0,red,yellow,white,big,circle
0,blue,pink,white,small,circle
4,black,pink,white,small,square
0,black,yellow,white,big,circle
3,red,brown,white,small,triangle
4,red,yellow,white,big,square
0,red,yellow,white,big,circle
4,green,purple,white,big,square
0,red,pink,white,big,circle
4,black,purple,white,big,square
0,red,yellow,white,big,circle
3,green,brown,white,small,triangle
4,black,brown,white,big,square
3,red,white,white,small,triangle
3,red,pink,white,small,triangle
3,red,pink,white,small,triangle
3,green,purple,white,small,triangle
4,black,yellow,white,big,square
0,orange,yellow,white,big,circle
3,red,pink,white,big,triangle
0,red,yellow,white,big,circle
4,blue,white,white,small,square
4,black,white,white,small,square
0,red,pink,white,big,circle
3,green,white,white,big,triangle
3,green,brown,white,small,triangle
3,red,brown,white,small,triangle
3,red,pink,white,small,triangle
3,red,yellow,white,small,triangle
3,black,white,white,small,triangle
4,black,purple,white,big,square
4,black,white,white,small,square
4,black,brown,white,small,square
0,blue,yellow,white,big,circle
4,black,yellow,white,big,square
4,black,pink,white,small,square
3,black,white,white,small,triangle
4,black,brown,white,big,square
4,red,brown,white,small,square
4,black,brown,white,small,square
3,orange,purple,white,small,triangle
4,black,brown,white,small,square
