valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo
0.0807,1991,0.985,"['Wolfgang Amadeus Mozart', 'Robert Lloyd', 'Thomas Allen', 'Simone Alaimo', 'Ambrosian Opera Chorus', 'Academy of St. Martin in the Fields', 'Sir Neville Marriner']",0.231,397987,0.259,0,6Gwe5OirRoZKyWANGWG90D,0.212,10,0.121,-14.892,1,"Don Giovanni, K.527 / Act 2: ""Don Giovanni, a cenar teco m'invitasti""",30,1991,0.0409,77.924
0.396,1991,0.764,['Antonio Aguilar'],0.471,214355,0.139,0,7FcSZOqpzFtoJLRwyH5M9C,1.11E-05,2,0.0791,-11.212,1,Albur De Amor,37,12/19/91,0.0375,122.69
0.652,1991,0.28,['Tom Petty and the Heartbreakers'],0.703,238173,0.536,0,0736w0GUZoRcKXXx3oyirg,0,0,0.17,-10.523,1,Built To Last,31,1/1/91,0.0271,110.946
0.457,1991,0.864,"['Francisco Tárrega', 'Julian Bream']",0.196,236013,0.211,0,1qxc1Xn2oTtEMX2AEGSAd9,0.836,9,0.0936,-24.619,1,Recuerdos de la Alhambra,31,1991,0.0435,148.681
0.0642,1991,0.000256,['Nirvana'],0.271,403093,0.959,0,1uGTyfBZkQpyS0wLEAdlvh,0.854,7,0.0858,-5.866,1,"Endless, Nameless",27,9/26/91,0.125,131.846
0.119,1991,0.745,['Manuel & The Music Of The Mountains'],0.228,224800,0.346,0,2ALPECYsOxZ0qQlxnQPlj6,0.881,2,0.185,-10.995,1,Moonglow and Theme from Picnic,36,1991,0.0309,81.718
0.742,1991,0.00428,['Rod Stewart'],0.619,254493,0.956,0,4LfiynrV5kgv5EgjYYLdOD,3.47E-05,5,0.0604,-6.886,0,It Takes Two - 2008 Remaster,42,1991,0.0648,141.221
0.923,1991,0.0051,['George Thorogood & The Destroyers'],0.422,251693,0.78,0,4UwVbkaxvDinclXFFvQl9S,0.00682,5,0.295,-10.445,1,If You Don't Start Drinkin' (I'm Gonna Leave),32,1/1/91,0.0311,163.072
0.233,1991,0.764,['My Bloody Valentine'],0.231,206267,0.452,0,4Yzom8WJVugy6Z1A58d1gp,0.864,10,0.111,-16.886,0,Moon Song (EP Version),27,2/20/91,0.0418,99.951
0.674,1991,0.044,['Antonio Aguilar'],0.655,195338,0.437,0,4g8P6RbwvuN58qNrDLA7Yi,0.000208,0,0.247,-8.301,1,La Puerta Negra,35,12/19/91,0.038,127.968
0.82,1991,0.77,['Juan Valentin'],0.684,126034,0.447,0,4lLSLpvZQTdEr1ORl4Yjon,0,9,0.166,-6.352,1,Noches Tenebrosas,31,12/19/91,0.039,105.851
0.342,1991,0.00304,['Europe'],0.541,321267,0.742,0,5fPIx4t5vomPE9cWnTL6gv,0,9,0.124,-7.79,1,I'll Cry For You,47,8/31/91,0.0284,99.032
