"State","Age.Percent 65 and Older","Age.Percent Under 18 Years","Age.Percent Under 5 Years","Education.Bachelor's Degree or Higher","Education.High School or Higher","Employment.Nonemployer Establishments","Employment.Private Non-farm Employment","Employment.Private Non-farm Employment Percent Change","Employment.Private Non-farm Establishments","Ethnicities.American Indian and Alaska Native Alone","Ethnicities.Asian Alone","Ethnicities.Black Alone","Ethnicities.Hispanic or Latino","Ethnicities.Native Hawaiian and Other Pacific Islander Alone","Ethnicities.Two or More Races","Ethnicities.White Alone","Ethnicities.White Alone, not Hispanic or Latino","Housing.Homeownership Rate","Housing.Households","Housing.Housing Units","Housing.Median Value of Owner-Occupied Units","Housing.Persons per Household","Housing.Units in Multi-Unit Structures","Income.Median Houseold Income","Income.Per Capita Income","Income.Persons Below Poverty Level","Miscellaneous.Building Permits","Miscellaneous.Foreign Born","Miscellaneous.Land Area","Miscellaneous.Language Other than English at Home","Miscellaneous.Living in Same House +1 Years","Miscellaneous.Manufacturers Shipments","Miscellaneous.Mean Travel Time to Work","Miscellaneous.Percent Female","Miscellaneous.Veterans","Population.2010 Population","Population.2014 Population","Population.Population Percent Change","Population.Population per Square Mile","Sales.Accommodation and Food Services Sales","Sales.Merchant Wholesaler Sales","Sales.Retail Sales","Sales.Retail Sales per Capita","Employment.Firms.American Indian-Owned","Employment.Firms.Asian-Owned","Employment.Firms.Black-Owned","Employment.Firms.Hispanic-Owned","Employment.Firms.Native Hawaiian and Other Pacific Islander-Owned","Employment.Firms.Total","Employment.Firms.Women-Owned"
"United States","14.5","23.1","6.2","28.8","86.0","23005620","118266253","2.0","7488353","1.2","5.4","13.2","17.4","0.2","2.5","77.4","62.1","64.9","115610216","133957180","176700","2.63","26.0","53046","28155","15.4","1046363","12.9","3531905.43","20.7","84.9","53194563","25.5","50.8","21263779","308745538","318857056","3.3","87.4","6137957","41742865","39176634","12990","0.9","5.7","7.1","8.3","0.1","27092908","28.8"
"Alabama","15.3","22.8","6.1","22.6","83.1","311578","1603100","1.1","97578","0.7","1.3","26.7","4.1","0.1","1.5","69.7","66.2","69.7","1838683","2207912","122500","2.55","15.9","43253","23680","18.6","13369","3.5","50645.33","5.2","85.0","1128588","24.2","51.5","388865","4779736","4849377","1.4","94.4","64263","522527","573448","12364","0.8","1.8","14.8","1.2","0.1","382350","28.1"
"Alaska","9.4","25.3","7.4","27.5","91.6","52991","266627","3.3","20519","14.8","6.1","3.9","6.8","1.3","7.1","66.9","61.9","63.8","251899","308583","241800","2.75","24.0","70760","32651","9.9","1518","7.0","570640.95","16.2","80.3","82040","18.8","47.4","71004","710231","736732","3.7","1.2","18512","45636","93033","13635","10.0","3.1","1.5","0.0","0.3","68728","25.9"
"Arizona","15.9","24.1","6.4","26.9","85.7","420233","2173205","1.8","132762","5.3","3.3","4.7","30.5","0.3","2.7","83.7","56.2","64.4","2370289","2909218","165100","2.67","20.7","49774","25358","17.9","26997","13.4","113594.08","26.8","80.4","579778","24.6","50.3","522382","6392017","6731484","5.3","56.3","132685","575734","867588","13637","1.9","3.3","2.0","10.7","0.0","491529","28.1"
"Arkansas","15.7","23.8","6.5","20.1","83.7","191530","978094","0.0","64772","1.0","1.5","15.6","7.0","0.3","1.9","79.7","73.4","66.7","1129723","1341033","107300","2.53","15.7","40768","22170","19.2","7666","4.5","52035.48","7.2","83.6","607355","21.3","50.9","237311","2915918","2966369","1.7","56.0","35597","296597","329742","11602","1.1","1.4","5.5","2.3","0.1","238994","24.5"
"California","12.9","23.6","6.5","30.7","81.2","2983996","13401863","3.5","874243","1.7","14.4","6.5","38.6","0.5","3.7","73.2","38.5","55.3","12542460","13900766","366400","2.94","31.0","61094","29527","15.9","83645","27.0","155779.22","43.7","84.2","4913720","27.2","50.3","1893539","37253956","38802500","4.2","239.1","808527","5984564","4550322","12561","1.3","14.9","4.0","16.5","0.3","3425510","30.3"
"Colorado","12.7","23.3","6.3","37.0","90.2","447586","2090975","2.7","154875","1.6","3.1","4.5","21.2","0.2","2.9","87.7","69.0","65.4","1977591","2276184","236200","2.53","25.9","58433","31109","13.2","28686","9.7","103641.89","16.8","80.7","463319","24.5","49.8","399458","5029196","5355866","6.5","48.5","114403","535989","658967","13609","0.8","2.6","1.7","6.2","0.1","547770","29.2"
"Connecticut","15.5","21.6","5.3","36.5","89.2","263511","1473605","0.7","88498","0.5","4.5","11.5","15.0","0.1","2.2","81.2","68.8","67.8","1355849","1493564","278900","2.55","34.4","69461","37892","10.2","5329","13.6","4842.36","21.5","88.0","584048","24.8","51.2","217947","3574097","3596677","0.6","738.1","91384","1079170","521654","14953","0.5","3.3","4.4","4.2","0.0","332150","28.1"
"Delaware","16.4","21.8","6.0","28.9","87.7","56861","382128","5.1","24151","0.7","3.8","22.2","8.9","0.1","2.5","70.8","63.7","72.5","335707","417437","235800","2.63","17.6","59878","29819","11.7","5194","8.4","1948.54","12.6","86.3","256799","24.8","51.6","75081","897934","935614","4.2","460.8","19107","57274","142020","16421","0.0","4.0","8.7","2.1","0.0","74573","26.1"
"District Of Columbia","11.3","17.5","6.5","52.4","88.4","52262","491130","1.7","21919","0.6","4.0","49.0","10.4","0.2","2.6","43.6","35.8","42.1","263649","306174","445200","2.2","62.3","65830","45290","18.6","4189","13.8","61.05","15.8","80.6","3328","29.7","52.6","30520","601723","658893","9.5","9856.5","42781","21179","38437","6555","0.9","5.9","28.2","6.1","0.0","55887","34.5"
