Music,Slow songs or fast songs,Dance,Folk,Country,Classical music,Musical,Pop,Rock,Metal or Hardrock,Punk,"Hiphop, Rap","Reggae, Ska","Swing, Jazz",Rock n roll,Alternative,Latino,"Techno, Trance",Opera,Movies,Horror,Thriller,Comedy,Romantic,Sci-fi,War,Fantasy/Fairy tales,Animated,Documentary,Western,Action,History,Psychology,Politics,Mathematics,Physics,Internet,PC,Economy Management,Biology,Chemistry,Reading,Geography,Foreign languages,Medicine,Law,Cars,Art exhibitions,Religion,"Countryside, outdoors",Dancing,Musical instruments,Writing,Passive sport,Active sport,Gardening,Celebrities,Shopping,Science and technology,Theatre,Fun with friends,Adrenaline sports,Pets,Flying,Storm,Darkness,Heights,Spiders,Snakes,Rats,Ageing,Dangerous dogs,Fear of public speaking,Smoking,Alcohol,Healthy eating,Daily events,Prioritising workload,Writing notes,Workaholism,Thinking ahead,Final judgement,Reliability,Keeping promises,Loss of interest,Friends versus money,Funniness,Fake,Criminal damage,Decision making,Elections,Self-criticism,Judgment calls,Hypochondria,Empathy,Eating to survive,Giving,Compassion to animals,Borrowed stuff,Loneliness,Cheating in school,Health,Changing the past,God,Dreams,Charity,Number of friends,Punctuality,Lying,Waiting,New environment,Mood swings,Appearence and gestures,Socializing,Achievements,Responding to a serious letter,Children,Assertiveness,Getting angry,Knowing the right people,Public speaking,Unpopularity,Life struggles,Happiness in life,Energy levels,Small - big dogs,Personality,Finding lost valuables,Getting up,Interests or hobbies,Parents' advice,Questionnaires or polls,Internet usage,Finances,Shopping centres,Branded clothing,Entertainment spending,Spending on looks,Spending on gadgets,Spending on healthy eating,Age,Height,Weight,Number of siblings,Gender,Left - right handed,Education,Only child,Village - town,House - block of flats
Strongly Agree,Neutral,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Neutral,Strongly Agree,Neutral,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neutral,Neutral,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neutral,Strongly Disagree,Neutral,Disagree,never smoked,drink a lot,Agree,Disagree,Disagree,Strongly Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Strongly Disagree,Neutral,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Strongly Disagree,Neutral,Strongly Disagree,Neutral,Strongly Disagree,Agree,Strongly Agree,Agree,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Neutral,i am always on time,never,Neutral,Agree,Neutral,Agree,Neutral,Agree,Neutral,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Agree,Neutral,Disagree,Neutral,Agree,Neutral,few hours a day,Neutral,Agree,Strongly Agree,Neutral,Neutral,Strongly Disagree,Neutral,20,163,48,1,female,right handed,college/bachelor degree,no,village,block of flats
Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Neutral,Strongly Agree,Agree,Agree,Strongly Disagree,Neutral,Strongly Disagree,Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Agree,Neutral,Agree,Strongly Disagree,Neutral,Strongly Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Neutral,Agree,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Neutral,Neutral,Disagree,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Agree,never smoked,drink a lot,Neutral,Neutral,Disagree,Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Agree,Neutral,Agree,Neutral,Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Agree,Neutral,Disagree,Agree,Agree,Agree,Strongly Disagree,Neutral,Strongly Disagree,Neutral,i am often early,sometimes,Neutral,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Strongly Agree,Agree,Agree,Agree,Strongly Disagree,Agree,Neutral,Strongly Agree,Neutral,Agree,Strongly Agree,Neutral,Disagree,Neutral,few hours a day,Neutral,Agree,Strongly Disagree,Agree,Disagree,Strongly Agree,Disagree,19,163,58,2,female,right handed,college/bachelor degree,no,city,block of flats
Strongly Agree,Strongly Agree,Disagree,Disagree,Neutral,Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Agree,Strongly Disagree,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Neutral,Agree,Agree,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Disagree,Neutral,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,tried smoking,drink a lot,Neutral,Strongly Disagree,Disagree,Strongly Agree,Neutral,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Neutral,Strongly Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Neutral,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral,Neutral,i am often running late,sometimes,Disagree,Neutral,Agree,Neutral,Strongly Agree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Disagree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Strongly Agree,Neutral,Strongly Disagree,few hours a day,Disagree,Agree,Strongly Disagree,Agree,Neutral,Agree,Disagree,20,176,67,2,female,right handed,secondary school,no,city,block of flats
Strongly Agree,Neutral,Agree,Neutral,Disagree,Agree,Neutral,Strongly Agree,Neutral,Strongly Disagree,Disagree,Strongly Agree,Neutral,Disagree,Strongly Disagree,Disagree,Agree,Disagree,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Neutral,Neutral,Agree,Agree,Neutral,Strongly Disagree,Agree,Neutral,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Strongly Agree,Disagree,Neutral,Neutral,Disagree,Neutral,Strongly Disagree,Agree,Agree,Strongly Disagree,Neutral,Strongly Disagree,Neutral,Strongly Disagree,Agree,Neutral,Neutral,Neutral,Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Agree,Neutral,tried smoking,social drinker,Agree,Neutral,Strongly Disagree,Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Neutral,Neutral,Disagree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Neutral,Neutral,Agree,Neutral,Strongly Agree,Neutral,Agree,Strongly Agree,Neutral,Neutral,Neutral,i am always on time,everytime it suits me,Neutral,Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Agree,Disagree,Neutral,Strongly Agree,Strongly Agree,Disagree,Neutral,Strongly Agree,Neutral,Neutral,Disagree,Agree,Neutral,Neutral,Neutral,few hours a day,Agree,Neutral,Agree,Neutral,Neutral,Disagree,Agree,20,170,59,1,female,right handed,secondary school,no,village,house/bungalow
Strongly Agree,Neutral,Disagree,Neutral,Disagree,Neutral,Neutral,Disagree,Strongly Agree,Strongly Agree,Neutral,Agree,Neutral,Agree,Agree,Strongly Agree,Neutral,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Neutral,Neutral,Agree,Neutral,Neutral,Disagree,Agree,Strongly Agree,Neutral,Agree,Disagree,Neutral,Agree,Agree,Strongly Disagree,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Disagree,Strongly Disagree,Disagree,Neutral,Strongly Disagree,Neutral,Neutral,Disagree,Neutral,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Neutral,never smoked,never,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Strongly Disagree,Neutral,Agree,Neutral,Disagree,Neutral,Strongly Disagree,Agree,Disagree,Strongly Agree,Agree,Agree,Strongly Disagree,Agree,Disagree,Neutral,Strongly Agree,Strongly Agree,Disagree,Agree,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,i am often early,only to avoid hurting someone,Neutral,Agree,Neutral,Neutral,Agree,Disagree,Disagree,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Strongly Agree,Neutral,Agree,few hours a day,Disagree,Neutral,Neutral,Neutral,Strongly Disagree,Agree,Agree,20,186,77,1,male,right handed,secondary school,no,city,block of flats
Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Disagree,Disagree,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Neutral,Neutral,Strongly Agree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Agree,Neutral,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Disagree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Neutral,Neutral,Agree,Strongly Agree,Neutral,Agree,Strongly Disagree,Strongly Disagree,Agree,Neutral,Disagree,Strongly Disagree,Strongly Agree,Neutral,Neutral,Strongly Disagree,Neutral,Agree,Neutral,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,tried smoking,social drinker,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Agree,Strongly Agree,Neutral,Agree,Agree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Disagree,Neutral,Strongly Disagree,Strongly Agree,Neutral,Neutral,Neutral,i am often early,never,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Disagree,Neutral,Neutral,Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Agree,Neutral,Neutral,Disagree,Disagree,Agree,Agree,Strongly Agree,less than an hour a day,Agree,Neutral,Strongly Disagree,Neutral,Agree,Strongly Disagree,Strongly Agree,20,177,50,1,female,right handed,secondary school,no,village,house/bungalow
Strongly Agree,Neutral,Neutral,Disagree,Strongly Disagree,Disagree,Disagree,Agree,Strongly Agree,Strongly Disagree,Disagree,Neutral,Disagree,Disagree,Neutral,Strongly Disagree,Disagree,Neutral,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Neutral,Neutral,Agree,Agree,Neutral,Strongly Disagree,Neutral,Strongly Agree,Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Disagree,Disagree,Disagree,Neutral,Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Neutral,Neutral,Disagree,Disagree,Agree,Disagree,Strongly Agree,Neutral,Disagree,Agree,Neutral,Strongly Disagree,Strongly Agree,Neutral,Strongly Disagree,Disagree,Agree,current smoker,drink a lot,Disagree,Neutral,Strongly Disagree,Neutral,Disagree,Agree,Neutral,Neutral,Neutral,Strongly Disagree,Agree,Agree,Disagree,Strongly Disagree,Neutral,Strongly Agree,Neutral,Strongly Agree,Disagree,Strongly Disagree,Disagree,Neutral,Strongly Agree,Disagree,Disagree,Strongly Agree,Neutral,Disagree,Agree,Agree,Strongly Disagree,Agree,i am always on time,sometimes,Strongly Disagree,Agree,Neutral,Agree,Disagree,Agree,Neutral,Agree,Neutral,Strongly Disagree,Agree,Strongly Agree,Disagree,Disagree,Agree,Agree,Neutral,Agree,Disagree,Strongly Agree,Agree,Neutral,Neutral,few hours a day,Neutral,Agree,Agree,Agree,Agree,Neutral,Disagree,19,184,90,1,male,right handed,college/bachelor degree,no,city,house/bungalow
Strongly Agree,Neutral,Disagree,Strongly Agree,Disagree,Disagree,Strongly Agree,Neutral,Strongly Agree,Disagree,Neutral,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral,Agree,Agree,Agree,Strongly Disagree,Disagree,Neutral,Disagree,Neutral,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Strongly Agree,Neutral,Strongly Disagree,Agree,Agree,Strongly Disagree,Disagree,Agree,Neutral,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Agree,Neutral,Strongly Agree,Neutral,never smoked,drink a lot,Neutral,Agree,Disagree,Disagree,Neutral,Neutral,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Neutral,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Disagree,Neutral,Agree,Disagree,Strongly Agree,Neutral,Disagree,Neutral,i am often running late,sometimes,Strongly Disagree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Agree,Strongly Disagree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,few hours a day,Agree,Agree,Agree,Disagree,Neutral,Disagree,Agree,19,174,60,3,female,right handed,secondary school,no,city,block of flats
Strongly Agree,Neutral,Neutral,Disagree,Strongly Disagree,Disagree,Neutral,Agree,Neutral,Disagree,Strongly Disagree,Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Neutral,Disagree,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Neutral,Neutral,Neutral,Neutral,Disagree,Strongly Disagree,Agree,Strongly Agree,Neutral,Disagree,Strongly Disagree,Neutral,Neutral,Strongly Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Disagree,Strongly Agree,Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,current smoker,social drinker,Neutral,Neutral,Disagree,Agree,Disagree,Neutral,Neutral,Agree,Agree,Strongly Disagree,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Neutral,Strongly Agree,Agree,Disagree,Neutral,Neutral,Neutral,Agree,Neutral,Strongly Disagree,Neutral,i am often early,sometimes,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Strongly Agree,Disagree,Strongly Disagree,Neutral,Neutral,Neutral,Strongly Agree,Agree,Neutral,Disagree,Neutral,Disagree,Agree,Neutral,Agree,Agree,less than an hour a day,Disagree,Agree,Disagree,Neutral,Agree,Disagree,Disagree,19,175,60,2,female,left handed,secondary school,no,city,block of flats
Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Neutral,Agree,Agree,Neutral,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neutral,Strongly Disagree,Disagree,Neutral,Neutral,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,tried smoking,never,Neutral,Neutral,Strongly Disagree,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Neutral,Strongly Agree,Neutral,Strongly Disagree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Agree,Strongly Agree,Disagree,Neutral,Strongly Disagree,Neutral,Neutral,Agree,i am often running late,everytime it suits me,Neutral,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Neutral,Neutral,Strongly Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Disagree,Agree,Neutral,Neutral,Strongly Disagree,Neutral,Neutral,Strongly Agree,Agree,Agree,Agree,few hours a day,Disagree,Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Disagree,17,176,60,1,female,right handed,primary school,no,city,block of flats
