Main dish,Main dish cooking method,Stuffing base,Cranberry Sauce,Gravy?,Brussel sprouts?,Carrots?,Cauliflower?,Corn?,Cornbread?,Fruit salad?,Green beans/green bean casserole?,Mac and cheese?,Mashed potatoes?,Rolls/biscuits?,Squash?,Vegetable salad?,Yams/sweet potato casserole?,Apple pie?,Buttermilk pie?,Cherry pie?,Chocolate pie?,Coconut cream pie?,Key lime pie?,Peach pie?,Pecan pie?,Pumpkin pie?,Sweet potato pie?,Apple cobbler?,Blondies?,Brownies?,Carrot cake?,Cheesecake?,Cookies?,Fudge?,Ice cream?,Peach cobbler?,US region
Turkey,Baked,Bread-based,None,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Middle Atlantic
Turkey,Baked,Bread-based,Other,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,East South Central
Turkey,Roasted,Rice-based,Homemade,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Mountain
Turkey,Baked,Bread-based,Homemade,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Pacific
Tofurkey,Baked,Bread-based,Canned,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Pacific
Turkey,Roasted,Rice-based,Homemade,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Pacific
Turkey,Baked,Bread-based,Canned,Yes,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,East North Central
Turkey,Baked,Rice-based,Homemade,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Mountain
Turkey,Roasted,Bread-based,Canned,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,Middle Atlantic
Other,Baked,Bread-based,Other,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,East South Central
