name_s,title_s,url_s,description_t,kind_s
David Pickett,Software Developer,https://www.linkedin.com/in/david-pickett-2151845,"David is a software developer with a love of world travel and passion for education. Starting with internships while at Carnegie Mellon, he began his career at Microsoft before taking off on a multi-year, multi-country adventure working remotely. He now lives on Maui, writing software and teaching programming.",active_headshot
David Wu,Software Engineering Manager,https://www.linkedin.com/in/davidcnwu,"David is a California native and a proud UC Berkeley alum. He's currently an Engineering Manager who focuses on creating positive team environments where people can grow and be happy. In his spare time, David enjoys strumming guitar, playing video games, and spending time with his wife.",active_headshot
Leo Le,Student,,,active_headshot
Mike Schmidt,Software Engineer,https://www.linkedin.com/in/mike-schmidt-45732a100,"Mike is a native Washingtonian with a degree in Computer Science from the University of Washington. He worked at Microsoft from 1988 to 2014 where he loved working on Windows 3.1 through Windows 10! After retiring from Microsoft, Mike has enjoyed volunteer work in Education and Computer Science, volunteering via tealsk12.org in his son's high school teaching AP Computer Science, helping with the school’s FTC Robotics club, and volunteer coding for Code.org.",active_headshot
Mitchell Schmidt,Computer Science Student,https://www.linkedin.com/in/mitchell-schmidt-a2ab35105,"Mitchell is a senior at Eastside Catholic High School. He enjoys math and science, as well as playing his trombone and percussion in the high school pep, marching, jazz, and percussion bands. In addition to studying computer science in high school and doing some volunteer coding for Code.org, he also has been on the school’s FTC Robotics team for four years. In the Fall of 2016 Mitchell intends to study computer science at college.",active_headshot
Patrick O'Donnell,Co-founder at Spare5,https://www.linkedin.com/in/patrickodo,Start-up veteran and technology enthusiast whose background includes co-founding Urbanspoon and helping launch ESPN.com's fantasy baseball in 1995.,active_headshot
Steve Krenzel,Software Engineer,http://krenzel.org/,"On a constant journey for beautiful code and interesting challenges Steve has worked at quite a diverse set of places including Google, Microsoft, and Twitter. In between those he took a brief stint to build a start-up, Thinkfuse, which was acquired by Salesforce. Prior to these he worked on the U.S. missile defense system, AEGIS, as well as data analysis software for nuclear fusion experiments at Princeton. He and his wife have lived in Seattle since 2009 where they enjoy watching sci-fi movies every Sunday with friends.",active_headshot
Suresh Chanmugam,Integration Architect,http://www.suresh.com,"Suresh was born and raised in Baton Rouge, but has called Seattle home since 1999. He works at Liaison Technologies, a data integration company, implementing web services that connect large enterprises with their customers, suppliers, and financial institutions.  He previously volunteered at Technology Access Foundation and the Maya Angelou Public Charter School.",active_headshot
Ashley Dillinger,,https://www.linkedin.com/in/ashley-dillinger-b58b0a58,"Software Engineer, Slalom Consulting",active
Brian McBarron,,,Software Engineer,active
Charing Wong,,https://www.linkedin.com/in/charingwong,Software Engineer,active
Chris Pirich,,https://www.linkedin.com/in/chris-pirich-b9a42660,Software Engineer,active
Evan Zheng,,,"Software Engineer, Microsoft",active
Henri-Bastien Lamontagne,,https://www.linkedin.com/in/henribastien,"Software Engineer 2, Microsoft",active
Kia Peyvan,,https://www.linkedin.com/in/kiapeyvan,Multidisciplinary Entrepreneur,active
Kyle Reed,,https://www.linkedin.com/in/kyle-reed-a9bb3aa2,"Senior Software Engineer, Microsoft",active
Larry Kubin,,,Software Engineer,active
Matt Swann,,https://www.linkedin.com/in/swannman,"Principal Engineering Manager, Microsoft",active
Min Cheol Jeong,,,"Software Engineer, Microsoft",active
Ruchi Varshney,,https://www.linkedin.com/in/rvarshney,"Engineering Manager, Dropbox",active
Tyler Polen,,,Software Engineer,active
Zachary Brown,,,"Software Engineer 2, Microsoft",active
Anthony Bau,,,Engineering Team Intern,inactive
Barry Weiss,,https://www.linkedin.com/in/barrynweiss,"Tech Lead, WebMD",inactive
Brandon Bloom,,https://www.linkedin.com/in/brandondbloom,Software Developer,inactive
Ellen Spertus,,,"Senior Research Scientist, Google",inactive
Erik Bronnum,,,"Developer, Penny Arcade",inactive
Franci Penov,,,Facebook,inactive
Geoffrey Elliott,,,Software Engineer,inactive
Hamid Safi,,https://www.linkedin.com/in/henry-hamid-safi-741aa928,"Senior Software Development Engineer, Microsoft",inactive
Hans Fugal,,https://www.linkedin.com/in/hansfugal,Software Engineer,inactive
Jie Jin,,,Software Engineer,inactive
Justin Rogers,,https://www.linkedin.com/in/justin-rogers-7359626,Principal Software Developer at Microsoft,inactive
Mahta Amirzadeh,,,Software Developer,inactive
Nan Li,,,Curriculum Researcher,inactive
Neil Fraser,,,"Software Engineer, Google",inactive
Rick Hawkins,,https://www.linkedin.com/in/rlhawk,"Web Developer, Alchemy Design",inactive
Steve Eisner,,,Dropbox,inactive
Toby Kahan,,https://www.linkedin.com/in/tobiaskahan,Software Engineer ,inactive
