organization_name_s!,event_type_s*
530medialab,special
Academia St Tomas de Aquino HS,special
Africa ICT Right,special
Aha! Labs,special
Al-Qasemi Academic College,special
Al-Qasemi Academic College of Education,special
Alameda County Juvenile Justice Center,special
Alps Language Institute,special
Amazing Grace Computer Systems,special
American Association of University Women Rochester,special
American Collegiate Institute,special
Ann Arbor Women Coders,special
ArtsROC,special
Association for Computing Machinery at Hunter College,special
Azerbaijan ACM Chapter,special
"Back To Work ll, Inc.",special
Beilngries Youth for Health and Technology,special
BirdBrain Technologies LLC,special
Boerne Young Makers,special
Boise Main Library! hosted by Panucation,special
Brandix i3,special
Broward County Miramar Branch Public Library ,special
Brown Mackie College Miami,special
c2pkids.org,special
Campion College,special
Canyons Technical Education Center,special
CAP10 Foundation,special
Cara House,special
Caribbean International School,special
Center4 and FEGS,special
"Challenging Heads Chess, Robotic and Video Games",special
Change the Equation,special
Chapin Senior Center,special
Chester County Technical College High School,special
Chicago Public Schools Central Office,special
Children's Creativity Museum,special
CHS CoderDojo,special
Club Michin,special
Codeclubbers,special
Codeclubbers - Programming & Design Club,special
"Codecraft Lab, Inc.",special
CodeHS,special
codelearn.cat,special
Coder Dojo,special
Coder Dojo Letterkenny,special
Coderdojo Amsterdam,special
CoderDojo Bologna,special
CoderDojo DCU,special
CoderDojo Iowa City,special
CodeShop.IO,special
Cogilent Solutions - BrightSpyre,special
Cold Spring Harbor Educational Foundation,special
Colegio Hebreo Sefaradí,special
Colegio New England ,special
"College of Arts, Media and Technology. Chiangmai University",special
CollegeAmerica,special
Colorado Statewide Internet Portal Authority ,special
Computer Clubhouse of Tacoma,special
Computer Technology Club,special
Computers4Kids,special
Crescenta Valley Town Council,special
Crystal Lake Public Library,special
"CSI JUET,Guna",special
Cumberland Public Library,special
Cuyahoga Valley Career Center,special
Davenport University,special
Deep Dive Coders and Start Up New Mexico,special
deqode,special
Desert Trails,special
Desmond-Fish Library,special
Dev Bootcamp,special
Dr. T.Thimmaiah Institute of Technology,special
Duxbury Free Library,special
Dyslexic Advantage,special
"eCom Direct, Inc.",special
Edith Cowan University,special
Education Development Centre,special
Educators 2.0 ,special
EduFlare.com,special
eLRN Solution System,special
First Code Academy,special
Fletcher Technical Community College,special
Florida,special
Florida International University,special
Florida Virtual School - Full-Time 9-12,special
Florida Virtual School - Full-Time K-8,special
Fort Worth Museum of Science and History,special
Fruitymo Solutions,special
Fun With Bots,special
Fundación Omar Dengo,special
Georgia Center for Youth and Families,special
Girls Get IT,special
Girls Inc. of Holyoke,special
"Google Developers Group Bayero University, Kano Nigeria",special
Google Developers Group Kaduna,special
Google Developers Group Uyo,special
Guidewire Software,special
HackCville,special
Hacker's Den,special
Hale Kula Elementary School,special
"Hallah Edutainment, LLC",special
Hanthana Linux Project,special
Harmony Vineyard Church Home School Academy,special
HER Ideas in Motion,special
Highlander Institute & Business Innovation Factory,special
"Hilltop, Downtown & Civic Center HS",special
Horrya LA,special
Ideaventions,special
IEEE ANNU SB,special
IEEE Computer Society ESTI Chapter (potential),special
ImmediaEdu,special
IMPACT,special
InfoTech Education Corp.,special
Instituto Estadual de Educação Olívia Lahm Hirt,special
Instituto Politécnico de Santarém,special
Intel Corporation,special
Intergalactic Robotics Alliance,special
INTERGRADED VISION ART ASSOCIATION COMPANY LIMITED BY GUARANTEE,special
ISTE SIGVE,special
IT Wizlabs,special
IT-oLogy,special
iTrain Malaysia,special
IUPUI Computer Science Department,special
"Joint Educational Facilities, Inc.",special
