id_s!,theWord_s,defined_t,locations_t,locations2_t,lessonURL_t,split_s,part1_s,part2_s,courseNum_s,part3_s,lessonNum_s,part4_s,part5_s,youTubeURL_t
abstraction,abstraction, A simplified representation of something more complex.,"Course 3: Stage 1<br/>
Course 4: Stage 5","Course 3: Stage 1 | 
Course 4: Stage 5",https://studio.code.org/s/course1/lessons/1/levels/1,https:,studio.code.org,s,course1,lessons,1,levels,1,
accessibility,accessibility,"The design of products, devices, services, or environments taking into consideration the ability for all users to access, including people who experience disabilities or those who are limited by older or slower technology.",,,,,,,,,,,,
algorithm,algorithm,A list of steps to finish a task.,"Course 1: Stages 1, 6 <br/>
Course 2: Stages 1, 2 <br/>
Course 3: Stages 1, 10 <br/>
Course 4: Stage 1","Course 1: Stages 1, 6 | 
Course 2: Stages 1, 2 | 
Course 3: Stages 1, 10 | 
Course 4: Stage 1",,,,,,,,,,
binary,binary,A way of representing information using only two options.,"Course 2: Stage 14 <br/>
Course 4: Stages 17, 18","Course 2: Stage 14 | 
Course 4: Stages 17, 18",,,,,,,,,,
binary alphabet,binary alphabet,The two options used in your binary code.,,,,,,,,,,,,
bit,bit,"A contraction of ""Binary Digit"".  A bit is the single unit of information in a computer, typically represented as a 0 or 1.",,,,,,,,,,,,
blockBased,block-based programming language,"Any programming language that lets users create programs by manipulating “blocks” or graphical programing elements, rather than writing code using text.  Examples include Code Studio, Scratch, Blockly, and Swift. (Sometimes called visual coding, drag and drop programming, or graphical programming blocks) ",General,General,,,,,,,,,,
Blockly,Blockly,The visual programming language used in Code.org's online learning system for K-5 students.,Course 1: Stage 3,Course 1: Stage 3,,,,,,,,,,
bug,bug,An error in a program that prevents the program from running as expected.,"Course 1: Stage 5<br/>
Course 2: Stages 9, 10, 11<br/>
Course 3: Stage 14","Course 1: Stage 5 | 
Course 2: Stages 9, 10, 11| 
Course 3: Stage 14",,,,,,,,,,
byte,byte,"The most common fundamental unit of digital data eg. Kilobyte, Megabyte, etc.  A single byte is 8 bits-worth of data.",,,,,,,,,,,,
call a variable,call (a variable),Use a variable in a program.,,,,,,,,,,,,
call,call (a function),This is the piece of code that you add to a program to indicate that the program should run the code inside a function at a certain time.,Course 3: Stage 4,Course 3: Stage 4,,,,,,,,,,
click,click,Press the mouse button.,,,,,,,,,,,,
