id_s!,type_s,text1_s,param1_s,param2_s,param3_s,param4_s,param5_s,watermark_s,image_t,site_s,active_s,language_supported_s
hero_starwars,widehero,,15% 50%,celeba,bottom,/starwars,,,/images/homepage/starwars.jpg,both,nah,all
hero_minecraft,widehero,,15% 50%,celeba,bottom,/mc,,,/images/homepage/minecraft.jpg,both,nah,all
hero_minecraft2016,widehero,,21% 80%,celeba,bottom,/minecraft,,,/images/homepage/minecraft2016.jpg,both,nah,all
hero_moana,widehero,,50% 50%,celeba,bottom,https://Disney.com/HourOfCode,,,/images/homepage/moana.jpg,both,nah,all
hero_athletes,widehero,,25% 22%,celeba,bottom,/athletes,,,/images/homepage/athletes.jpg,both,nah,all
hero_stat_loc,widehero,homepage_hero_text_stat_loc,50% 40%,stat,bottom,,,,/images/homepage/girl2.jpg,both,show,all
hero_stat_students,widehero,homepage_hero_text_stat_students,50% 30%,stat,bottom,,,,/images/homepage/girl6.jpg,both,show,all
hero_stat_served,widehero,homepage_hero_text_stat_served,50% 35%,stat,top,,,,/images/homepage/girl9.jpg,both,show,all
hero_malala,widehero,homepage_hero_text_malala,50% 30%,celeb,bottom,,,,/images/homepage/malala.jpg,both,show,all
hero_susan,widehero,homepage_hero_text_susan,52% 6%,celeb,top,,,,/images/homepage/susan.jpg,both,show,all
hero_satya,widehero,homepage_hero_text_satya,47% 21%,celeb,bottom,,,,/images/homepage/satya.jpg,both,nah,all
hero_satya_new,widehero,homepage_hero_text_satya_new,47% 21%,celeba,bottom,,,,/images/homepage/satya_new.jpg,both,show,all
hero_sheryl,widehero,homepage_hero_text_sheryl,59% 22%,celeb,bottom,,,,/images/homepage/sheryl.jpg,both,show,all
hero_fistbump,widehero,homepage_hero_text_fistbump,55% 9%,celeba,bottom,,,,/images/homepage/fistbump.jpg,both,nah,all
hero_student_girl,widehero,homepage_hero_text_student1,50% 30%,student,bottom,,,,/images/homepage/girl.jpg,both,show,all
hero_student_boyblue,widehero,homepage_hero_text_student2,55% 7%,student,top,,,,/images/homepage/boy5.jpg,both,show,all
hero_student_boybosh,widehero,homepage_hero_text_bosh,62% 33%,celeb,bottom,,,,/images/homepage/boy7.jpg,both,show,all
hero_student_girlsmile,widehero,homepage_hero_text_student4,41% 20%,student,bottom,,,,/images/homepage/kids4.jpg,both,show,all
hero_student_boycomputer,widehero,homepage_hero_text_student5,45% 31%,student,top,,,,/images/homepage/boy3.jpg,both,show,all
hero_teacher_girl,widehero,homepage_hero_text_teacher1,24% 11%,teacher,bottom,,,,/images/homepage/girl10.jpg,both,show,all
hero_teacher_man,widehero,homepage_hero_text_teacher2,49% 17%,teacher,bottom,,,,/images/homepage/kids10.jpg,both,show,all
action_hoc_title,action,homepage_action_text_hoc,hoc_title,,,,,,,code.org,nah,all
action_num_served,action,homepage_action_text_num_served,num_served,,,,,,,code.org,nah,all
action_hoc_buttons,action,homepage_action_text_join_us,hoc_buttons,homepage_action_text_learn,https://hourofcode.com,/learn,,,,code.org,nah,all
action_cta_button,action,homepage_action_text_learn,cta_button,/student,,,,,,code.org,nah,all
action_learn,action,homepage_action_text_learn,cta_button,/learn,,,,,,both,show,all
action_cta_hoc2017_join_us,action,homepage_action_text_join_us,cta_button,https://hourofcode.com/#join,,,,,,code.org,nah,all
action_cta_hoc2017_try_it,action,hoc2014_try,cta_button_secondary,/learn,,,,,,code.org,nah,all
action_cta_button_noten,action,homepage_action_text_learn,cta_button,/student,,,,,,code.org,nah,not en
action_codevideo,action,homepage_action_text_codevideo,video,nKIu9yen5nc,//videos.code.org/social/what-most-schools-dont-teach.mp4,https://www.facebook.com/Code.org/videos/10100689712053311/,"Anybody can learn computer science, starting with an #HourOfCode. https://twitter.com/codeorg/status/828716370053304321",,,code.org,show,all
action_teachervideo,action,homepage_action_text_teachervideo,video,2DxWIxec6yo,//videos.code.org/social/hourofcode-2015-50MB.mp4,,,,,csedweek.org,nah,all
