code_s!,unique_language_s,language_s,locale_s,native_name_s,english_name_s,supported_codeorg_b*,supported_hoc_b,crowdin_code_s,crowdin_name_s,csf_b,frozen_b,starwars_b,minecraft_adventurer_b,minecraft_designer_b
ar,ar,ar,ar-SA,العربية,Arabic,TRUE,TRUE,ar,Arabic,FALSE,TRUE,TRUE,TRUE,TRUE
az,az,az,az-AZ,Azərbaycan dili,Azerbaijani,TRUE,TRUE,az,Azerbaijani,FALSE,FALSE,FALSE,FALSE,TRUE
bg,bg,bg,bg-BG,български,Bulgarian,TRUE,TRUE,bg,Bulgarian,TRUE,TRUE,TRUE,TRUE,FALSE
bn,bn,bn,bn-BD,বাংলা,Bengali,FALSE,FALSE,bn,Bengali,FALSE,FALSE,FALSE,FALSE,FALSE
bs,bs,bs,bs-BA,Bosanski,Bosnian,TRUE,TRUE,bs,Bosnian,FALSE,TRUE,FALSE,FALSE,FALSE
ca,ca,ca,ca-ES,Català,Catalan,TRUE,TRUE,ca,Catalan,FALSE,TRUE,FALSE,TRUE,FALSE
co,co,co,co-CO,Corsu,Corsican,FALSE,FALSE,co,Corsican,TRUE,TRUE,FALSE,TRUE,FALSE
cs,cs,cs,cs-CZ,Čeština,Czech,TRUE,TRUE,cs,Czech,FALSE,TRUE,FALSE,TRUE,FALSE
da,da,da,da-DK,Dansk,Danish,TRUE,TRUE,da,Danish,TRUE,TRUE,TRUE,TRUE,FALSE
de,de,de,de-DE,Deutsch,German,TRUE,TRUE,de,German,TRUE,TRUE,TRUE,TRUE,FALSE
el,el,el,el-GR,Ελληνικά,Greek,TRUE,TRUE,el,Greek,FALSE,FALSE,FALSE,FALSE,FALSE
en-GB,gb,en,en-GB,English (UK),English (UK),FALSE,TRUE,en-GB,"English, United Kingdom",FALSE,TRUE,TRUE,TRUE,FALSE
en,en,en,en-US,English,English,TRUE,TRUE,en,English,TRUE,TRUE,TRUE,TRUE,FALSE
es,es,es,es-ES,Español (España),Spanish (Spain),TRUE,TRUE,es-ES,Spanish,TRUE,TRUE,TRUE,TRUE,TRUE
es-MX,la,es,es-MX,Español (LATAM),Spanish (LATAM),TRUE,TRUE,es-MX,"Spanish, Mexico",TRUE,TRUE,TRUE,TRUE,TRUE
et,et,et,et-EE,Eesti,Estonian,TRUE,FALSE,et,Estonian,TRUE,TRUE,FALSE,TRUE,TRUE
eu,eu,eu,eu-ES,Euskara,Basque,TRUE,FALSE,eu,Basque,FALSE,FALSE,FALSE,FALSE,FALSE
fa-AF,af,fa,fa-AF,دريلو,Dari,FALSE,TRUE,fa-AF,Dari,FALSE,TRUE,FALSE,FALSE,FALSE
fa-IR,fa,fa,fa-IR,فارسی,Persian,TRUE,TRUE,fa,Persian,FALSE,TRUE,FALSE,TRUE,FALSE
fi,fi,fi,fi-FI,Suomi,Finnish,TRUE,FALSE,fi,Finnish,FALSE,FALSE,TRUE,FALSE,FALSE
fil,ph,fil,fil-PH,Pilipino,Filipino,TRUE,TRUE,fil,Filipino,TRUE,TRUE,FALSE,TRUE,FALSE
fr,fr,fr,fr-FR,Français,French,TRUE,TRUE,fr,French,TRUE,FALSE,FALSE,FALSE,FALSE
ga,ga,ga,ga-IE,Gaeilge,Irish,TRUE,FALSE,ga-IE,Irish,TRUE,TRUE,FALSE,TRUE,TRUE
gl,gl,gl,gl-ES,Galego,Galician,TRUE,FALSE,gl,Galician,FALSE,FALSE,FALSE,FALSE,FALSE
haw,ha,haw,haw-HI,ʻŌlelo Hawaiʻi,Hawaiian,FALSE,FALSE,haw,Hawaiian,FALSE,TRUE,FALSE,TRUE,FALSE
he,he,he,he-IL,עברית,Hebrew,TRUE,TRUE,he,Hebrew,FALSE,FALSE,FALSE,FALSE,FALSE
hi,hi,hi,hi-IN,हिन्दी,Hindi,TRUE,TRUE,hi,Hindi,FALSE,FALSE,FALSE,TRUE,FALSE
hr,hr,hr,hr-HR,Hrvatski,Croatian,TRUE,TRUE,hr,Croatian,FALSE,TRUE,TRUE,TRUE,FALSE
hu,hu,hu,hu-HU,Magyar,Hungarian,TRUE,TRUE,hu,Hungarian,TRUE,TRUE,FALSE,TRUE,FALSE
hy,hy,hy,hy-AM,Հայերեն,Armenian,TRUE,FALSE,hy-AM,Armenian,FALSE,FALSE,FALSE,TRUE,FALSE
id,id,id,id-ID,Bahasa Indonesia,Indonesian,TRUE,TRUE,id,Indonesian,TRUE,TRUE,FALSE,TRUE,TRUE
in,in,in,in-TL,I18n Pseudo-Language,I18n Pseudo-Language,FALSE,FALSE,in-TL,I18n Pseudo-Language,FALSE,FALSE,FALSE,FALSE,FALSE
is,is,is,is-IS,Íslenska,Icelandic,TRUE,TRUE,is,Icelandic,TRUE,TRUE,TRUE,TRUE,TRUE
