id_s!,course_s*,name_s,standards_t,anchor_s,prereqs_t,objectives_t,overview_t,unplugged_i
alg1,Algebra,Video Games and Coordinate Planes,5.OA.1;5.OA.2;6.NS.5;6.NS.8;N-Q.1;N-Q.2;MP.1;MP.2;MP.3;MP.4;MP.5;MP.6;MP.7;MP.8;CT.L1:6-01;CT.L2:14,6.NS.8,,Create a data model that describes a simple video game.;Describe the movements of videogame characters by their change in coordinates.,"Students discuss the components of their favorite video games and discover that they can be reduced to a series of coordinates. They then explore coordinates in Cartesian space, identifying the coordinates for the characters in a game at various points in time. Once they are comfortable with coordinates, they brainstorm their own games and create sample coordinate lists for different points in time in their own game.",1
alg2,Algebra,Evaluation Blocks and Arithmetic Expressions,5.OA.1;5.OA.2;6.NS.5;6.NS.6;6.NS.8;6.EE.2;A.SSE.1;A.SSE.2;A.SSE.4;A.REI.1;N-Q.1;N-Q.2;MP.1;MP.2;MP.3;MP.4;MP.5;MP.6;MP.7;MP.8,A.SSE.1,,Convert arithmetic expressions to and from code.;Use Evaluation Blocks to reflect the proper order of operations for an expression.,"Students will begin using Evaluation Blocks to explore the concept of math as a language, and more specifically, a programming language. By composing arithmetic expressions with Evaluation Blocks, students will be able to visualize how expressions follow the order of operations.",
alg3,Algebra,Strings and Images,5.OA.1;5.OA.2;6.NS.8;6.EE.9;7.EE.4;8.F.1;8.F.2;A.SSE.1;A.SSE.2;A.SSE.4;A.REI.1;F.IF.1;N-Q.1;N-Q.2;MP.1;MP.2;MP.3;MP.4;MP.5;MP.6;MP.7;MP.8,A.SSE.1,,Write and evaluate expressions for generating Strings and Images.,"To compute more than just numbers, students will need to learn about two new data types, Strings (any string of alphanumeric characters) and Images. Using these new data types, we'll compose programs that produce and manipulate images.",
alg4,Algebra,"Contracts, Domain, and Range",5.OA.1;5.OA.2;6.NS.8;6.EE.9;7.EE.4;8.F.1;8.F.2;A.SSE.1;A.SSE.2;F.IF.1;F.IF.2;F.IF.3;N-Q.1;N-Q.2;MP.1;MP.2;MP.3;MP.4;MP.5;MP.6;MP.7;MP.8,F.IF.1,,"Describe a function in terms of its name, domain, and range.;Create contracts for arithmetic and image-producing functions.","Contracts provide a way for students to better understand and discuss functions. Through this lesson, students will look at known functions and come up with the contracts that describe those functions.",1
alg5,Algebra,Writing Contracts,5.OA.1;5.OA.2;6.NS.8;6.EE.9;7.EE.4;8.F.1;8.G.1;A.SSE.1;A.SSE.2;F.IF.1;F.IF.2;F.IF.3;N-Q.1;N-Q.2;MP.1;MP.2;MP.3;MP.4;MP.5;MP.6;MP.7;MP.8,8.G.1,,Decompose existing functions.;Write contracts that describe functions.;Experiment with basic geometric transformations.,"Students will work their way through a number of new functions, first using each to solve a problem, and then writing a contract which describes it.",
alg6,Algebra,Defining Variables and Substitution,5.OA.1;5.OA.2;6.EE.4;A.SSE.1;A.SSE.2;A.CED.1;A.CED.2;F.IF.1;F.IF.2;F.IF.3;F.LE.1;N-Q.1;N-Q.2;MP.1;MP.2;MP.3;MP.4;MP.5;MP.6;MP.7;MP.8,6.EE.4,,Define variables by giving them a name and assigning them a value or expression.;Use variables within Evaluation Blocks.;Describe a situation where using variables as substitutions for values or expressions is more efficient.,"In this activity, students will learn to define variables that can be used to reference values and expressions. Once defined, their variables can be used repeatedly throughout a program as substitutes for the original values or expressions.",
alg7,Algebra,The Big Game - Variables,5.OA.1;5.OA.2;6.EE.4;A.SSE.1;A.SSE.2;A.CED.1;A.CED.2;F.IF.1;F.IF.2;F.IF.3;F.LE.1;N-Q.1;N-Q.2;MP.1;MP.2;MP.3;MP.4;MP.5;MP.6;MP.7;MP.8,6.EE.4,,Substitute new values into existing variables of an existing program and describe the effects.;Examine the structure of an existing program.,"Students get their first look at the inside of their own video games. They will start development by substituting in new Images, Strings, and Numbers for existing variables.",
alg8,Algebra,Composite Functions,5.OA.1;5.OA.2;7.G.1;8.F.1;8.F.2;A.SSE.1;A.SSE.2;A.CED.1;A.CED.2;F.IF.1;F.IF.2;F.IF.3;F.IF.4;F.IF.5;F.IF.6;F.LE.1;N-Q.1;N-Q.2;MP.1;MP.2;MP.3;MP.4;MP.5;MP.6;MP.7;MP.8,8.F.1,,Analyze and use existing functions.;Modify existing functions.;Create new functions.;Create similar shapes by changing size parameters on functions.,"In the past lessons students have defined variables which will allow them to easily write expressions that refer to the same value repeatedly. In this stage, they will write simple functions that, like variables, allow students to abstract out repetitious elements of their programs.",
alg9,Algebra,The Design Recipe,5.OA.1;5.OA.2;6.NS.8;6.EE.9;7.EE.4;8.F.1;8.F.2;A.CED.1;A.CED.2;A.CED.3;A.CED.4;F.IF.1;F.IF.2;F.IF.3;F.IF.4;F.IF.5;F.IF.6;F.IF.7;F.IF.9;F.BF.1;F.BF.2;F.LE.1;F.LE.2;N-Q.1;N-Q.2;MP.1;MP.2;MP.3;MP.4;MP.5;MP.6;MP.7;MP.8,F.BF.1,,"Use the Design Recipe to identify dependent variables, independent variables, and constants.","In the last stage, students wrote some very simple functions - but more sophisticated functions demand a more thoughtful approach. The Design Recipe is a structured approach to writing functions that includes writing test cases to ensure that the function works as expected. Once students have mastered the Design Recipe process, they can apply it to any word problem they encounter.",1
alg10,Algebra,Rocket Height,5.OA.1;5.OA.2;6.NS.8;6.EE.9;7.EE.4;8.F.1;8.F.2;A.CED.1;A.CED.2;A.CED.3;A.CED.4;F.IF.1;F.IF.2;F.IF.3;F.IF.4;F.IF.5;F.IF.6;F.IF.7;F.IF.9;F.BF.1;F.BF.2;F.LE.1;F.LE.2;N-Q.1;N-Q.2;MP.1;MP.2;MP.3;MP.4;MP.5;MP.6;MP.7;MP.8,F.LE.1,,"Design functions to solve word problems.;Use the Design Recipe to write contracts, test cases, and function definitions.","Using the Design Recipe, students will work through a series of word problems about calculating the height of a rocket after a given number of seconds from launch. The functions they write will be used to animate the rocket launch.",
alg11,Algebra,Solving Word Problems with the Design Recipe,5.OA.1;5.OA.2;6.NS.8;6.EE.9;7.EE.4;8.F.1;8.F.2;A.CED.1;A.CED.2;A.CED.3;A.CED.4;F.IF.1;F.IF.2;F.IF.3;F.IF.4;F.IF.5;F.IF.6;F.IF.7;F.IF.9;F.BF.1;F.BF.2;F.LE.1;F.LE.2;N-Q.1;N-Q.2;MP.1;MP.2;MP.3;MP.4;MP.5;MP.6;MP.7;MP.8,F.BF.1,,Design functions to solve word problems.;Continue to practice writing contracts with more complex scenarios.,Students will continue to practice the Design Recipe with a series of word problems.,
alg12,Algebra,The Big Game - Animation,5.OA.1;5.OA.2;6.NS.8;6.EE.9;7.EE.4;8.F.1;8.F.2;F.IF.1;F.IF.2;F.IF.4;F.IF.5;F.IF.6;F.BF.1;F.BF.2;F.LE.1;F.LE.2;N-Q.1;N-Q.2;MP.1;MP.2;MP.3;MP.4;MP.5;MP.6;MP.7;MP.8,F.LE.2,,"Design functions to solve word problems.;Use the Design Recipe to write contracts, test cases, and function definitions.","Returning to the Big Game we started in stage 7, students will use the Design Recipe to develop functions that animate the Target and Danger sprites in their games.",
alg13,Algebra,Booleans and Logic,5.OA.1;5.OA.2;6.NS.8;6.EE.9;7.EE.4;8.F.1;8.F.2;N-Q.1;N-Q.2;MP.1;MP.2;MP.3;MP.4;MP.5;MP.6;MP.7;MP.8;A.REI.3;A.REI.10,7.EE.4,,Evaluate simple Boolean expressions.;Evaluate complex Boolean expressions.,"Booleans are the fourth and final data type that students will learn about in this course. In this stage, students will learn about Boolean (true/false) values, and explore how they can be used to evaluate logical questions.",1
alg14,Algebra,Boolean Operators,5.OA.1;5.OA.2;6.NS.8;6.EE.9;7.EE.4;8.F.1;8.F.2;N-Q.1;N-Q.2;MP.1;MP.2;MP.3;MP.4;MP.5;MP.6;MP.7;MP.8,7.EE.4,,"Use Boolean operators to compare values.;Apply Boolean logic, such as AND, OR, and NOT, to compose complex Boolean comparisons.","Using Boolean operators, students will write code that compares values to make logical decisions.",
alg15,Algebra,Sam the Bat,5.OA.1;5.OA.2;6.NS.8;6.EE.9;7.EE.4;8.F.1;8.F.2;N-Q.1;N-Q.2;MP.1;MP.2;MP.3;MP.4;MP.5;MP.6;MP.7;MP.8,6.NS.8,,"Use Boolean operators to compare values.;Apply Boolean logic, such as AND, OR, and NOT, to compose complex Boolean comparisons.","Using Boolean operators, students will write code that checks the location of a sprite to make sure it doesn't go off-screen.",
alg16,Algebra,The Big Game - Booleans,5.OA.1;5.OA.2;6.NS.8;6.EE.9;7.EE.4;8.F.1;8.F.2;N-Q.1;N-Q.2;MP.1;MP.2;MP.3;MP.4;MP.5;MP.6;MP.7;MP.8,6.EE.9,,"Use Boolean operators to compare values.;Apply Boolean logic, such as AND, OR, and NOT, to compose complex Boolean comparisons.","Using the same logic from the previous lesson, students will write code that checks whether their Target and Danger sprites have left the screen. If their function determines that a sprite is no longer visible on screen, it will be reset to the opposite side.",
alg17,Algebra,Conditionals and Piecewise Functions,5.OA.1;5.OA.2;6.NS.8;6.EE.9;7.EE.4;8.F.1;8.F.2;F.IF.7.b;N-Q.1;N-Q.2;MP.1;MP.2;MP.3;MP.4;MP.5;MP.6;MP.7;MP.8,F.IF.7.b,,Understand that piecewise functions evaluate the domain before calculating results.;Evaluate results of piecewise functions.,"Currently, even when passing parameters to functions, our outputs follow a very rigid pattern. Now, suppose we want parameters with some values to create outputs using one pattern, but other values to use a different pattern. This is where conditionals are needed. In this stage students will learn how conditional statements can create more flexible programs.",1
