heading_s,short_heading_s,image_url_s,link_text_s,url_s,date_s,publication_s,tag_s*,site_s*
Back to School with AI: Code.org and partners create course for teachers facing big tech changes,,,,https://www.geekwire.com/2023/back-to-school-with-ai-code-org-and-partners-create-course-for-teachers-facing-big-tech-changes/,8/15/2023,GeekWire,news,all
Online classes aim to prepare teachers for AI's realities,,,,https://www.axios.com/2023/08/15/online-classes-aim-to-prepare-teachers-for-ais-realities,8/15/2023,Axios,news,all
OpenAI and Runway VIPs star in two new videos on “How AI Works”,,,,https://codeorg.medium.com/openai-and-runway-vips-star-in-two-new-videos-on-how-ai-works-4ed27eb72998,8/15/2023,Code.org,announce,code.org
"AI 101 for Teachers: Code.org, ETS, ISTE, and Khan Academy partner on professional learning series",,,,https://codeorg.medium.com/ai-101-for-teachers-code-org-ets-iste-and-khan-academy-partner-on-professional-learning-series-3a56396c8c7e,8/15/2023,Code.org,announce,all
Code.org recommends graduation requirements in computer science,,,,https://codeorg.medium.com/code-org-recommends-graduation-requirements-in-computer-science-5f04fbf24de,7/12/2023,Code.org,announce,all
Incredible updates to Code.org curriculum for 2023-24 school year,,,,https://codeorg.medium.com/incredible-updates-to-code-org-curriculum-for-2023-24-school-year-5c98d8799221?source=user_profile---------1----------------------------,7/10/2023,Code.org,announce,code.org
PISA's new focus on computational thinking and coding,,,,https://codeorg.medium.com/pisas-new-focus-on-computational-thinking-and-coding-fbe90e456c5f?source=user_profile---------3----------------------------,6/20/2023,Code.org,news,all
"How Blockchain Works: Now that the hype has passed, learn about the tech behind it",,,,https://codeorg.medium.com/how-blockchain-works-now-that-the-hype-has-passed-learn-about-the-tech-behind-it-9890feeaed30,6/14/2023,Code.org,announce,code.org
Teachers Need PD on Artificial Intelligence. What It Should Look Like,,,,https://www.edweek.org/leadership/teachers-need-pd-on-artificial-intelligence-what-it-should-look-like/2023/04,5/10/2023,EdWeek,news,code.org
Educators Team Up to Respond to Sudden Rise of ChatGPT,,,,https://www.edsurge.com/news/2023-05-11-educators-team-up-to-respond-to-sudden-rise-of-chatgpt,5/11/2023,EdSurge,news,code.org
Code.org CEO on Teaching With and About AI,,,,https://www.bloomberg.com/news/videos/2023-05-02/code-org-ceo-on-teaching-with-and-about-ai,5/2/2023,Bloomberg Technology,news,code.org
