name_s,url_s,kind_s,codeorg_b,csedweek_b,hourofcode_b,description_t
Accenture,https://www.accenture.com/us-en/?c=ad_usglbprioritypsgs&n=Accenture_Core_Business_-_US&KW_ID=s3eh86k17_dc|pcrid|66973976537,additional,TRUE,TRUE,FALSE,
ACCESS,http://access-ca.org/,additional,TRUE,FALSE,TRUE,
Access Computing,https://doit-prod.s.uw.edu/accesscomputing/,additional,TRUE,FALSE,TRUE,
Afterschool Alliance,http://www.afterschoolalliance.org/,additional,TRUE,TRUE,TRUE,
Akamai,https://www.akamai.com/,additional,FALSE,TRUE,FALSE,
Aldebaran,https://www.ald.softbankrobotics.com/,additional,TRUE,FALSE,TRUE,
Amazon,https://www.amazon.com/,additional,FALSE,TRUE,FALSE,
AngelHack,https://angelhack.com/,additional,FALSE,TRUE,FALSE,
Apple,https://www.apple.com/,additional,FALSE,TRUE,TRUE,
AthleTECH,,additional,FALSE,TRUE,FALSE,
Better Lesson,https://betterlesson.com/,additional,TRUE,TRUE,TRUE,
Black Girl Nerds,https://blackgirlnerds.com/,additional,TRUE,TRUE,TRUE,
Black Girls Code,http://blackgirlscode.org/,additional,TRUE,TRUE,TRUE,
Blacks in Gaming,,additional,TRUE,TRUE,TRUE,
Boys & Girls Clubs of America,https://www.bgca.org/campaign/brand-campaign,additional,TRUE,TRUE,TRUE,
CareerBuilder,https://www.careerbuilder.com/,additional,TRUE,FALSE,TRUE,
Carnegie Learning,https://www.carnegielearning.com/,additional,TRUE,TRUE,TRUE,
Code for Fun,https://www.codeforfun.com/,additional,TRUE,FALSE,TRUE,
CodeNow,http://codenow.org,additional,TRUE,TRUE,TRUE,
CodeStart,,additional,TRUE,FALSE,TRUE,
Common Sense Education,https://www.commonsense.org/education/,additional,FALSE,TRUE,TRUE,
Computing Research Association,http://www.cra.org/,additional,TRUE,FALSE,TRUE,
Congressional App Challenge,http://congressionalappchallenge.us,additional,TRUE,TRUE,TRUE,
CouponCause,http://couponcause.com/,additional,TRUE,FALSE,FALSE,
Coursera,https://www.coursera.org/,additional,TRUE,TRUE,TRUE,
Design Squad,http://pbskids.org/designsquad/,additional,TRUE,FALSE,TRUE,
DigitalUndivided,http://www.digitalundivided.com/,additional,TRUE,TRUE,TRUE,
Discovery Education,http://www.discoveryeducation.com/,additional,TRUE,TRUE,TRUE,
DIY,https://diy.org/,additional,TRUE,TRUE,TRUE,
Donors Choose,https://www.donorschoose.org/,additional,FALSE,TRUE,FALSE,
Dropbox,https://www.dropbox.com/,additional,FALSE,TRUE,TRUE,
Edhesive,https://edhesive.com/,additional,TRUE,FALSE,TRUE,
Edmodo,http://www.edmodo.com,additional,TRUE,TRUE,TRUE,
Educator Innovator,http://educatorinnovator.org/,additional,TRUE,FALSE,TRUE,
Electronic Arts,http://www.ea.com/,additional,TRUE,FALSE,TRUE,
Exploring Computer Science,http://www.exploringcs.org/,additional,TRUE,FALSE,TRUE,
Girl Develop It,http://www.girldevelopit.com/,additional,TRUE,FALSE,TRUE,
GreatSchools,https://www.greatschools.org/,additional,TRUE,TRUE,TRUE,
Hispanic Foundation of Silicon Valley,https://www.hfsv.org/,additional,TRUE,TRUE,TRUE,
Hive Learning Networks,https://hivelearningnetworks.org/,additional,TRUE,TRUE,TRUE,
HYPOTHEkids,http://hypothekids.org/,additional,TRUE,FALSE,TRUE,
IEEE Computer Society,https://www.computer.org/,additional,TRUE,FALSE,TRUE,
Impressionist EMC,http://www.emc.com/index.htm?fromGlobalSelector,additional,FALSE,FALSE,FALSE,
Innovate NYC Schools,,additional,TRUE,TRUE,TRUE,
Institute for Mathematics and Computer Science,http://www.eimacs.com/,additional,TRUE,TRUE,TRUE,
Junior Achievement,https://www.juniorachievement.org/,additional,TRUE,TRUE,TRUE,
